" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.4412127185"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","316","-122.3947141494","0.0744839881","0.0744839881","0.0000000000","48.2613960238","15.9092677197","32.3521283041","-5.5525619250","47.1924663064","-52.7440492001","-55.1351896233","2.3911404231","2.1562441564","44.4493510826","0.5868710674","-5.7609976818","6.3478687491","0.1286250222","0.3934040913","1.6342150429","0.0000000000","0.0000000000"
"2","307","-122.8105154209","0.0491453830","0.1236293711","0.2478848904","48.5092809142","16.0538433049","32.4554376094","-5.4079863399","47.8448487036","-53.2528350435","-55.6040288689","2.3511938254","2.2575830414","44.8935027209","0.6937629413","-6.2848864907","6.9786494319","0.1487716385","0.4342482713","1.6745631316","0.0000000000","0.0000000000"
"3","1319","-122.8389240799","0.0477688736","0.1713982447","0.2648210515","48.5262170754","16.0707513988","32.4554656766","-5.3910782460","47.8447482404","-53.2358264863","-55.5848833858","2.3490568994","2.2576518709","44.8933788075","0.6937175620","-6.2848410950","6.9785586570","0.1487691943","0.4342730583","1.6746096183","0.0000000000","0.0000000000"
"4","1012","-123.1819590109","0.0338974339","0.2052956786","0.4693254196","48.7307214434","16.2797348316","32.4509866119","-5.1820948132","48.0017337088","-53.1838285219","-55.5338342190","2.3500056971","2.4586026036","44.9005457569","0.6425853482","-6.3624955222","7.0050808704","0.1511582998","0.5187048097","1.7887394941","0.0000000000","0.0000000000"
"5","904","-123.1874034064","0.0337133844","0.2390090630","0.4725711610","48.7339671848","16.2831742938","32.4507928910","-5.1786553510","48.0016079305","-53.1802632814","-55.5217240471","2.3414607657","2.4586437017","44.9004422917","0.6425219371","-6.3623526975","7.0048746345","0.1511466877","0.5187267319","1.7887702821","0.0000000000","0.0000000000"
"6","1286","-123.3902441535","0.0275238850","0.2665329480","0.5934970931","48.8548931170","16.3921572520","32.4627358650","-5.0696723927","47.8453066549","-52.9149790476","-55.2770814042","2.3621023565","2.6611422325","44.4615422121","0.7226222104","-6.3792980249","7.1019202352","0.1638483336","0.6339336025","1.8633602964","0.0000000000","0.0000000000"
"7","1287","-123.4559043869","0.0257747142","0.2923076622","0.6326412249","48.8940372488","16.4312981935","32.4627390553","-5.0305314513","47.8453236349","-52.8758550861","-55.2274167428","2.3515616566","2.6612209656","44.4615390987","0.7225635705","-6.3793638235","7.1019273940","0.1638500103","0.6339219656","1.8634489896","0.0000000000","0.0000000000"
"8","1256","-123.5065997060","0.0245006248","0.3168082870","0.6628638445","48.9242598683","16.4737202133","32.4505396550","-4.9881094315","48.0348799235","-53.0229893550","-55.3799597967","2.3569704417","2.7012382072","44.6217230108","0.7119187055","-6.4175794976","7.1294982031","0.1676356993","0.6585606590","1.8750418489","0.0000000000","0.0000000000"
"9","845","-123.5075859408","0.0244764734","0.3412847604","0.6634518001","48.9248478239","16.4719032918","32.4529445321","-4.9899263530","48.2140023657","-53.2039287186","-55.5434413850","2.3395126664","2.6972810118","44.8184561896","0.6982651642","-6.4370971150","7.1353622793","0.1680304151","0.6567999854","1.8724506113","0.0000000000","0.0000000000"
"10","613","-123.5176629102","0.0242310633","0.3655158237","0.6694593057","48.9308553295","16.4801470760","32.4507082535","-4.9816825688","48.0348870195","-53.0165695883","-55.3735720349","2.3570024466","2.7012188329","44.6217042758","0.7119639108","-6.4175359612","7.1294998720","0.1676610574","0.6586284927","1.8749292828","0.0000000000","0.0000000000"
