" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","301.8428016021"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","16673","-1264.7975026074","0.0608930807","0.0608930807","0.0000000000","574.0769374610","367.0479591049","207.0289783560","230.2287951196","301.7015720350","-71.4612291616","-77.6266331734","6.1654040119","147.1053017368","183.4039156073","-28.8076453091","-180.7854025230","151.9777572138","4.2883277161","9.2304379759","133.5865360449","0.0000000000","0.0000000000"
"2","18834","-1265.4489676667","0.0317424370","0.0926355177","0.3883786701","574.4653161310","367.6063185045","206.8589976265","230.7871545192","303.8511584778","-73.0640039586","-79.2759535008","6.2119495422","146.8900778522","185.7905200366","-28.8294394110","-180.7385477140","151.9091083031","4.3045578651","9.3577668430","133.2277531440","0.0000000000","0.0000000000"
"3","24435","-1265.7283157110","0.0240060636","0.1166415813","0.5549153406","574.6318528015","367.6680529139","206.9637998876","230.8488889286","303.8647308332","-73.0158419045","-79.1933793465","6.1775374420","146.8663296610","185.7750440581","-28.7766428859","-180.7414017249","151.9647588390","4.3041596520","9.3842897869","133.1778802221","0.0000000000","0.0000000000"
"4","15908","-1265.9959950626","0.0183683137","0.1350098950","0.7144955807","574.7914330417","367.6829629334","207.1084701083","230.8637989480","303.6658282886","-72.8020293405","-78.9711831593","6.1691538187","146.6820784165","185.7808656486","-28.7971157765","-180.8833607960","152.0862450196","4.2958421668","9.3934410840","132.9927951658","0.0000000000","0.0000000000"
"5","22373","-1266.0263677944","0.0178188051","0.1528287001","0.7326026473","574.8095401082","366.1448345546","208.6647055537","229.3256705692","297.0675889719","-67.7419184026","-73.8250268142","6.0831084116","147.6412724921","176.6678884168","-27.2415719370","-182.2044230169","154.9628510799","4.3068935693","9.5759870310","133.7583918918","0.0000000000","0.0000000000"
"6","27126","-1266.0617401471","0.0171995292","0.1700282293","0.7536902974","574.8306277584","367.0722006924","207.7584270660","230.2530367070","301.6681598932","-71.4151231862","-77.6239775686","6.2088543824","147.0893985879","182.6218475720","-28.0430862667","-181.2041688280","153.1610825613","4.3354325597","9.9217822922","132.8321837361","0.0000000000","0.0000000000"
"7","27544","-1266.1084846621","0.0164140471","0.1864422763","0.7815575979","574.8584950589","367.8638783575","206.9946167013","231.0447143722","304.3056358364","-73.2609214642","-79.4504324387","6.1895109745","146.8223203779","186.2940243718","-28.8107089133","-180.7774718405","151.9667629272","4.3045404650","9.2239331559","133.2938467571","0.0000000000","0.0000000000"
"8","22011","-1266.2984059737","0.0135748143","0.2000170906","0.8947814545","574.9717189155","368.8244554126","206.1472635028","232.0052914273","305.4340776029","-73.4287861757","-79.7458550560","6.3170688803","146.7988848060","185.1878716043","-26.5526788073","-177.7633278554","151.2106490481","4.3285639255","9.6337935347","132.8365273458","0.0000000000","0.0000000000"
"9","18770","-1266.5126950572","0.0109564366","0.2109735272","1.0225324491","575.0994699100","368.3063233700","206.7931465400","231.4871593847","306.0267622333","-74.5396028486","-80.7442573355","6.2046544869","146.6421481377","188.1779692474","-28.7933551519","-180.6930371322","151.8996819803","4.3205577213","9.5108226628","132.8107677536","0.0000000000","0.0000000000"
"10","18999","-1266.7274923814","0.0088386114","0.2198121386","1.1505864374","575.2275238983","368.2618823602","206.9656415382","231.4427183748","305.7103549959","-74.2676366210","-80.4510228068","6.1833861858","146.4445804003","188.0574082584","-28.7916336629","-180.8183390328","152.0267053698","4.3125210251","9.5223023365","132.6097570387","0.0000000000","0.0000000000"
"11","28512","-1266.7490677181","0.0086499578","0.2284620964","1.1634488319","575.2403862928","367.6772848031","207.5631014898","230.8581208177","301.7546608053","-70.8965399875","-77.0506424049","6.1541024174","147.6734856698","183.0663539301","-28.9851787946","-180.3073886175","151.3222098229","4.2733266504","9.2498842732","134.1502747462","0.0000000000","0.0000000000"
"12","22397","-1266.8085361752","0.0081505547","0.2366126511","1.1989016623","575.2758391232","370.2052793168","205.0705598065","233.3861153314","313.9954439013","-80.6093285699","-87.0108488891","6.4015203192","146.4666894502","192.8556938227","-25.3269393716","-176.3743373166","151.0473979450","4.3909137129","9.8164068220","132.2593689153","0.0000000000","0.0000000000"
"13","21815","-1266.8212274475","0.0080477674","0.2446604185","1.2064677158","575.2834051767","368.2687677029","207.0146374738","231.4496037176","305.8377879921","-74.3881842745","-80.5657248271","6.1775405526","146.4608347087","188.1537930118","-28.7768397284","-180.8322218998","152.0553821714","4.3119971759","9.5404696010","132.6083679318","0.0000000000","0.0000000000"
"14","16722","-1266.8277828980","0.0079951832","0.2526556017","1.2103758258","575.2873132867","367.6705206796","207.6167926071","230.8513566943","303.8934615409","-73.0421048466","-79.2468953983","6.2047905517","146.7045101719","185.2504718374","-28.0615204684","-181.1532173478","153.0916968794","4.3420160649","10.0307462659","132.3317478411","0.0000000000","0.0000000000"
"15","14779","-1266.8658158860","0.0076968124","0.2603524141","1.2330496455","575.3099871064","366.7354159292","208.5745711773","229.9162519438","298.9698101829","-69.0535582390","-75.1424913046","6.0889330656","147.4425495585","178.7345600581","-27.2072994337","-182.1460855754","154.9387861417","4.3223005263","9.7385714634","133.3816775688","0.0000000000","0.0000000000"
"16","27229","-1266.8796566237","0.0075910167","0.2679434308","1.2413009665","575.3182384274","367.4990649513","207.8191734761","230.6799009660","300.1699171829","-69.4900162170","-75.6685642813","6.1785480643","147.1904857437","181.9975375596","-29.0181061204","-181.7420981531","152.7239920328","4.2859170229","9.6777772900","133.2267914308","0.0000000000","0.0000000000"
"17","14483","-1266.9001537483","0.0074370065","0.2753804373","1.2535205719","575.3304580329","368.0146995804","207.3157584524","231.1955355951","305.6836574983","-74.4881219032","-80.6804211246","6.1922992213","146.6757365052","187.8682792723","-28.8603582792","-181.0746497179","152.2142914387","4.2888950166","9.3019030741","133.0849384145","0.0000000000","0.0000000000"
"18","21608","-1266.9257498422","0.0072490637","0.2826295010","1.2687799888","575.3457174497","367.9293785207","207.4163389290","231.1102145354","306.8394168865","-75.7292023511","-82.0000489667","6.2708466155","147.3053713003","187.3216758302","-27.7876302440","-180.2273533054","152.4397230614","4.3524187856","9.4379576796","133.5149948351","0.0000000000","0.0000000000"
