Ident, Complex G, Host G, Ligand G, Exp DeltaG, Calculated DeltaG, Error, Abs Error, Converged, Crashed
CD_guest-1,537.422569851,520.046224402,14.6466893365,-1.575,2.7296561125,4.3046561125,4.3046561125,yes,no
CD_guest-2,554.743925742,520.046224402,36.6513416532,-3.533,-1.9536403132,1.5793596868,1.5793596868,yes,no
CD_guest-3,572.295495415,520.046224402,56.4049567167,-4.606,-4.1556857037,0.4503142963,0.4503142963,yes,no
CD_guest-4,546.797328701,520.046224402,29.6126351403,-2.130,-2.8615308413,-0.7315308413,0.7315308413,yes,no
CD_guest-5,560.792884391,520.046224402,45.9021491073,-2.510,-5.1554891183,-2.6454891183,2.6454891183,yes,no
CD_guest-6,470.81011422,520.046224402,-44.8286162466,-1.506,-4.4074939354,-2.9014939354,2.9014939354,yes,no
CD_guest-7,486.916333269,520.046224402,-26.6828863637,-3.380,-6.4470047693,-3.0670047693,3.0670047693,yes,no
CD_guest-8,502.899009072,520.046224402,-8.7835664879,-4.622,-8.3636488421,-3.7416488421,3.7416488421,yes,no
CD_guest-s10,522.697109824,520.046224402,2.1713203176,-1.764,0.4795651044,2.2435651044,2.2435651044,yes,no
CD_guest-s11,545.590046441,520.046224402,26.042652365,-2.720,-0.498830326,2.221169674,2.221169674,yes,no
CD_guest-s12,592.533555003,520.046224402,73.85564069,-3.516,-1.368310089,2.147689911,2.147689911,yes,no
CD_guest-s13,539.739821722,520.046224402,22.6550992443,-3.604,-2.9615019243,0.6424980757,0.6424980757,yes,no
CD_guest-s14,563.827549937,520.046224402,46.7130614755,-4.137,-2.9317359405,1.2052640595,1.2052640595,yes,no
CD_guest-s15,548.600462902,520.046224402,32.3504007638,-4.166,-3.7961622638,0.3698377362,0.3698377362,yes,no
CD_guest-s16,535.692599972,520.046224402,15.8749322757,-2.022,-0.2285567057,1.7934432943,1.7934432943,yes,no
CD_guest-s17,576.081832446,520.046224402,60.2517587798,-3.227,-4.2161507358,-0.9891507358,0.9891507358,yes,no
CD_guest-s18,479.275806674,520.046224402,-35.9930822352,-2.596,-4.7773354928,-2.1813354928,2.1813354928,yes,no
CD_guest-s19,485.500835926,520.046224402,-29.8686021867,-3.344,-4.6767862893,-1.3327862893,1.3327862893,yes,no
CD_guest-s20,487.761052728,520.046224402,-27.8212303873,-3.011,-4.4639412867,-1.4529412867,1.4529412867,yes,no
CD_guest-s21,494.936776215,520.046224402,-17.6774966793,-3.991,-7.4319515077,-3.4409515077,3.4409515077,yes,no
CD_guest-s22,490.399312407,520.046224402,-23.0634312886,-3.597,-6.5834807064,-2.9864807064,2.9864807064,yes,no
CD_guest-s9,574.055733884,520.046224402,52.7515757102,-1.685,1.2579337718,2.9429337718,2.9429337718,yes,no
