" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","30.3974726802"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","131","-56.2409392387","0.2796070114","0.2796070114","0.0000000000","15.4068910197","-2.4511024743","17.8579934940","-15.8647460023","44.6640826735","-60.5283454266","-62.3082466407","1.7799012140","0.8716895383","43.6480701571","0.1443229780","-2.3702227034","2.5145456814","0.0803891390","0.3755163766","0.4157840227","0.0000000000","0.0000000000"
"2","82","-56.8210615421","0.1565323634","0.4361393748","0.3458468347","15.7527378544","-2.2021348543","17.9548727087","-15.6157783823","45.2781236934","-60.8939020757","-62.6434895612","1.7495874855","0.9929933030","44.0336787835","0.2514516069","-2.8555852351","3.1070368420","0.1012171984","0.4341045535","0.4576715511","0.0000000000","0.0000000000"
"3","87","-56.8543760433","0.1514034733","0.5875428481","0.3657076722","15.7725986919","-2.1821890620","17.9547877538","-15.5958325899","45.2780037385","-60.8738363284","-62.6158592156","1.7420228872","0.9930596729","44.0336069495","0.2513371161","-2.8554909555","3.1068280716","0.1011992817","0.4340875710","0.4577728202","0.0000000000","0.0000000000"
"4","38","-56.8638158327","0.1499809810","0.7375238292","0.3713353153","15.7782263350","-2.1764083103","17.9546346452","-15.5900518383","45.1744168396","-60.7644686778","-62.5182288376","1.7537601598","1.1611251667","43.7889679214","0.2243237515","-2.8968113121","3.1211350637","0.1003181333","0.4997415801","0.5610654532","0.0000000000","0.0000000000"
"5","41","-56.9247083781","0.1411207557","0.8786445849","0.4076371329","15.8145281526","-2.1401266617","17.9546548143","-15.5537701896","45.1744113445","-60.7281815342","-62.4866016740","1.7584201398","1.1610670464","43.7889854319","0.2243588662","-2.8968307995","3.1211896657","0.1003131533","0.4997520093","0.5610018839","0.0000000000","0.0000000000"
"6","170","-57.7713064026","0.0605226650","0.9391672499","0.9123466490","16.3192376687","-1.8115081865","18.1307458552","-15.2251517145","45.6966862209","-60.9218379353","-62.6335886775","1.7117507422","1.2625965172","44.1793144793","0.2547752244","-3.5520565544","3.8068317788","0.1251939469","0.6159786755","0.5214238948","0.0000000000","0.0000000000"
"7","74","-57.8472730417","0.0560952581","0.9952625080","0.9576350676","16.3645260872","-1.7661448000","18.1306708872","-15.1797883279","45.6966045029","-60.8763928309","-62.5867517596","1.7103589287","1.2625918861","44.1792481057","0.2547645111","-3.5519167611","3.8066812722","0.1252040616","0.6159459507","0.5214418737","0.0000000000","0.0000000000"
"8","67","-60.9698069379","0.0024707392","0.9977332472","2.8191709159","18.2260619356","0.2102257695","18.0158361661","-13.2034177585","47.4232000130","-60.6266177715","-62.3281492433","1.7015314718","2.4141249878","44.8310520356","0.1780229896","-3.7431882828","3.9212112724","0.1379239741","0.9406848803","1.3355161334","0.0000000000","0.0000000000"
"9","47","-61.0559760173","0.0022667528","1.0000000000","2.8705416410","18.2774326607","0.2616341795","18.0157984812","-13.1520093485","47.4231904255","-60.5751997740","-62.2617891937","1.6865894197","2.4140966681","44.8310617797","0.1780319777","-3.7431653120","3.9211972897","0.1379199350","0.9406110825","1.3355656506","0.0000000000","0.0000000000"
