" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.3251594295"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","130","-85.0123462905","0.3623830548","0.3623830548","0.0000000000","30.2177713773","15.5472442243","14.6705271530","3.0278435982","5.8937460975","-2.8659024993","-4.6071238743","1.7412213750","13.7802955800","-8.5181909931","0.6316415105","-3.3019178889","3.9335593994","0.0538607852","4.0305587229","9.6958760719","0.0000000000","0.0000000000"
"2","114","-85.0414080585","0.3520031226","0.7143861774","0.0173255199","30.2350968972","15.5634943534","14.6716025438","3.0440937273","5.8937081942","-2.8496144669","-4.5924511251","1.7428366582","13.7803257257","-8.5182458538","0.6316283223","-3.3018832941","3.9335116165","0.0538704667","4.0307768617","9.6956783973","0.0000000000","0.0000000000"
"3","20","-85.2504074774","0.2856138226","1.0000000000","0.1419230178","30.3596943951","15.0468822191","15.3128121759","2.5274815930","4.5082805844","-1.9807817678","-3.7124054720","1.7316237042","14.7054918324","-10.6874194760","0.4902082280","-3.7446318633","4.2348400913","0.0675307726","3.9014062916","10.7365547682","0.0000000000","0.0000000000"
