" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.3251594295"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","259","-85.0125725754","0.3623777365","0.3623777365","0.0000000000","30.2179062798","15.5472613093","14.6706449705","3.0278606832","5.8937027533","-2.8658420701","-4.6070634451","1.7412213750","13.7803191757","-8.5182807401","0.6316643176","-3.3019272383","3.9335915559","0.0538592600","4.0307486351","9.6957112806","0.0000000000","0.0000000000"
"2","258","-85.0417762880","0.3519479960","0.7143257325","0.0174101418","30.2353164216","15.5638408331","14.6714755885","3.0444402070","5.8937428581","-2.8493026511","-4.5921393093","1.7428366582","13.7802929243","-8.5182438167","0.6316937505","-3.3020109646","3.9337047151","0.0538681951","4.0307754950","9.6956492341","0.0000000000","0.0000000000"
"3","20","-85.2504074774","0.2856742675","1.0000000000","0.1417881153","30.3596943951","15.0468822191","15.3128121759","2.5274815930","4.5082805844","-1.9807916227","-3.7124153269","1.7316237042","14.7054918324","-10.6874194760","0.4902082280","-3.7446318633","4.2348400913","0.0675307726","3.9014062916","10.7365547682","0.0000000000","0.0000000000"
