" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.6876527883"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","620","-121.1339110664","0.0797499134","0.0797499134","0.0000000000","47.3628350299","20.6942875837","26.6685474462","2.8094295464","4.5303892999","-1.7209597535","-3.7226725695","2.0017128160","12.2235914171","-9.7548197272","2.0616176100","-9.1956111476","11.2572287576","0.2162525533","2.7540627458","9.2532761181","0.0000000000","0.0000000000"
"2","126","-121.1742333034","0.0765981878","0.1563481012","0.0240385828","47.3868736127","20.7182627455","26.6686108672","2.8334047082","4.5303767974","-1.6969720892","-3.6986839211","2.0017118319","12.2238754502","-9.7547745468","2.0612758941","-9.1953115941","11.2565874881","0.2162457970","2.7545144937","9.2531151596","0.0000000000","0.0000000000"
"3","428","-121.3130010816","0.0666733712","0.2230214723","0.1067666500","47.4696016799","20.4564644835","27.0131371963","2.5716064462","3.9218113661","-1.3501352198","-3.3447453056","1.9946100858","12.5708329618","-10.5805739018","1.9315523061","-10.4826328120","12.4141851181","0.2678886780","3.7281204747","8.5748238090","0.0000000000","0.0000000000"
"4","7","-121.3603547013","0.0635897326","0.2866112049","0.1349970755","47.4978321054","20.4845888812","27.0132432242","2.5997308439","3.9218044898","-1.3220500171","-3.3016347483","1.9795847312","12.5708482275","-10.5806321512","1.9315884134","-10.4826397958","12.4142282092","0.2679189297","3.7280930462","8.5748362517","0.0000000000","0.0000000000"
"5","436","-121.5780623553","0.0511490729","0.3377602778","0.2647860917","47.6276211216","20.9702804338","26.6573406878","3.0854223965","5.4333458511","-2.3479234546","-4.3574607163","2.0095372617","11.9028224110","-8.7193198402","2.2498432803","-8.9255734143","11.1754166946","0.2228012767","2.4712568512","9.2087642831","0.0000000000","0.0000000000"
"6","742","-121.6361498960","0.0482625948","0.3860228726","0.2994156723","47.6622507022","20.9991218788","26.6631288234","3.1142638415","5.4112909882","-2.2970271467","-4.2999247308","2.0028975841","11.9085593360","-8.7332695247","2.2360011769","-8.9362189248","11.1722201017","0.2232776431","2.4572812240","9.2280004689","0.0000000000","0.0000000000"
"7","523","-121.6653378184","0.0468742697","0.4328971423","0.3168164006","47.6796514305","21.0167118633","26.6629395672","3.1318538260","5.4112841677","-2.2794303417","-4.3004257038","2.0209953621","11.9086239606","-8.7332594228","2.2359196299","-8.9361593814","11.1720790113","0.2232610460","2.4573657243","9.2279971904","0.0000000000","0.0000000000"
"8","543","-121.6815989025","0.0461182071","0.4790153493","0.3265106400","47.6893456699","21.0168650336","26.6724806363","3.1320069963","5.4056696566","-2.2736626603","-4.2900603207","2.0163976604","12.0106348773","-8.8633158201","2.2583505994","-8.9441658331","11.2025164325","0.2239309235","2.4189889313","9.3677150226","0.0000000000","0.0000000000"
"9","490","-121.7005242538","0.0452536110","0.5242689603","0.3377932140","47.7006282439","21.0282131338","26.6724151101","3.1433550965","5.4056761415","-2.2623210451","-4.2703096070","2.0079885620","12.0106699396","-8.8633636453","2.2583698473","-8.9441765428","11.2025463901","0.2239162289","2.4189599803","9.3677937303","0.0000000000","0.0000000000"
"10","587","-121.7581561483","0.0427192900","0.5669882503","0.3721511557","47.7349861856","21.1077053636","26.6272808220","3.2228473263","5.2328153504","-2.0099680241","-4.0243397014","2.0143716773","12.2745518306","-9.2329538388","2.1912173585","-8.9516852736","11.1429026322","0.2174713062","2.5136923770","9.5433881474","0.0000000000","0.0000000000"
