" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.4412127185"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","300","-81.2120820085","0.1703934008","0.1703934008","0.0000000000","23.7098783757","-8.8425513634","32.5524297391","-30.3043810081","23.5173684591","-53.8175176826","-56.1632753227","2.3457576400","2.7365012220","19.8622396629","0.9186275741","-6.7933676034","7.7119951775","0.1709527429","0.8728028784","1.6927456008","0.0000000000","0.0000000000"
"2","54","-82.0065998423","0.0769835723","0.2473769731","0.4736612889","24.1835396646","-8.3833123557","32.5668520203","-29.8451420005","23.8174024331","-53.6625444336","-56.0207878600","2.3582434264","3.2769115423","19.4916535200","1.0488373708","-6.9489821085","7.9978194793","0.1831612987","1.1519314459","1.9418187977","0.0000000000","0.0000000000"
"3","394","-82.0730551522","0.0720338928","0.3194108659","0.5132794150","24.2231577907","-8.4740988667","32.6972566574","-29.9359285115","24.0600854085","-53.9960139199","-56.3275536172","2.3315396973","3.2492215599","19.7809775447","1.0298863038","-7.4206671233","8.4505534271","0.2073023433","1.2047075683","1.8372116484","0.0000000000","0.0000000000"
"4","1098","-82.2087822627","0.0628914127","0.3823022787","0.5941947517","24.3040731275","-8.3606695557","32.6647426832","-29.8224992004","24.1480519067","-53.9705511071","-56.2816214940","2.3110703869","3.2421441132","19.8632388663","1.0426689271","-7.4218612619","8.4645301891","0.2055668626","1.1122063508","1.9243708998","0.0000000000","0.0000000000"
"5","512","-82.2483874403","0.0604492672","0.4427515458","0.6178058510","24.3276842267","-8.3306081037","32.6582923305","-29.7924377485","24.2592993288","-54.0517370773","-56.3554384709","2.3037013936","3.2396140745","19.9706280266","1.0490572277","-7.4315068624","8.4805640901","0.2075173061","1.1100251210","1.9220716475","0.0000000000","0.0000000000"
"6","976","-82.3806525098","0.0529601310","0.4957116768","0.6966572507","24.4065356265","-8.2620273295","32.6685629560","-29.7238569743","24.2756772063","-53.9995341806","-56.3120057007","2.3124715201","3.2687077164","20.0070898003","0.9998796897","-7.4834761651","8.4833558548","0.2108598342","1.1030848378","1.9547630443","0.0000000000","0.0000000000"
"7","470","-82.3830212519","0.0528348305","0.5485465073","0.6980694046","24.4079477803","-8.3372453192","32.7451930995","-29.7990749640","24.1488530152","-53.9479279792","-56.2551654302","2.3072374510","3.0378458798","20.3239196204","0.7870875150","-7.6859515734","8.4730390884","0.2007906485","1.0895153662","1.7475398651","0.0000000000","0.0000000000"
"8","610","-82.5681150110","0.0439071371","0.5924536445","0.8084152581","24.5182936339","-8.1038378458","32.6221314797","-29.5656674906","24.2816289728","-53.8472964634","-56.2069102239","2.3596137605","3.3110587267","19.8873530577","1.0832171884","-7.4442658377","8.5274830262","0.2184564544","1.1670788428","1.9255234295","0.0000000000","0.0000000000"
"9","232","-82.7343411861","0.0371829643","0.6296366088","0.9075129762","24.6173913520","-8.2246475343","32.8420388863","-29.6864771791","24.3354430367","-54.0219202158","-56.3366732215","2.3147530056","3.5301668711","19.9444251296","0.8608510360","-7.9145566630","8.7754076990","0.2125613538","1.4151307295","1.9024747878","0.0000000000","0.0000000000"
"10","764","-82.9579272796","0.0297332104","0.6593698191","1.0408064943","24.7506848700","-7.9297351351","32.6804200051","-29.3915647798","24.4423031638","-53.8338679436","-56.1284013940","2.2945334504","3.7808019834","19.4917506517","1.1697505287","-7.5826898900","8.7524404187","0.2178788873","1.3898139787","2.1731091174","0.0000000000","0.0000000000"
"11","545","-83.1243885399","0.0251737895","0.6845436087","1.1400443612","24.8499227370","-7.8239179876","32.6738407245","-29.2857476323","24.4543377933","-53.7400854256","-56.0701031755","2.3300177499","3.7828071731","19.4908525437","1.1806780765","-7.5950573236","8.7757354001","0.2205593077","1.3914810572","2.1707668081","0.0000000000","0.0000000000"
