" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.0787193596"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","167","-79.3803436489","0.1827434755","0.1827434755","0.0000000000","27.0071039757","4.3185399756","22.6885640001","-11.7778322580","45.7722494628","-57.5496453034","-59.5109972685","1.9613519651","1.2987410172","44.1768212014","0.2966872442","-3.4895668229","3.7862540671","0.0958678935","0.3808981911","0.8219749326","0.0000000000","0.0000000000"
"2","143","-79.8847449849","0.1103527508","0.2930962263","0.3007048763","27.3078088520","4.5186074779","22.7892013741","-11.5777647557","46.4228957982","-58.0006605539","-59.9396125460","1.9389519921","1.4101216380","44.6127081623","0.4000659979","-4.0009723878","4.4010383856","0.1171325640","0.4296151810","0.8633738930","0.0000000000","0.0000000000"
"3","94","-79.9506754784","0.1033117966","0.3964080229","0.3400101268","27.3471141026","4.5579641020","22.7891500005","-11.5384081315","46.4228057861","-57.9612139176","-59.8937073210","1.9324934034","1.4101172155","44.6126417023","0.4000468682","-4.0009438660","4.4009907343","0.1171186351","0.4296572012","0.8633413792","0.0000000000","0.0000000000"
"4","310","-80.1962274549","0.0808179901","0.4772260130","0.4863988682","27.4935028439","4.7095278929","22.7839749510","-11.3868443407","46.5081798567","-57.8950241973","-59.8235015502","1.9284773528","1.6101696126","44.5355195201","0.3624907239","-4.0564285995","4.4189193234","0.1181460125","0.5153165489","0.9767070512","0.0000000000","0.0000000000"
"5","125","-80.2191276635","0.0789882717","0.5562142847","0.5000511008","27.5071550766","4.7231055906","22.7840494860","-11.3732666429","46.5081718875","-57.8814385304","-59.8137291262","1.9322905957","1.6100054857","44.5355668602","0.3625995416","-4.0565290667","4.4191286084","0.1181531519","0.5152219128","0.9766304210","0.0000000000","0.0000000000"
"6","278","-80.4130430943","0.0650648166","0.6212791013","0.6156560992","27.6227600750","4.8244704947","22.7982895803","-11.2719017389","46.4861991590","-57.7581008978","-59.7049260613","1.9468251634","1.8059322323","44.2475745624","0.4326923642","-4.0891437402","4.5218361044","0.1308087973","0.6282891677","1.0468342674","0.0000000000","0.0000000000"
"7","301","-80.4275242399","0.0641293928","0.6854084941","0.6242892070","27.6313931827","4.8328538805","22.7985393022","-11.2635183531","46.4862176272","-57.7497359802","-59.6861896164","1.9364536362","1.8058894401","44.2475904588","0.4327377283","-4.0892100363","4.5219477646","0.1308314025","0.6284202726","1.0466377650","0.0000000000","0.0000000000"
"8","33","-80.8835272706","0.0406459734","0.7260544675","0.8961408560","27.9032448317","5.0218702581","22.8813745736","-11.0745019755","47.0796758469","-58.1541778223","-60.0533162853","1.8991384630","1.9432135256","44.5717006615","0.5647616598","-4.5746057196","5.1393673793","0.1578711736","0.7001193411","1.0852230109","0.0000000000","0.0000000000"
"9","120","-80.8981171026","0.0400572605","0.7661117279","0.9048387584","27.9119427342","5.0062039762","22.9057387580","-11.0901682574","47.0523358627","-58.1425041201","-60.0593288557","1.9168247356","1.9097039089","44.6253516408","0.5172803130","-4.6116449442","5.1289252572","0.1531536131","0.6524645948","1.1040857010","0.0000000000","0.0000000000"
"10","292","-80.9316183349","0.0387375228","0.8048492507","0.9248109178","27.9319148936","5.0260566134","22.9058582802","-11.0703156202","47.0525105093","-58.1228261294","-60.0323991759","1.9095730465","1.9093732520","44.6254429636","0.5176942937","-4.6119905547","5.1296848484","0.1531372518","0.6523779308","1.1038580693","0.0000000000","0.0000000000"
