" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","37.7599660391"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","241","-101.3603142541","0.1296169653","0.1296169653","0.0000000000","37.9161066316","10.3958331184","27.5202735132","-8.3832678207","46.6038952751","-54.9866502649","-57.1630530457","2.1764027808","1.7268282015","44.4343269553","0.4427401183","-4.6228890336","5.0656291519","0.1122983187","0.3864142707","1.2281156121","0.0000000000","0.0000000000"
"2","514","-101.8747664160","0.0774886534","0.2071056187","0.3066967961","38.2228034277","10.6003072994","27.6224961283","-8.1787936397","47.2881640632","-55.4669577030","-57.5999368326","2.1329791297","1.8326160848","44.9077648554","0.5477831231","-5.1418636716","5.6896467947","0.1330068047","0.4307546032","1.2688546769","0.0000000000","0.0000000000"
"3","130","-102.1370068812","0.0596140362","0.2667196550","0.4630345792","38.3791412108","10.7609097223","27.6182314885","-8.0181912169","47.3746462134","-55.3928374303","-57.5444582217","2.1516207915","2.0320981021","44.8429769077","0.4995712036","-5.2181309527","5.7177021563","0.1352514514","0.5142162377","1.3826304130","0.0000000000","0.0000000000"
"4","692","-102.2482562419","0.0533376090","0.3200572640","0.5293572133","38.4454638449","10.8273278207","27.6181360242","-7.9517731185","47.3746088625","-55.3263819809","-57.4906158263","2.1642338453","2.0323017373","44.8428696019","0.4994375232","-5.2180487995","5.7174863227","0.1352538680","0.5144194441","1.3826284252","0.0000000000","0.0000000000"
"5","548","-102.3778490544","0.0468545855","0.3669118495","0.6066155151","38.5227221467","10.8926768066","27.6300453401","-7.8864241325","47.2641377555","-55.1505618881","-57.3129136382","2.1623517501","2.2337844005","44.4504987857","0.5798545693","-5.2342978421","5.8141524114","0.1477373478","0.6297225690","1.4563244837","0.0000000000","0.0000000000"
"6","551","-102.4383749483","0.0441027874","0.4110146368","0.6426987491","38.5588053807","10.9284519670","27.6303534137","-7.8506489721","47.2640881508","-55.1147371229","-57.2802079120","2.1654707890","2.2339774602","44.4505017199","0.5796089707","-5.2340287904","5.8136377611","0.1477715515","0.6296934860","1.4565124227","0.0000000000","0.0000000000"
"7","679","-102.5821379521","0.0381971147","0.4492117516","0.7284047795","38.6445114111","11.0252204171","27.6192909940","-7.7538805220","47.5618409528","-55.3157214748","-57.4722065153","2.1564850405","2.2732506811","44.7226373417","0.5659529300","-5.2659646611","5.8319175911","0.1506936887","0.6565657276","1.4659912647","0.0000000000","0.0000000000"
"8","712","-102.5972072853","0.0376258250","0.4868375766","0.7373885424","38.6534951740","11.0343905524","27.6191046216","-7.7447103868","47.5618863850","-55.3065967718","-57.4508287619","2.1442319901","2.2731452333","44.7226523570","0.5660887947","-5.2660610968","5.8321498915","0.1506727740","0.6565597376","1.4659127217","0.0000000000","0.0000000000"
"9","555","-102.8373266270","0.0295939902","0.5164315668","0.8805385536","38.7966451852","11.0622347239","27.7344104614","-7.7168662153","47.9551763679","-55.6720425832","-57.7922567044","2.1202141212","2.3398242163","44.9388819379","0.6764702137","-5.7631959924","6.4396662060","0.1682395789","0.6728465573","1.4987380801","0.0000000000","0.0000000000"
"10","489","-102.9036168949","0.0276958073","0.5441273740","0.9200582880","38.8361649196","11.1077757382","27.7283891814","-7.6713252010","48.0830583408","-55.7543835418","-57.8927572318","2.1383736901","2.3384729428","45.0687906127","0.6757947853","-5.7724058510","6.4482006364","0.1697377290","0.6706264435","1.4981087703","0.0000000000","0.0000000000"
