" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","268.5041409144"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","9793","-1144.5868414802","0.0233085799","0.0233085799","0.0000000000","522.2871576184","363.3863737433","158.9007838752","252.5002539120","288.6680288923","-36.1677749803","-42.0712678805","5.9034929002","132.7060728237","165.2777870160","-9.3158309473","-143.6400214484","134.3241905011","4.9881668820","14.6861177357","113.0317882060","0.0000000000","0.0000000000"
"2","12581","-1144.8186850416","0.0184853397","0.0417939195","0.1382163061","522.4253739245","363.8544270320","158.5709468925","252.9683072008","290.6139550779","-37.6456478771","-43.5401017879","5.8944539108","133.2797328550","166.9387861138","-9.6045638910","-143.6881768714","134.0836129804","4.9556778025","15.0702059832","113.2538490693","0.0000000000","0.0000000000"
"3","7348","-1144.8331421985","0.0182200167","0.0600139363","0.1468351127","522.4339927311","363.3429218771","159.0910708540","252.4568020459","287.1920590510","-34.7349114225","-40.5790422080","5.8441307855","132.9956569136","163.9067727708","-9.7103706335","-144.4902428879","134.7798722544","4.9503191882","14.8089731312","113.2363645943","0.0000000000","0.0000000000"
"4","9833","-1145.0912328386","0.0140754222","0.0740893585","0.3006989280","522.5878565464","363.9332210450","158.6546355014","253.0471012138","288.4002316236","-35.3531304098","-41.2158286147","5.8626982049","133.2556453295","165.0160034937","-9.8714171996","-144.1303025541","134.2588853545","4.9044493785","15.2631907389","113.0880052121","0.0000000000","0.0000000000"
"5","12564","-1145.2505275064","0.0120027465","0.0860921050","0.3956643453","522.6828219637","363.9263239030","158.7564980607","253.0402040718","288.5420517664","-35.5018476947","-41.3574495776","5.8556018829","133.5924714257","164.9274811904","-9.9779008497","-144.6113330731","134.6334322233","4.9188239383","15.2040360580","113.4696114294","0.0000000000","0.0000000000"
"6","12308","-1145.3586286435","0.0107729069","0.0968650119","0.4601101283","522.7472677467","363.9220528320","158.8252149148","253.0359330007","293.0814657069","-40.0455327061","-45.9511170190","5.9055843129","132.5172223665","169.8919040610","-9.3276607206","-144.0704305537","134.7427698331","5.0341861301","14.9185556358","112.5644806006","0.0000000000","0.0000000000"
"7","12277","-1145.4211723773","0.0101197669","0.1069847789","0.4973963217","522.7845539401","364.0352929404","158.7492609997","253.1491731092","293.4181869193","-40.2690138102","-46.1843791016","5.9153652914","132.2370288131","170.4176183968","-9.2364602905","-143.6944461618","134.4579858713","5.0181680277","15.0450630974","112.1737976880","0.0000000000","0.0000000000"
"8","11487","-1145.4389393415","0.0099415572","0.1169263360","0.5079883094","522.7951459278","363.9435527452","158.8515931826","253.0574329140","290.5574231577","-37.4999902437","-43.4220558198","5.9220655761","132.4941399382","167.3162234135","-9.2529401940","-143.5005451434","134.2476049494","5.0020820408","14.8348897476","112.6571681498","0.0000000000","0.0000000000"
"9","12574","-1145.4423398010","0.0099078087","0.1268341448","0.5100155340","522.7971731524","364.6274972169","158.1696759354","253.7413773857","292.5447941687","-38.8034167830","-44.6732958899","5.8698791069","133.4369711260","169.1585110130","-10.0506879703","-142.9768155974","132.9261276271","4.8996659585","15.3509998233","113.1863053442","0.0000000000","0.0000000000"
"10","12711","-1145.4476472897","0.0098553625","0.1366895072","0.5131796567","522.8003372751","364.1710344373","158.6293028377","253.2849146061","289.7761155557","-36.4912009496","-42.3439407524","5.8527398028","133.2118665816","166.3496983675","-9.7854493934","-143.3830314309","133.5975820375","4.9545148801","14.8373484423","113.4200032592","0.0000000000","0.0000000000"
