" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.6876527883"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","787","-121.1740780303","0.0828837248","0.0828837248","0.0000000000","47.3867810448","20.7180681271","26.6687129177","2.8332100898","4.5303823316","-1.6971722418","-3.6988840737","2.0017118319","12.2236065310","-9.7548759301","2.0616517307","-9.1955990097","11.2572507404","0.2162437939","2.7539675134","9.2533952237","0.0000000000","0.0000000000"
"2","428","-121.3131173880","0.0721249017","0.1550086266","0.0828899725","47.4696710173","20.4564695100","27.0132015073","2.5716114727","3.9218092276","-1.3501280635","-3.3447381492","1.9946100858","12.5707717459","-10.5806256335","1.9316631152","-10.4827074702","12.4143705854","0.2678981794","3.7279984655","8.5748751010","0.0000000000","0.0000000000"
"3","451","-121.3604111224","0.0687932499","0.2238018764","0.1110846967","47.4978657415","20.4845915529","27.0132741886","2.5997335156","3.9218062346","-1.3220727189","-3.3016574502","1.9795847312","12.5707464454","-10.5806011961","1.9316609852","-10.4827178227","12.4143788079","0.2678980860","3.7280807497","8.5747676097","0.0000000000","0.0000000000"
"4","501","-121.5780939739","0.0553359494","0.2791378258","0.2408589266","47.6276399714","20.9703276214","26.6573123500","3.0854695841","5.4333393057","-2.3478697217","-4.3574069833","2.0095372617","11.9028608813","-8.7193270117","2.2498054361","-8.9255468920","11.1753523281","0.2227984662","2.4713769665","9.2086854486","0.0000000000","0.0000000000"
"5","94","-121.6215097135","0.0529849037","0.3321227295","0.2667417379","47.6535227827","20.9962729563","26.6572498264","3.1114149190","5.4333295357","-2.3219146167","-4.3481857574","2.0262711408","11.9028418443","-8.7193123227","2.2498000141","-8.9255531803","11.1753531943","0.2228015322","2.4713307031","9.2087096090","0.0000000000","0.0000000000"
"6","810","-121.6362536196","0.0522094300","0.3843321595","0.2755314935","47.6623125383","20.9992101767","26.6631023616","3.1143521394","5.4112992179","-2.2969470785","-4.2998446626","2.0028975841","11.9085791141","-8.7332494713","2.2359695751","-8.9361825787","11.1721521537","0.2232745040","2.4573729298","9.2279316803","0.0000000000","0.0000000000"
"7","530","-121.6654473584","0.0507072750","0.4350394345","0.2929356892","47.6797167341","21.0167940793","26.6629226548","3.1319360420","5.4112877286","-2.2793516866","-4.3003470487","2.0209953621","11.9087664153","-8.7332308658","2.2357521790","-8.9360412792","11.1717934583","0.2232735339","2.4577110206","9.2277818609","0.0000000000","0.0000000000"
"8","756","-121.6814871960","0.0499004267","0.4849398613","0.3024980299","47.6892790747","21.0168966875","26.6723823872","3.1320386502","5.4056744237","-2.2736357734","-4.2900334338","2.0163976604","12.0106232120","-8.8633214835","2.2583726952","-8.9441824229","11.2025551181","0.2239206462","2.4187790388","9.3679235269","0.0000000000","0.0000000000"
"9","536","-121.7581559389","0.0462176062","0.5311574674","0.3482050159","47.7349860608","21.1077286032","26.6272574576","3.2228705659","5.2328231338","-2.0099525679","-4.0243242453","2.0143716773","12.2744827825","-9.2328899340","2.1912302854","-8.9517306994","11.1429609848","0.2174565732","2.5136234325","9.5434027768","0.0000000000","0.0000000000"
"10","552","-121.7746536994","0.0454613744","0.5766188418","0.3580403527","47.7448213976","21.0966102451","26.6482111525","3.2117522078","5.4828805193","-2.2711283115","-4.2913345061","2.0202061946","12.0186936340","-8.7874922646","2.2516791500","-8.9335157844","11.1851949344","0.2225404099","2.4286915997","9.3674616243","0.0000000000","0.0000000000"
