" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.8581906307"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","204","-9.1414049721","0.1363250809","0.1363250809","0.0000000000","-21.8891499697","-37.1367454489","15.2475954792","-53.2331176825","6.5717824489","-59.8026019479","-62.0370786229","2.2344766750","7.9887912358","-2.6977003274","1.2806915406","-6.4668758982","7.7475674388","0.1361139248","2.8541902793","4.9975974256","0.0008896061","0.0000000000"
"2","322","-9.1531389119","0.1347347990","0.2710598798","0.0069953283","-21.8821546414","-36.7740538568","14.8918992154","-52.8704260904","6.6324305425","-59.5028566329","-61.7582356541","2.2553790211","9.0758654517","-3.0077002283","0.5642653191","-5.7728832843","6.3371486034","0.0838811231","2.2386158290","6.7524586943","0.0009098053","0.0000000000"
"3","710","-9.2511132109","0.1221602974","0.3932201772","0.0654038759","-21.8237460938","-36.7154601505","14.8917140567","-52.8118323840","6.6323436817","-59.4441760657","-61.7269832174","2.2828071517","9.0758129862","-3.0078114355","0.5643421310","-5.7728856406","6.3372277716","0.0838769715","2.2386197043","6.7523953170","0.0009209934","0.0000000000"
"4","708","-10.1705836846","0.0487089904","0.4419291677","0.6135571723","-21.2755927974","-36.3082938160","15.0327010186","-52.4046660496","7.8279091619","-60.2325752115","-62.4860995462","2.2535243347","9.3004084549","-2.0804744100","0.6079751170","-6.3412414214","6.9492165384","0.1034954420","2.3336476678","6.8622276042","0.0010377408","0.0000000000"
"5","132","-10.2100963977","0.0468218937","0.4887510614","0.6371131478","-21.2520368219","-36.2844460520","15.0324092301","-52.3808182856","7.8278835899","-60.2087018755","-62.4507464725","2.2420445971","9.3003171736","-2.0804329607","0.6079993770","-6.3412118103","6.9492111874","0.1034781334","2.3336196493","6.8622473203","0.0009720706","0.0000000000"
"6","217","-10.3761247375","0.0396591848","0.5284102462","0.7360929240","-21.1530570456","-36.1593173572","15.0062603115","-52.2556895908","7.4913068425","-59.7469964332","-61.9732856642","2.2262892310","9.6038727324","-2.7988566414","0.6862907515","-6.4346315273","7.1209222788","0.1241103670","2.4927707968","6.9860433853","0.0009481833","0.0000000000"
"7","519","-10.3983922718","0.0387858324","0.5671960786","0.7493679803","-21.1397819893","-36.2517301520","15.1119481627","-52.3481023856","8.4279735660","-60.7760759516","-62.9840098768","2.2079339252","9.2305723789","-1.3041365056","0.5015376927","-6.5149960336","7.0165337262","0.1028154519","2.3281647296","6.7990991895","0.0004930079","0.0000000000"
"8","556","-10.4172671822","0.0380606189","0.6052566975","0.7606204835","-21.1285294862","-36.2401145420","15.1115850558","-52.3364867756","8.4283464177","-60.7648331933","-62.9757058692","2.2108726759","9.2304131553","-1.3035481168","0.5014813791","-6.5152472515","7.0167286307","0.1028185403","2.3282836897","6.7988838495","0.0004270758","0.0000000000"
"9","630","-10.4338926577","0.0374330741","0.6426897716","0.7705319591","-21.1186180106","-36.1253769458","15.0067589352","-52.2217491793","7.4914474685","-59.7131966478","-61.9487352591","2.2355386113","9.6038854899","-2.7984271301","0.6859891087","-6.4346890432","7.1206781519","0.1241099463","2.4930240659","6.9859083911","0.0008430865","0.0000000000"
"10","143","-10.4575052050","0.0365595377","0.6792493093","0.7846088609","-21.1045411087","-36.4603723542","15.3558312455","-52.5567445878","7.4276048290","-59.9843494168","-62.1824838678","2.1981344511","8.5482938856","-2.5404044548","1.4197153982","-7.1156728280","8.5353882262","0.1836761084","3.1122282722","5.2514356429","0.0009538620","0.0000000000"
