" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","291.5111857831"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","493","-1101.0405662228","0.3268793346","0.3268793346","0.0000000000","482.6106015395","304.9192487751","177.6913527645","182.4079712196","254.4592854736","-72.0513142541","-78.0091458581","5.9578316040","149.9515488994","126.9248106406","-22.4170740663","-179.4706144767","157.0535404104","5.1518421373","15.3326073445","129.4588943461","0.0082050714","0.0000000000"
"2","309","-1101.0572367184","0.3214752635","0.6483545981","0.0099383149","482.6205398544","304.6125948670","178.0079449874","182.1013173115","254.4221634991","-72.3213573790","-78.3020030133","5.9806456343","149.1936494745","127.4413274063","-22.2128133817","-178.9541252797","156.7413118980","5.0935275098","14.6561118788","129.4378592447","0.0061508411","0.0000000000"
"3","41","-1101.6971111786","0.1695327527","0.8178873508","0.3914071110","483.0020086505","305.6702956569","177.3317129936","183.1590181014","257.7408423757","-74.5783137597","-80.5378694764","5.9595557167","150.3958396585","129.1093501100","-21.7643473929","-177.7636651750","155.9993177821","5.1400552435","15.4628621297","129.7683570911","0.0245651942","0.0000000000"
"4","644","-1103.4867231816","0.0283162016","0.8462035525","1.4583056648","484.0689072043","306.2658285214","177.8030786830","183.7545509659","258.0913591542","-74.3368081884","-80.3098012359","5.9729930475","150.7038821519","129.8397185858","-22.4522415835","-179.2920049885","156.8397634050","5.1378957263","15.4469402027","130.1119200295","0.0071261934","0.0000000000"
"5","948","-1103.5359998832","0.0269546934","0.8731582459","1.4876825586","484.0982840981","306.6642564690","177.4340276291","184.1529789135","260.6608790921","-76.5079001786","-82.4808179830","5.9729178045","151.8881752065","130.5200757612","-21.7473718756","-178.7815533317","157.0341814560","5.1743294952","15.1365125562","131.5647920378","0.0125411174","0.0000000000"
"6","650","-1103.5955424013","0.0253965901","0.8985548360","1.5231795414","484.1337810809","306.6444060657","177.4893750152","184.1331285102","255.2519087550","-71.1187802448","-77.0267087392","5.9079284944","150.4600940277","127.5210977015","-22.7292829742","-179.4510280403","156.7217450661","5.1444528663","15.6737243892","129.6336765706","0.0082402016","0.0000000000"
"7","111","-1103.6526134104","0.0239877650","0.9225426010","1.5572031046","484.1678046441","307.1942999931","176.9735046510","184.6830224376","256.9855646574","-72.3025422198","-78.2986808043","5.9961385845","150.7432263703","127.8198780190","-21.5775397318","-177.6910074629","156.1134677311","5.1363509762","15.1305485039","130.4697335883","0.0065933019","0.0000000000"
"8","925","-1103.8833720257","0.0190446323","0.9415872333","1.6947726071","484.3053741466","306.0259353933","178.2794387534","183.5146578378","256.4932944358","-72.9786365981","-78.9637493423","5.9851127443","151.6411870635","124.0828316739","-19.2307243015","-178.2947838663","159.0640595648","5.4236815420","15.3836248730","130.8074112868","0.0264693616","0.0000000000"
"9","21","-1104.2115886261","0.0137160776","0.9553033108","1.8904428505","484.5010443900","307.3513236529","177.1497207371","184.8400460974","259.2336151617","-74.3934766196","-80.3683518780","5.9748752584","151.7414444334","127.7894741868","-20.2973034585","-177.2592682621","156.9619648036","5.2912414494","15.7222248695","130.6992726808","0.0287054337","0.0000000000"
"10","750","-1104.5821987181","0.0094683873","0.9647716982","2.1113864800","484.7219880195","307.3719729228","177.3500150967","184.8606953673","261.6082698817","-76.7475745144","-82.6791931507","5.9316186363","149.3560811795","134.9801809577","-22.7279922554","-178.6944689203","155.9664766649","5.0945041759","15.0121735919","129.2493871887","0.0000162230","0.0000000000"
