" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","38.4720902584"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","166","21.3431923030","0.5783089580","0.5783089580","0.0000000000","-35.6595945690","-45.5693958652","9.9098012962","-58.0887964913","6.2983673157","-64.3867697239","-66.3288270323","1.9420573084","6.2462418186","-0.4076768220","0.4598023191","-4.2072470962","4.6670494153","0.0719101172","2.2459279902","3.9278943824","0.0005093287","0.0000000000"
"2","184","19.9746386430","0.1471650278","0.7254739858","0.8158795975","-34.8437149715","-44.8670064201","10.0232914487","-57.3864070463","7.2630143129","-64.6494213592","-66.5441530442","1.8947316850","6.7340027018","-0.0687876436","0.5977992547","-4.8192759245","5.4170751792","0.1074439915","2.4688979165","4.1570786856","0.0005821083","0.0000000000"
"3","170","19.8845396226","0.1344853908","0.8599593766","0.8695932038","-34.7900013652","-44.8133594105","10.0233580453","-57.3327600366","7.2632181269","-64.5959781636","-66.5135683017","1.9175901381","6.7338814983","-0.0683999885","0.5977366171","-4.8194146626","5.4171512797","0.1074620707","2.4691020376","4.1568116411","0.0005057490","0.0000000000"
"4","20","18.8550121484","0.0480349130","0.9079942896","1.4833582945","-34.1762362745","-44.3943692521","10.2181329776","-56.9137698782","8.2767424175","-65.1905122957","-67.0806426467","1.8901303510","6.5127599118","1.4293732392","0.3346092665","-5.0213106877","5.3559199542","0.0921867281","2.4174380048","4.0023092629","0.0008259161","0.0000000000"
"5","53","18.7590120606","0.0436379861","0.9516322758","1.5405898926","-34.1190046764","-44.3369390145","10.2179343381","-56.8563396407","8.2759439985","-65.1322836391","-67.0310042587","1.8987206196","6.5129682375","1.4283198731","0.3346558878","-5.0209220793","5.3555779671","0.0921723733","2.4174883303","4.0025725457","0.0007349883","0.0000000000"
"6","0","18.5067857173","0.0339097190","0.9855419948","1.6909576374","-33.9686369316","-44.3845757177","10.4159387860","-56.9039763438","7.3291563087","-64.2331326525","-66.1481540133","1.9150213608","6.7548482205","-0.4205747233","0.9948828116","-4.4951570613","5.4900398729","0.1055905075","2.7149967819","3.9342602816","0.0000006496","0.0000000000"
"7","37","16.9157464538","0.0069078774","0.9924498721","2.6394746827","-33.0201198863","-43.3723211585","10.3522012722","-55.8917217846","9.7185147518","-65.6102365364","-67.4606766758","1.8504401394","7.0019621294","2.4020689897","0.3144836327","-5.8605981382","6.1750817709","0.1340490020","2.7333045391","4.1329084892","0.0017000990","0.0000000000"
"8","134","16.8314392257","0.0063493673","0.9987992395","2.6897354429","-32.9698591261","-43.3220235948","10.3521644687","-55.8414242209","9.7187314298","-65.5601556508","-67.4145670997","1.8544114489","7.0019916795","2.4023643077","0.3143754426","-5.8608326545","6.1752080972","0.1340649141","2.7334553827","4.1327729745","0.0016984082","0.0000000000"
"9","58","14.4737579734","0.0006009004","0.9994001399","4.0952952593","-31.5642993097","-42.0848431463","10.5205438366","-54.6042437724","11.2583796978","-65.8626234702","-67.7116724916","1.8490490214","8.1685621713","2.7353158168","0.3545017097","-6.2452674324","6.5997691421","0.1490727318","3.1683464109","4.8397181938","0.0114248348","0.0000000000"
"10","183","14.4720252532","0.0005998601","1.0000000000","4.0963282412","-31.5632663278","-42.0838048148","10.5205384870","-54.6032054409","11.2584141847","-65.8616196257","-67.7025198430","1.8409002173","8.1683928608","2.7354418927","0.3545794313","-6.2453647484","6.5999441797","0.1490673929","3.1683919836","4.8395341996","0.0113992847","0.0000000000"
