" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","290.7990615638"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","11227","-1209.6875847431","0.0242913195","0.0242913195","0.0000000000","547.8063596388","354.4133820570","193.3929775818","225.6424041885","295.4396034376","-69.7971992491","-75.7360745270","5.9388752779","145.5804030319","173.9234510224","-24.0642506167","-173.7650815010","149.7008308843","4.3311044341","9.9265144225","131.3227841754","0.0000000000","0.0000000000"
"2","22882","-1210.0956299849","0.0161524836","0.0404438031","0.2432610407","548.0496206795","354.9413906122","193.1082300673","226.1704127437","301.6193676667","-75.4489549230","-81.3972469670","5.9482920440","143.9547724494","182.2144501431","-24.5498549258","-172.9877117585","148.4378568327","4.2650641705","9.7430974632","129.9466108158","0.0000000000","0.0000000000"
"3","14956","-1210.1128472552","0.0158767623","0.0563205655","0.2535253219","548.0598849607","354.9232641029","193.1366208579","226.1522862343","294.5040157659","-68.3517295315","-74.2790904406","5.9273609091","146.1655144708","172.6512931790","-24.3127918840","-173.2847378491","148.9719459651","4.3099825763","9.9291145154","131.9264173792","0.0000000000","0.0000000000"
"4","20014","-1210.3793587328","0.0121623495","0.0684829150","0.4124093199","548.2187689588","354.9760685622","193.2427003966","226.2050906936","297.4194691518","-71.2143784582","-77.1686179360","5.9542394779","145.2871184414","176.2320664073","-24.0997156969","-173.6783210524","149.5786053555","4.3365799947","10.0369844385","130.9135540082","0.0000000000","0.0000000000"
"5","22686","-1210.3816340943","0.0121347072","0.0806176222","0.4137658039","548.2201254427","356.0629224820","192.1572029607","227.2919446134","300.9546543482","-73.6627097347","-79.5992164842","5.9365067495","145.5314092409","179.9151396035","-24.4918944962","-172.7770637957","148.2851692995","4.3018918503","9.7885653258","131.4409520647","0.0000000000","0.0000000000"
"6","20865","-1210.5456873254","0.0102986877","0.0909163100","0.5115680955","548.3179277343","355.0138469496","193.3040807848","226.2428690810","297.0020822246","-70.7592131436","-76.7197886926","5.9605755491","145.3525735367","175.6790305045","-24.0295218166","-173.6836462173","149.6541244007","4.3483878327","10.0786953486","130.9254903553","0.0000000000","0.0000000000"
"7","19477","-1210.5480407946","0.0102744786","0.1011907886","0.5129711443","548.3193307831","354.0143660778","194.3049647053","225.2433882093","295.0653718504","-69.8041674267","-75.7343250913","5.9301576646","145.3480615989","173.2035959491","-23.4862856976","-175.3286111588","151.8423254612","4.4206177473","10.1496977829","130.7777460687","0.0000000000","0.0000000000"
"8","18273","-1210.5542936029","0.0102104347","0.1114012232","0.5166988305","548.3230584694","355.0158447164","193.3072137530","226.2448668478","297.1125234605","-70.8676566127","-76.8160214004","5.9483647877","145.3133036181","175.8279191131","-24.0286992707","-173.7188593743","149.6901601036","4.3479360453","10.0780329504","130.8873346225","0.0000000000","0.0000000000"
"9","22722","-1210.5546100909","0.0102072037","0.1216084269","0.5168875087","548.3232471475","355.6704531170","192.6527940304","226.8994752485","299.6187010620","-72.7192258135","-78.8109350394","6.0917092259","145.6698624546","174.6334304767","-20.6845918693","-169.2330896071","148.5484977379","4.4457929938","10.4133673517","130.8107021091","0.0000000000","0.0000000000"
"10","12423","-1210.6112035567","0.0096455846","0.1312540115","0.5506263787","548.3569860175","356.7256242617","191.6313617559","227.9546463931","302.6277959360","-74.6731495428","-80.6232306209","5.9500810780","145.2576631511","182.0613784864","-24.6912457016","-172.6721993289","147.9809536274","4.2905516102","9.9011728305","131.0659387104","0.0000000000","0.0000000000"
"11","12321","-1210.6157127821","0.0096021884","0.1408561998","0.5533146073","548.3596742461","355.1757919274","193.1838823187","226.4048140588","297.3942738429","-70.9780388492","-76.9227575583","5.9447187092","145.4912561421","176.3305185995","-24.4275008987","-174.0292497019","149.6017488032","4.3180062297","9.8769965409","131.2962533714","0.0000000000","0.0000000000"
"12","17618","-1210.6330137493","0.0094374900","0.1502936899","0.5636287853","548.3699884242","355.1862767495","193.1837116747","226.4152988810","297.3140268527","-70.8987279718","-76.8622279874","5.9635000156","145.2309012689","176.1332072829","-24.0500816991","-173.5710757617","149.5209940626","4.3449835909","9.8936090036","130.9923086743","0.0000000000","0.0000000000"
"13","5261","-1210.7124616077","0.0087167128","0.1590104027","0.6109925743","548.4173522131","354.4578767007","193.9594755124","225.6868988322","300.5440919992","-74.8488597923","-80.9022396430","6.0533798506","145.5959741543","177.9851937676","-23.0370759227","-174.0765363424","151.0394604197","4.4433972506","10.0572045032","131.0953724005","0.0000000000","0.0000000000"
"14","25259","-1210.7184951123","0.0086642789","0.1676746816","0.6145895201","548.4209491589","356.8099930892","191.6109560697","228.0390152207","306.6067177820","-78.5677025613","-84.6196746943","6.0519721330","143.7895210751","185.5705502405","-22.7533535337","-167.7178014470","144.9644479134","4.2931497602","9.6447556513","129.8516156637","0.0000000000","0.0000000000"
"15","20787","-1210.7441725030","0.0084446348","0.1761193164","0.6298974030","548.4362570418","355.4534053732","192.9828516687","226.6824275046","296.4479381788","-69.7655106742","-75.7178887874","5.9523781132","145.8720715176","174.9218677301","-24.3460010689","-173.1853229542","148.8393218853","4.3148242759","10.0352171997","131.5220300420","0.0000000000","0.0000000000"
"16","25298","-1210.7560916180","0.0083445797","0.1844638961","0.6370031256","548.4433627644","355.1301686678","193.3131940966","226.3591907993","295.8427705553","-69.4835797560","-75.4067944103","5.9232146543","146.1479269613","173.8304709291","-24.1356273351","-173.2090184995","149.0733911644","4.3266373611","9.9718928430","131.8493967571","0.0000000000","0.0000000000"
