" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1769439513"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","122","2.5447607750","0.1427609595","0.1427609595","0.0000000000","-26.6613780072","-36.8265324444","10.1651544372","-50.2401759724","14.0069072998","-64.2468599817","-66.2864204048","2.0395604231","12.9983935162","-0.4050635506","1.4135773342","-5.6824181071","7.0959954413","0.1466787682","3.3669929702","9.4839272702","0.0007945076","0.0000000000"
"2","39","2.4008076969","0.1236207661","0.2663817256","0.0858193455","-26.5755586616","-36.4353947883","9.8598361267","-49.8490383163","14.4647822779","-64.3138205942","-66.4063263124","2.0925057183","14.0719412955","-0.1988370661","0.5916780486","-5.0192396840","5.6109177325","0.0846875629","2.7483653575","11.2377130667","0.0011753083","0.0000000000"
"3","50","2.3618189597","0.1188936985","0.3852754241","0.1090629465","-26.5523150606","-36.4121026246","9.8597875640","-49.8257461526","14.4646447199","-64.2903908726","-66.3713675715","2.0809766990","14.0720174216","-0.1989680590","0.5915953574","-5.0193395411","5.6109348985","0.0846710318","2.7483277056","11.2378446176","0.0011740665","0.0000000000"
"4","176","2.3375946765","0.1160481883","0.5013236124","0.1235045421","-26.5378734651","-36.5123699947","9.9744965296","-49.9260135227","13.8629362158","-63.7889497384","-65.8575016307","2.0685518923","14.1170669042","-1.2277698653","0.9736391769","-4.8848424570","5.8584816339","0.0940026619","2.8175676745","11.2053539659","0.0001426019","0.0000000000"
"5","44","2.2599310744","0.1073765611","0.6087001735","0.1698046253","-26.4915733819","-36.1274910921","9.6359177102","-49.5411346201","13.6656310708","-63.2067656909","-65.2967079311","2.0899422402","15.2263922575","-1.8221189435","0.2613577568","-4.1646198896","4.4259776464","0.0439506350","2.2292452177","12.9530960644","0.0001003404","0.0000000000"
"6","54","2.2519758306","0.1065257431","0.7152259166","0.1745472389","-26.4868307683","-36.4611645719","9.9743338036","-49.8748080998","13.8636342845","-63.7384423843","-65.8020178210","2.0635754367","14.1167800479","-1.2269042015","0.9737584381","-4.8849996333","5.8587580715","0.0939943221","2.8174390099","11.2051252727","0.0002214432","0.0000000000"
"7","80","2.2435865199","0.1056358038","0.8208617204","0.1795486266","-26.4818293806","-36.1174693715","9.6356399908","-49.5311128994","13.6662713052","-63.1973842047","-65.3008211501","2.1034369454","15.2262714717","-1.8210952575","0.2610950911","-4.1648335006","4.4259285917","0.0439466084","2.2291860142","12.9530539064","0.0000849427","0.0000000000"
"8","52","2.1194347822","0.0933023809","0.9141641013","0.2535631667","-26.4078148405","-36.0540385270","9.6462236865","-49.4676820550","14.1211471709","-63.5888292259","-65.6594957524","2.0706665266","15.2298058620","-1.3329193564","0.2242606653","-4.2119332972","4.4361939625","0.0438614964","2.2297448614","12.9559328752","0.0002666290","0.0000000000"
"9","86","2.0360264741","0.0858358987","1.0000000000","0.3032880250","-26.3580899822","-36.0044327523","9.6463427702","-49.4180762803","14.1217358030","-63.5398120833","-65.6211853960","2.0813733127","15.2296666354","-1.3320376895","0.2241068570","-4.2121818739","4.4362887310","0.0438731470","2.2297380255","12.9557956942","0.0002597688","0.0000000000"
