" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","306.2361725008"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","462","-1169.0466176405","0.4945022798","0.4945022798","0.0000000000","514.3747441474","317.6462388028","196.7285053446","184.4040464249","262.1527478528","-77.7487014279","-83.8899634405","6.1412620125","153.4438888884","136.5163651491","-27.8075061847","-188.6615121954","160.8540060108","4.8669371291","14.3467666323","134.2301696041","0.0000155229","0.0000000000"
"2","784","-1170.1647927523","0.1616408097","0.6561430896","0.6666134378","515.0413575852","316.6452247222","198.3961328630","183.4030323443","258.1779493630","-74.7749170187","-80.8793587004","6.1044416817","152.0538931530","134.2326970729","-28.1086408629","-191.8591655470","163.7505246841","5.0230581373","13.8798651939","133.1330697216","0.0179001002","0.0000000000"
"3","464","-1171.1083570044","0.0629167483","0.7190598379","1.2291305277","515.6038746751","316.8973260903","198.7065485849","183.6551337124","256.4194863342","-72.7643526218","-78.7990451112","6.0346924894","155.4577034288","128.2135490620","-27.2517661566","-192.5370617562","165.2852955996","5.0877603042","14.4067609735","135.9628657318","0.0003164193","0.0000000000"
"4","502","-1171.1466078400","0.0605555764","0.7796154143","1.2519342199","515.6266783673","318.4722476009","197.1544307664","185.2300552230","258.9558750426","-73.7258198196","-79.8783389617","6.1525191421","154.3337530549","133.3272716013","-28.7051496136","-190.1354465443","161.4302969307","4.9248686602","14.1123298002","135.2398569974","0.0566975971","0.0000000000"
"5","253","-1171.6206167161","0.0376959509","0.8173113653","1.5345202685","515.9092644159","316.2814404045","199.6278240114","183.0392480266","261.6931953417","-78.6539473151","-84.7489268074","6.0949794923","153.2835063549","136.5433636263","-28.1336746395","-194.7097907495","166.5761161099","5.0536706686","15.0501330773","133.1791360809","0.0005665281","0.0000000000"
"6","753","-1172.0409305970","0.0247602317","0.8420715969","1.7850954049","516.1598395523","314.7990231812","201.3608163710","181.5568308033","252.0630261341","-70.5057603952","-76.6095210682","6.1037606730","153.3550632218","124.8677963684","-26.1598334562","-197.8439413745","171.6841079183","5.5110191145","15.8692513091","131.9652657574","0.0095270408","0.0000000000"
"7","602","-1172.1381370840","0.0224666574","0.8645382544","1.8430462122","516.2177903596","319.2456901133","196.9721002463","186.0034977355","269.4737491300","-83.4702513946","-89.6073777709","6.1371263763","154.1312501934","143.2226570100","-27.8801580733","-187.1985295732","159.3183714999","4.8325834080","13.4973851886","135.8011606106","0.0001209861","0.0000000000"
"8","273","-1172.1870797892","0.0213935530","0.8859318073","1.8722239900","516.2469681374","321.1770784683","195.0698896691","187.9348860904","270.3641252875","-82.4292391971","-88.4427451186","6.0135059216","156.2217339541","145.3780198686","-31.2356285351","-191.8888281917","160.6531996565","4.7494201335","14.1343277377","137.3374592280","0.0005268549","0.0000000000"
"9","346","-1172.7599719929","0.0120636574","0.8979954647","2.2137605145","516.5885046619","318.6374435812","197.9510610807","185.3952512033","268.4628828241","-83.0676316208","-89.1686840072","6.1010523864","154.7784814166","143.7314540950","-30.0470526875","-194.4487823397","164.4017296522","4.9291459993","14.6783380614","135.1692667664","0.0017305894","0.0000000000"
"10","493","-1172.9578482498","0.0098978855","0.9078933502","2.3317268066","516.7064709540","316.8045816713","199.9018892827","183.5623892935","260.0584503529","-76.4960610594","-82.6451144435","6.1490533841","154.0185848962","132.9684163892","-26.9285509325","-195.3566656653","168.4281147328","5.3366849042","15.2307077393","133.4501653230","0.0010269296","0.0000000000"
