" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.8345836172"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","394","-17.3218301910","0.3246948291","0.3246948291","0.0000000000","-16.9982182427","-36.5659258542","19.5677076115","-54.4507838915","5.7790577482","-60.2295870779","-62.5571184886","2.3275314108","7.1010745892","-2.0792556677","0.7572388267","-6.4960825504","7.2533213771","0.1001049094","2.2618293164","4.7385050318","0.0006353316","0.0000000000"
"2","718","-18.6769801717","0.0837415921","0.4084364212","0.8078888341","-16.1903294086","-35.8675734649","19.6772440564","-53.7524315022","6.7821399341","-60.5345714363","-62.8473984014","2.3128269651","7.6210866272","-1.7109175904","0.8719708974","-7.1884582571","8.0604291545","0.1420135693","2.5041820025","4.9741971054","0.0006939500","0.0000000000"
"3","752","-18.7852940753","0.0751451720","0.4835815932","0.8724614604","-16.1257567822","-35.8032105642","19.6774537820","-53.6880686015","6.7820177953","-60.4700863968","-62.7897814141","2.3196950173","7.6212769434","-1.7112827331","0.8720235851","-7.1880999380","8.0601235231","0.1420510298","2.5040626536","4.9743843254","0.0007789345","0.0000000000"
"4","132","-18.7943873515","0.0744649536","0.5580465468","0.8778825256","-16.1203357171","-35.7938082432","19.6734725261","-53.6786662805","7.0263783546","-60.7050446350","-63.0088564845","2.3038118495","7.6376197950","-1.4880344943","0.8767930538","-7.1653297527","8.0421228066","0.1342686903","2.5129656361","4.9898552329","0.0005302358","0.0000000000"
"5","345","-18.8525731796","0.0702557928","0.6283023396","0.9125707014","-16.0856475413","-35.7591147109","19.6734671697","-53.6439727482","7.0260868358","-60.6700595841","-62.9623896256","2.2923300415","7.6376288602","-1.4885335512","0.8769915269","-7.1652532808","8.0422448076","0.1342943867","2.5129319059","4.9897948577","0.0006077099","0.0000000000"
"6","711","-18.9333204121","0.0648058277","0.6931081673","0.9607091278","-16.0375091149","-35.7145882205","19.6770791056","-53.5994462578","6.7513687776","-60.3508150354","-62.6603131372","2.3094981018","7.6018331139","-1.7439873867","0.8935230505","-7.1104746653","8.0039977158","0.1307774034","2.4890343445","4.9814277109","0.0005936550","0.0000000000"
"7","695","-18.9836663775","0.0616238867","0.7547320540","0.9907234759","-16.0074947668","-35.6842904118","19.6767956451","-53.5691484491","6.7513639257","-60.3205123748","-62.6418119688","2.3212995939","7.6017161524","-1.7440360454","0.8936838187","-7.1105431074","8.0042269262","0.1307224397","2.4888307579","4.9815690941","0.0005938607","0.0000000000"
"8","134","-19.7431566660","0.0288341163","0.7835661703","1.4435026756","-15.5547155671","-35.4347556714","19.8800401043","-53.3196137087","7.9374191544","-61.2570328631","-63.5608634004","2.3038305373","7.3576741856","-0.0207029116","0.6004478805","-7.3632842602","7.9637321406","0.1212806191","2.4251687578","4.8107046960","0.0005201127","0.0000000000"
"9","297","-19.7768466557","0.0278788765","0.8114450469","1.4635873650","-15.5346308777","-35.4143960837","19.8797652060","-53.2992541210","7.9367331599","-61.2359872808","-63.5333787536","2.2973914727","7.3577852572","-0.0215440631","0.6004919658","-7.3629937121","7.9634856779","0.1212963252","2.4251616663","4.8108794924","0.0004477733","0.0000000000"
"10","661","-20.3027319839","0.0164773047","0.8279223515","1.7771001796","-15.2211180630","-35.0310351522","19.8099170892","-52.9158931895","7.5999328553","-60.5158260448","-62.7976384791","2.2818124343","8.0935901036","-1.4725599935","0.9789027452","-7.8270929791","8.8059957243","0.1730421623","2.6871859957","5.2327075829","0.0006543626","0.0000000000"
