" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1769439513"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","121","2.5432449622","0.1426946498","0.1426946498","0.0000000000","-26.6604743373","-36.8255252740","10.1650509367","-50.2391688020","14.0069187667","-64.2468499376","-66.2864103606","2.0395604231","12.9983176943","-0.4050538419","1.4136549143","-5.6824738598","7.0961287740","0.1466637711","3.3669257134","9.4839332741","0.0007949358","0.0000000000"
"2","57","2.4027649809","0.1239932403","0.2666878901","0.0837488174","-26.5767255199","-36.4365046406","9.8597791207","-49.8501481686","14.4647554696","-64.3149036382","-66.4074093565","2.0925057183","14.0719185589","-0.1988457132","0.5916826238","-5.0192783838","5.6109610076","0.0846839461","2.7483238600","11.2377363993","0.0011743535","0.0000000000"
"3","66","2.3552526552","0.1182397951","0.3849276852","0.1120738574","-26.5484004798","-36.4085792561","9.8601787763","-49.8222227841","14.4647891162","-64.2870119003","-66.3679885993","2.0809766990","14.0720640329","-0.1988422770","0.5915673603","-5.0192364475","5.6108038077","0.0847010134","2.7484365696","11.2377498899","0.0011765600","0.0000000000"
"4","176","2.3343899541","0.1157985477","0.5007262328","0.1245114057","-26.5359629316","-36.5106448907","9.9746819591","-49.9242884187","13.8627793157","-63.7870677344","-65.8573366397","2.0702689053","14.1170775923","-1.2279985849","0.9737003083","-4.8848318303","5.8585321386","0.0940012675","2.8175831761","11.2053509664","0.0001421822","0.0000000000"
"5","142","2.2627638649","0.1077944243","0.6085206571","0.1672121535","-26.4932621837","-36.1292585527","9.6359963689","-49.5429020807","13.6655084232","-63.2084105039","-65.2960984476","2.0876879437","15.2265457875","-1.8223134688","0.2612761044","-4.1645696187","4.4258457231","0.0439774193","2.2292622309","12.9532059688","0.0001001685","0.0000000000"
"6","91","2.2507201182","0.1065039621","0.7150246192","0.1743921769","-26.4860821604","-36.4604510145","9.9743688542","-49.8740945425","13.8638870141","-63.7379815566","-65.8015569934","2.0635754367","14.1166994878","-1.2264277069","0.9736152332","-4.8850450592","5.8586602925","0.0939883388","2.8174210580","11.2050697027","0.0002203883","0.0000000000"
"7","40","2.2404385103","0.1054145402","0.8204391594","0.1805216801","-26.4799526571","-36.1158299293","9.6358772721","-49.5294734572","13.6659468223","-63.1954202795","-65.2988572249","2.1034369454","15.2263839165","-1.8216659326","0.2612288384","-4.1647249885","4.4259538268","0.0439680751","2.2292932011","12.9530373775","0.0000852627","0.0000000000"
"8","92","2.1206506523","0.0935141462","0.9139533056","0.2519346413","-26.4085396960","-36.0550316102","9.6464919142","-49.4686751382","14.1212161823","-63.5898913205","-65.6605578471","2.0706665266","15.2297151852","-1.3328141428","0.2243151398","-4.2120408436","4.4363559834","0.0438583451","2.2296928229","12.9558969268","0.0002670904","0.0000000000"
"9","169","2.0374280374","0.0860466944","1.0000000000","0.3015487964","-26.3589255408","-36.0056254122","9.6466998714","-49.4192689402","14.1213929946","-63.5406619348","-65.6220352475","2.0813733127","15.2295835773","-1.3325001061","0.2243095234","-4.2120955462","4.4364050697","0.0438675522","2.2297457238","12.9557105923","0.0002597091","0.0000000000"
