" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","287.3642549542"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","341","-1201.5962046696","0.1931209610","0.1931209610","0.0000000000","545.0302877940","365.7251487200","179.3051390740","243.2138711645","281.6761225601","-38.4622340690","-44.5633455979","6.1011115289","149.4484013279","150.4553875116","-18.2276662794","-168.8656383327","150.6379720533","4.9127550240","13.7750962527","130.7605500512","0.0000000000","0.0000000000"
"2","987","-1202.1240508135","0.1139170543","0.3070380153","0.3146817784","545.3449695724","366.4106114119","178.9343581604","243.8993338565","279.3787162188","-35.4793823624","-41.5020094608","6.0226270984","152.5077738676","149.3567530808","-22.4858107296","-168.1972831658","145.7114724362","4.4148137498","11.1419442523","136.9510158655","0.0000000000","0.0000000000"
"3","597","-1202.3506087946","0.0908230046","0.3978610200","0.4497470226","545.4800348167","368.2197290208","177.2603057959","245.7084514653","283.0068622752","-37.2984108099","-43.2818158813","5.9834050714","152.3501923146","151.6345796957","-20.9779097350","-167.5511583538","146.5732486188","4.5690977471","12.3372172468","135.4438773207","0.0000000000","0.0000000000"
"4","712","-1202.7108974323","0.0633467733","0.4612077932","0.6645373939","545.6948251879","367.7308503947","177.9639747932","245.2195728392","281.2964882494","-36.0769154102","-42.0732279211","5.9963125109","153.3123768873","150.6285731423","-22.6444617802","-168.6618832057","146.0174214255","4.4543433640","11.5226443394","137.3353891840","0.0000000000","0.0000000000"
"5","879","-1202.9922446585","0.0478120043","0.5090197976","0.8322659005","545.8625536946","367.5090185957","178.3535350988","244.9977410403","281.8544982948","-36.8567572545","-42.8981809364","6.0414236819","152.2908734085","149.6575495188","-20.0939246325","-168.2763843229","148.1824596904","4.6883932915","12.5959048697","135.0065752473","0.0000000000","0.0000000000"
"6","991","-1203.1638424390","0.0402729072","0.5492927048","0.9345659653","545.9648537594","366.8097735899","179.1550801695","244.2984960344","282.4371359002","-38.1386398658","-44.0979778380","5.9593379722","152.1407781539","151.6414621091","-21.3451043628","-170.3543105981","149.0092062353","4.6952363623","13.1710704980","134.2744712935","0.0000000000","0.0000000000"
"7","959","-1203.2710814268","0.0361775940","0.5854702987","0.9984977678","546.0287855618","367.0165160332","179.0122695286","244.5052384777","283.2137675299","-38.7085290521","-44.7245657975","6.0160367454","151.5596923166","152.3281621407","-20.6740869274","-169.4725312670","148.7984443396","4.7373592148","13.2849343657","133.5373987361","0.0000000000","0.0000000000"
"8","846","-1203.3165810477","0.0345684133","0.6200387121","1.0256229098","546.0559107038","367.8481802073","178.2077304965","245.3369026518","284.0071262436","-38.6702235918","-44.8016870069","6.1314634151","151.8166430486","150.6774526843","-18.4869694893","-165.5085927236","147.0216232343","4.6829829585","12.0514562327","135.0822038574","0.0000000000","0.0000000000"
"9","696","-1203.4115387890","0.0314369079","0.6514756200","1.0822331005","546.1125208946","367.1568767840","178.9556441105","244.6455992285","282.7996508381","-38.1540516096","-44.1123861592","5.9583345496","151.9231593674","151.9400590830","-21.0635676123","-168.3967110536","147.3331434412","4.6133013947","12.2457066692","135.0641513036","0.0000000000","0.0000000000"
"10","417","-1203.6207295779","0.0255028912","0.6769785112","1.2069446860","546.2372324800","369.9654125674","176.2718199126","247.4541350119","286.3895932998","-38.9354582879","-44.9581668571","6.0227085692","153.0078410849","154.4054945210","-21.0237423061","-165.5293521738","144.5056098677","4.4827158800","12.0299942727","136.4951309322","0.0000000000","0.0000000000"
