" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.7908435789"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","1","40.2840724770","0.8865194085","0.8865194085","0.0000000000","-44.7568071941","-49.8348391750","5.0780319810","-59.6715110955","7.3889930967","-67.0600953976","-68.7665980929","1.7065026954","5.8221855076","1.2552658112","0.3115417779","-3.0608961834","3.3724379612","0.0592206837","2.2405489251","3.5219743601","0.0004415387","0.0000000000"
"2","0","37.1877936786","0.0400858827","0.9266052912","1.8458835584","-42.9109236356","-48.4953570230","5.5844333874","-58.3320289435","8.3899470394","-66.7219759829","-68.4546680650","1.7326920821","6.3326944801","1.2150281212","0.8422244382","-3.3435894433","4.1858138815","0.0913682563","2.7127968778","3.5285287020","0.0000006440","0.0000000000"
"3","191","37.1085842610","0.0370331998","0.9636384910","1.8931051981","-42.8637019960","-48.2255171862","5.3618151902","-58.0621891067","9.7810260902","-67.8432151969","-69.5391075440","1.6958923471","6.1229366750","3.4486825411","0.2094068741","-3.7623921148","3.9717989888","0.0775244906","2.4280995971","3.6156383733","0.0016742140","0.0000000000"
"4","4","37.0902802286","0.0363615090","1.0000000000","1.9040173654","-42.8527898286","-48.2143573138","5.3615674852","-58.0510292343","9.7809839906","-67.8320132249","-69.5350974490","1.7030842241","6.1230232995","3.4486519268","0.2093087642","-3.7623656764","3.9716744406","0.0775334898","2.4281649378","3.6156495399","0.0016753320","0.0000000000"
