" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","302.5549258214"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","25393","-1136.2523083734","0.0394136141","0.0394136141","0.0000000000","497.0186444337","304.9271053872","192.0915390464","174.3676417149","247.9710001250","-73.6033584100","-79.7471232820","6.1437648720","151.0833783375","123.8447850885","-26.9571633010","-181.9503033834","154.9931400824","4.4594314332","11.0048529153","135.6187227414","0.0003712475","0.0000000000"
"2","17441","-1136.5183379919","0.0302072413","0.0696208554","0.1585967320","497.1772411657","305.1418459977","192.0353951680","174.5823823255","247.9488275479","-73.3664452225","-79.5466153782","6.1801701557","150.2560653032","123.0269391401","-25.3341768954","-181.9035633419","156.5693864465","4.5605657827","11.6311704102","134.0628481853","0.0014809250","0.0000000000"
"3","25475","-1136.5733875784","0.0285892876","0.0982101429","0.1914152000","497.2100596337","304.9809132970","192.2291463367","174.4214496247","247.4063758765","-72.9849262518","-79.1760646656","6.1911384138","150.7860883743","122.3560778240","-25.7357903217","-182.1973837941","156.4615934724","4.5174381952","11.5983234241","134.6697655831","0.0005611718","0.0000000000"
"4","25413","-1136.5978034411","0.0278997080","0.1261098510","0.2059710080","497.2246154416","305.2673385348","191.9572769069","174.7078748625","248.5448213346","-73.8369464721","-79.9614212241","6.1244747520","150.0688242737","123.6956903803","-25.2196933194","-179.7713998391","154.5517065198","4.5050508084","11.0331334864","134.5305792155","0.0000607633","0.0000000000"
"5","20802","-1136.8167617289","0.0224133763","0.1485232273","0.3365056044","497.3551500381","305.1919130629","192.1632369752","174.6324493906","247.9786786194","-73.3462292288","-79.4831576146","6.1369283857","151.1271323433","123.0350355655","-26.1834892894","-182.1053565747","155.9218672853","4.4963616257","11.4587642429","135.1715915005","0.0004149742","0.0000000000"
"6","25493","-1136.8824238913","0.0209889430","0.1695121702","0.3756508862","497.3942953199","305.1884184197","192.2058769001","174.6289547474","247.9586875377","-73.3297327903","-79.4704068619","6.1406740716","149.8589735433","122.7686051516","-24.6688911572","-179.9036631803","155.2347720231","4.5499107031","11.1897496286","134.1192259847","0.0000872268","0.0000000000"
"7","25711","-1136.9023289122","0.0205752882","0.1900874584","0.3875175020","497.4061619356","305.4278916016","191.9782703340","174.8684279293","248.5855202368","-73.7170923075","-79.8536204143","6.1365281068","151.3362871755","123.3011754381","-26.0519423767","-181.5740155303","155.5220731536","4.4866437910","11.4634723593","135.3857355215","0.0004355037","0.0000000000"
"8","23462","-1137.0084652692","0.0185033981","0.2085908565","0.4507919579","497.4694363915","305.2416834267","192.2277529648","174.6822197544","247.5411464778","-72.8589267234","-79.0329678872","6.1740411638","149.8296265876","122.2549450646","-24.5434251743","-180.4536557824","155.9102306081","4.5781315253","11.6260413867","133.6254498437","0.0000038319","0.0000000000"
"9","25416","-1137.1818144161","0.0155584710","0.2241493275","0.5541361206","497.5727805543","305.5425231508","192.0302574035","174.9830594785","251.3593465743","-76.3762870958","-82.5083394646","6.1320523688","150.8457838952","127.4646407422","-26.9510780631","-181.8683488760","154.9172708129","4.4748258114","11.1498689386","135.2206498146","0.0004393305","0.0000000000"
"10","22839","-1137.2140076626","0.0150655699","0.2392148975","0.5733285087","497.5919729424","305.5315554186","192.0604175238","174.9720917463","248.2193987006","-73.2473069543","-79.3740267646","6.1267198103","150.5084095709","122.8689607818","-25.1579716521","-179.7316038963","154.5736322442","4.5255299005","11.2403544014","134.7423212247","0.0002040443","0.0000000000"
"11","22648","-1137.2913385750","0.0139444432","0.2531593406","0.6194302551","497.6380746888","305.3757190571","192.2623556317","174.8162553848","247.9581170891","-73.1418617043","-79.2817275327","6.1398658284","150.0631440841","122.8758378905","-24.9808648856","-180.3755536850","155.3946887994","4.5584027789","11.5655264809","133.9392069709","0.0000078535","0.0000000000"
"12","25505","-1137.3210387023","0.0135363812","0.2666957218","0.6371363404","497.6557807741","304.4411643264","193.2146164477","173.8817006541","246.7800568628","-72.8983562087","-79.0732872354","6.1749310267","151.0471512328","122.2619394675","-26.5290338375","-182.1588035731","155.6297697355","4.4967989904","11.2106659944","135.3394753158","0.0002109321","0.0000000000"
"13","25444","-1137.3353696351","0.0133437756","0.2800394974","0.6456798970","497.6643243307","305.4517515744","192.2125727563","174.8922879021","248.3824021359","-73.4901142338","-79.6152380181","6.1251237843","151.3830240248","123.9816208572","-26.9822427461","-181.9229270348","154.9406842886","4.4322876939","11.1927413805","135.7576419884","0.0003529620","0.0000000000"
"14","25529","-1137.3681631597","0.0129132834","0.2929527809","0.6652301481","497.6838745818","305.7903004974","191.8935740844","175.2308368251","248.5701440687","-73.3393072436","-79.4444466474","6.1051394038","151.7281503671","124.1324966118","-27.2905029102","-181.6636760318","154.3731731216","4.4425523008","10.9993297967","136.2859005372","0.0003677323","0.0000000000"
"15","22595","-1137.3691994210","0.0128999088","0.3058526897","0.6658479276","497.6844923613","305.5415780749","192.1429142864","174.9821144026","249.2821811957","-74.3000667931","-80.3978783870","6.0978115939","151.3830928687","124.5236890260","-26.6246006991","-182.1262163220","155.5016156230","4.4847421375","11.3952563721","135.5027101845","0.0003841747","0.0000000000"
"16","20717","-1137.4732740684","0.0116248564","0.3174775461","0.7278932708","497.7465377044","305.6517758434","192.0947618610","175.0923121711","250.1410195421","-75.0487073709","-81.2467634653","6.1980560944","150.3991611680","125.5492088806","-25.8073505065","-182.2055138396","156.3981633331","4.5281360442","11.7167927477","134.1536779094","0.0005544667","0.0000000000"
"17","22959","-1137.4904828640","0.0114265181","0.3289040642","0.7381524997","497.7567969334","305.4295570424","192.3272398910","174.8700933701","248.5172234710","-73.6471301009","-79.7776286507","6.1304985497","150.2424846686","123.2304656638","-24.9557268614","-179.7968188071","154.8410919457","4.5415675504","11.1084439282","134.5923916524","0.0000815377","0.0000000000"
"18","23314","-1137.5309906305","0.0109729048","0.3398769690","0.7623016881","497.7809461218","305.6718729623","192.1090731595","175.1124092900","250.8346492708","-75.7222399808","-81.9177313380","6.1954913571","150.5582408321","125.9847576302","-25.7083491914","-182.0414987777","156.3331495862","4.5303396961","11.7186902919","134.3086320231","0.0005788209","0.0000000000"
"19","23346","-1137.6106258854","0.0101329631","0.3500099320","0.8097771957","497.8284216294","305.7022236144","192.1261980149","175.1427599422","250.8687281667","-75.7259682245","-81.9198454551","6.1938772306","150.5112607439","126.0779364852","-25.7204690624","-182.1186024864","156.3981334240","4.5338364983","11.7441628011","134.2327088717","0.0005525727","0.0000000000"
"20","19939","-1137.6217378277","0.0100209894","0.3600309215","0.8164017127","497.8350461464","305.8354807598","191.9995653866","175.2760170875","249.1378787902","-73.8618617027","-79.9617572765","6.0998955738","150.2169803139","124.0181950987","-25.0972966224","-180.0270302908","154.9297336683","4.5302921815","11.1424316883","134.5441636408","0.0000928033","0.0000000000"
"21","26548","-1137.6338024735","0.0099008161","0.3699317376","0.8235941953","497.8422386290","305.2931491239","192.5490895051","174.7336854516","248.8358718471","-74.1021863955","-80.1958605741","6.0936741786","151.6153732295","124.5125630734","-27.2920644557","-181.9529412107","154.6608767550","4.4583757608","10.9286353186","136.2281341686","0.0002279815","0.0000000000"
"22","23138","-1137.6586831087","0.0096575168","0.3795892544","0.8384270829","497.8570715166","304.5012557469","193.3558157697","173.9417920746","246.5789651035","-72.6374713166","-78.7767368704","6.1392655538","151.1912816888","122.5271943604","-27.1395109456","-182.7926021271","155.6530911814","4.4868606293","11.1257335090","135.5784580144","0.0002295360","0.0000000000"
"23","23396","-1137.6895749946","0.0093637389","0.3889529934","0.8568436494","497.8754880831","305.8085769862","192.0669110968","175.2491133139","250.8463628084","-75.5972494945","-81.7371999267","6.1399504322","149.5280628195","126.0291535898","-24.7108536010","-179.8575971282","155.1467435273","4.5600400866","11.3060952137","133.6618452277","0.0000822915","0.0000000000"
