" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","302.0892416719"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","27925","-1276.0845987219","0.0206415532","0.0206415532","0.0000000000","580.6589563276","379.0279227380","201.6310335895","245.7857303602","283.4677252535","-37.6819948934","-43.8996233104","6.2176284170","158.1984479060","148.8756184899","-23.6063411423","-178.4862890473","154.8799479050","4.5069748579","13.6834867915","140.0079862566","0.0000000000","0.0000000000"
"2","27267","-1276.0961573107","0.0204043396","0.0410458928","0.0068907906","580.6658471182","378.2314036292","202.4344434890","244.9892112513","282.2064975759","-37.2172863246","-43.4848408896","6.2675545650","160.4265185018","147.6826622523","-25.9026831782","-183.5825024752","157.6798192970","4.4499822440","13.8722806710","142.1042555867","0.0000000000","0.0000000000"
"3","27595","-1276.2781347795","0.0170094680","0.0580553608","0.1153788305","580.7743351581","377.8465872688","202.9277478892","244.6043948910","276.9263839498","-32.3219890588","-38.3396113041","6.0176222453","157.1235988928","143.9727638638","-24.1699788068","-182.5321656958","158.3621868890","4.9949580604","16.9890873333","135.1395534991","0.0000000000","0.0000000000"
"4","27371","-1276.3321836936","0.0161145279","0.0741698887","0.1476007357","580.8065570632","377.3957401069","203.4108169563","244.1535477291","281.5276942147","-37.3740249763","-43.5789818689","6.2049568926","159.3991435925","145.5694421221","-23.4408915000","-180.9771800902","157.5362885903","4.5708900798","13.6012370049","141.2270165078","0.0000000000","0.0000000000"
"5","26830","-1276.5503185067","0.0129563551","0.0871262437","0.2776444079","580.9366007354","379.9993857540","200.9372149814","246.7571933762","284.7597521677","-38.0025587916","-44.1774715117","6.1749127202","158.7426627396","150.1982215343","-24.1811321061","-179.1545030143","154.9733709081","4.6577306649","14.3670068396","139.7179252351","0.0000000000","0.0000000000"
"6","27393","-1276.5586606789","0.0128487205","0.0999749642","0.2826176934","580.9415740210","378.7449165031","202.1966575178","245.5027241253","276.9607148220","-31.4579906967","-37.7125283657","6.2545376690","162.7376486122","140.0084520508","-25.7853858411","-184.3836986021","158.5983127610","4.4914068841","13.8164120590","144.4298296691","0.0000000000","0.0000000000"
"7","27515","-1276.6777372718","0.0114063206","0.1113812848","0.3536066254","581.0125629530","379.5157385216","201.4968244314","246.2735461437","283.5779496232","-37.3044034796","-43.4918464468","6.1874429672","157.9226436517","149.3888685153","-23.7335625438","-178.7359359211","155.0023733773","4.5064528072","13.6803377834","139.7358530611","0.0000000000","0.0000000000"
"8","27323","-1276.7383748764","0.0107352212","0.1221165060","0.3897564570","581.0487127846","379.2567831407","201.7919296439","246.0145907628","284.1336451049","-38.1190543421","-44.3942990924","6.2752447503","159.1900413095","148.0589265713","-23.1153227759","-177.8381658277","154.7228430518","4.4789331781","13.1313764176","141.5797317137","0.0000000000","0.0000000000"
"9","27926","-1276.7898863603","0.0101962352","0.1323127412","0.4204656429","581.0794219705","379.6024342591","201.4769877114","246.3602418813","285.4281307795","-39.0678336381","-45.2761363717","6.2083027336","157.7803038749","151.3458201334","-23.6979932289","-178.5288968500","154.8309036212","4.5134536546","13.8064236604","139.4604265599","0.0000000000","0.0000000000"
"10","27380","-1276.7972566281","0.0101213624","0.1424341036","0.4248595160","581.0838158436","379.0966282006","201.9871876429","245.8544358228","276.9959076531","-31.1414718303","-37.3827492378","6.2412774075","162.8675683595","140.1692209645","-26.0408816709","-184.0662753215","158.0253936506","4.4702402598","13.7433781954","144.6539499042","0.0000000000","0.0000000000"
"11","27934","-1276.8120644281","0.0099725915","0.1524066952","0.4336873627","581.0926436903","379.6047184370","201.4879252533","246.3625260591","284.9510453161","-38.5885192569","-44.7909493673","6.2024301104","157.9371489951","150.6358061001","-23.6219097791","-178.4908479497","154.8689381706","4.5205663249","13.7907823894","139.6258002807","0.0000000000","0.0000000000"
"12","27226","-1276.8186461701","0.0099071700","0.1623138652","0.4376111468","581.0965674744","379.7772930789","201.3192743954","246.5351007011","279.9328051584","-33.3977044574","-39.6704742824","6.2727698251","163.2173170526","140.7963797001","-24.0808915942","-180.1428526373","156.0619610430","4.5433986635","13.5630700316","145.1108483575","0.0000000000","0.0000000000"
"13","26547","-1276.8610467899","0.0094958810","0.1718097462","0.4628887823","581.1218451099","378.8573569478","202.2644881621","245.6151645699","284.2304250475","-38.6152604776","-44.9237312198","6.3084707422","160.0455986194","150.1268976871","-25.9420712589","-183.5786971731","157.6366259141","4.4632619153","13.9925938735","141.5897428307","0.0000000000","0.0000000000"
"14","26915","-1276.9091218645","0.0090501655","0.1808599117","0.4915493118","581.1505056394","379.8641458972","201.2863597422","246.6219535193","285.7678360869","-39.1458825675","-45.3998785463","6.2539959788","158.8079888998","150.7764084048","-23.8165612177","-179.5444186060","155.7278573883","4.6965364791","14.3783509998","139.7331014208","0.0000000000","0.0000000000"
"15","21811","-1276.9101604355","0.0090407712","0.1899006829","0.4921684683","581.1511247959","379.1058172831","202.0453075128","245.8636249052","277.3719705966","-31.5083456914","-37.7437664268","6.2354207354","162.9102997962","140.3663605870","-25.9046897866","-183.7361732055","157.8314834189","4.4708104030","13.7662147917","144.6732746015","0.0000000000","0.0000000000"
"16","27054","-1276.9195499839","0.0089562797","0.1988569626","0.4977661596","581.1567224872","377.5425520143","203.6141704729","244.3003596364","282.4634238316","-38.1630641952","-44.4564995402","6.2934353450","159.3718062723","146.1709948724","-23.0793773131","-181.3447620113","158.2653846982","4.6096179158","13.6285765191","141.1336118374","0.0000000000","0.0000000000"
"17","24774","-1276.9518934377","0.0086712372","0.2075281997","0.5170480956","581.1760044232","378.8636209257","202.3123834974","245.6214285479","276.2465289116","-30.6251003638","-36.8775373607","6.2524369969","162.9598233795","139.4419302736","-26.1552247414","-184.5770200676","158.4217953262","4.4840175508","13.7717656504","144.7040401783","0.0000000000","0.0000000000"
