" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","30.6439127501"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","19","-58.4115349502","0.3201154447","0.3201154447","0.0000000000","16.5539993694","6.6942013311","9.8597980383","-3.1424705894","-0.1537270418","-2.9886268940","-4.5878327097","1.5992058157","6.3335120676","-7.4387046671","0.9514655577","-2.1201438711","3.0716094287","0.0645816200","0.9304009470","5.3385295006","0.0000000000","0.0000000000"
"2","130","-58.4301395081","0.3142148971","0.6343303419","0.0110913292","16.5650906987","6.7053992885","9.8596914102","-3.1312726320","-0.1536435257","-2.9776291063","-4.5788232467","1.6011941404","6.3333355422","-7.4385056554","0.9515265875","-2.1201489378","3.0716755253","0.0645787653","0.9305074058","5.3382493711","0.0000000000","0.0000000000"
"3","178","-58.9596024579","0.1850478033","0.8193781451","0.3267369857","16.8807363551","7.0615619877","9.8191743674","-2.7751099328","-0.1837116898","-2.5913982431","-4.1840367309","1.5926384879","6.8395814025","-7.9162402675","0.8929471752","-2.1669092594","3.0598564346","0.0591583509","0.9181293991","5.8622936526","0.0000000000","0.0000000000"
"4","83","-59.8647181455","0.0748509274","0.8942290725","0.8663325050","17.4203318744","7.5283964872","9.8919353872","-2.3082754333","0.0393991557","-2.3476745890","-3.9182652533","1.5705906643","7.3200821316","-8.5298206847","1.2491377088","-2.6151326344","3.8642703433","0.0556902800","0.6937368412","6.5706550104","0.0000000000","0.0000000000"
"5","20","-60.2114056180","0.0529215711","0.9471506436","1.0730143793","17.6270137488","7.7355874334","9.8914263154","-2.1010844871","0.8413921099","-2.9424765970","-4.5295787857","1.5871021887","6.7359201458","-7.2462941892","1.3517661532","-2.4995715582","3.8513377114","0.0627569709","0.6868298734","5.9863333015","0.0000000000","0.0000000000"
"6","189","-60.2127711116","0.0528493564","1.0000000000","1.0738284346","17.6278278040","7.7363071914","9.8915206127","-2.1003647291","0.8414271689","-2.9417918980","-4.5261913313","1.5843994333","6.7358311743","-7.2462572267","1.3518532213","-2.4996014953","3.8514547165","0.0627615495","0.6869226197","5.9861470050","0.0000000000","0.0000000000"
