" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","301.8428016021"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","868","-1241.0162303232","0.6326754366","0.6326754366","0.0000000000","559.8994481694","351.5656713530","208.3337768164","214.7465073677","306.5245986300","-91.7780912623","-97.9505954554","6.1725041931","146.8816056573","187.9952197250","-28.3522267523","-184.1454821754","155.7932554231","4.5193926238","11.8181137486","130.5440992848","0.0000000000","0.0000000000"
"2","280","-1241.6125051101","0.3485155209","0.9811909575","0.3554763305","560.2549244998","350.9486310868","209.3062934130","214.1294671015","303.2509012865","-89.1223521696","-95.2715567668","6.1492045972","149.8557127658","182.6319832856","-29.2367947649","-188.1715503818","158.9347556169","4.6668157470","12.0654326953","133.1234643236","0.0000000000","0.0000000000"
"3","18","-1245.3969070469","0.0079191259","0.9891100834","2.6115927103","562.5110408797","353.0976626743","209.4133782054","216.2784986889","298.5304301986","-82.2519315096","-88.4152350408","6.1633035312","149.7274111675","176.9583414264","-28.1553223953","-188.8937397050","160.7384173097","4.6035663286","12.0107743300","133.1130705089","0.0000000000","0.0000000000"
"4","58","-1246.2220826813","0.0034698286","0.9925799120","3.1035310129","563.0029791823","353.8157164195","209.1872627627","216.9965524342","306.3090888076","-89.3125363734","-95.4838699840","6.1713336107","151.9633313895","183.6962788486","-29.3505214306","-188.9619739705","159.6114525399","4.6539082320","12.9883642365","134.3210589210","0.0000000000","0.0000000000"
"5","158","-1246.3309304242","0.0031119746","0.9956918866","3.1684218939","563.0678700632","355.1502370190","207.9176330442","218.3310730337","302.2514617542","-83.9203887206","-90.0273362789","6.1069475583","150.4827561872","180.9639087720","-29.1952032050","-189.2152163428","160.0200131378","4.6053853595","12.2870854045","133.5902854232","0.0000000000","0.0000000000"
"6","207","-1247.8095942026","0.0007093499","0.9964012365","4.0499449526","563.9493931219","353.5427757579","210.4066173640","216.7236117726","299.1573947550","-82.4337829824","-88.5337300145","6.0999470321","151.3138471826","177.1094473975","-29.2658998251","-191.4415509070","162.1756510820","4.7318530300","13.0109748430","133.5710193097","0.0000000000","0.0000000000"
"7","876","-1247.9167789523","0.0006372514","0.9970384879","4.1138444203","564.0132925897","354.3055318114","209.7077607783","217.4863678261","299.4508957192","-81.9645278931","-87.9311881126","5.9666602195","152.8390830448","176.9993828960","-30.3875702216","-190.7017566861","160.3141864645","4.6233903944","11.6923907472","136.5233019032","0.0000000000","0.0000000000"
"8","82","-1248.1365023446","0.0005115477","0.9975500356","4.2448351430","564.1442833123","357.4146999767","206.7295833356","220.5955359914","312.2026893072","-91.6071533158","-97.7465656209","6.1394123051","149.4714983085","191.0355554564","-28.3043644577","-184.9020717268","156.5977072691","4.6109855784","12.6897243387","132.1707883915","0.0000000000","0.0000000000"
"9","342","-1248.3462649393","0.0004147509","0.9979647865","4.3698876173","564.2693357866","356.1247272392","208.1446085474","219.3055632539","307.9892371275","-88.6836738736","-94.7637612879","6.0800874143","149.1018021701","186.8772348748","-27.9897999174","-187.0736130695","159.0838131522","4.7788096317","13.2883082544","131.0346842840","0.0000000000","0.0000000000"
"10","142","-1248.7727679218","0.0002707444","0.9982355309","4.6241524604","564.5236006297","356.6385755678","207.8850250619","219.8194115825","311.2259983817","-91.4065867992","-97.5147621327","6.1081753335","149.2172838793","190.2669366568","-28.2582221543","-186.7167890741","158.4585669198","4.7573966353","13.4139266253","131.0459606187","0.0000000000","0.0000000000"
"11","487","-1248.9629188643","0.0002238608","0.9984593917","4.7375132141","564.6369613835","353.1359367132","211.5010246703","216.3167727279","300.0951130924","-83.7783403645","-89.9108422713","6.1325019068","149.4159396426","178.5108547166","-27.8316812668","-192.9809527681","165.1492715013","4.9811023813","13.5652394855","130.8695977759","0.0000000000","0.0000000000"
"12","407","-1249.0608264390","0.0002029819","0.9986623736","4.7958819833","564.6953301526","355.9436874429","208.7516427097","219.1245234576","311.8737922579","-92.7492688003","-98.8363642785","6.0870954782","149.6817145187","190.6488470822","-28.4567693429","-188.7774357067","160.3206663638","4.8047804194","13.3631526406","131.5137814587","0.0000000000","0.0000000000"
"13","479","-1249.2874282685","0.0001618249","0.9988241985","4.9309733683","564.8304215377","354.5096963620","210.3207251757","217.6905323766","299.5389108037","-81.8483784271","-87.8767155881","6.0283371610","152.9390758424","176.1330978262","-29.5332628650","-193.1882620946","163.6549992296","4.7412559644","12.8724453842","135.3253744938","0.0000000000","0.0000000000"
"14","4","-1249.4098107475","0.0001431843","0.9989673828","5.0039331438","564.9033813131","356.4426804793","208.4607008338","219.6235164939","303.3308989283","-83.7073824344","-89.8598760772","6.1524936428","150.7226559760","182.2008982340","-29.5926552817","-191.8794076396","162.2867523579","4.7341108032","12.8768191896","133.1117259832","0.0000000000","0.0000000000"
