" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","298.8972861554"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","21873","-1116.8150649527","0.0204889539","0.0204889539","0.0000000000","487.6114453324","306.0380428226","181.5734025098","179.9497936596","254.7820696254","-74.8322759658","-80.9683104044","6.1360344386","146.3683002237","130.3343683566","-21.9205989549","-171.5228854617","149.6022865069","4.5071418802","11.4069923069","130.4308426652","0.0233233714","0.0000000000"
"2","19623","-1117.2733174757","0.0129569637","0.0334459176","0.2731927106","487.8846380430","306.1256446352","181.7589934078","180.0373954722","254.4819434254","-74.4446920043","-80.5485869333","6.1038949290","146.4094377548","130.6072173610","-22.5347116903","-171.8306262726","149.2959145823","4.4701057331","11.2822704913","130.6357299205","0.0213316098","0.0000000000"
"3","14209","-1117.3208015698","0.0123560928","0.0458020104","0.3015009200","487.9129462524","305.4309850241","182.4819612283","179.3427358611","253.1370944585","-73.7943585973","-79.8867832317","6.0924246344","145.6868751923","129.9344461689","-22.4842269028","-175.1411815367","152.6569546339","4.5975907336","12.1809362240","128.8789672445","0.0293809902","0.0000000000"
"4","11809","-1117.4361843172","0.0110095881","0.0568115985","0.3702877219","487.9817330543","305.3765740857","182.6051589686","179.2883249227","252.2716621757","-72.9833372530","-79.0970116603","6.1136744074","145.5346574354","128.6806629028","-21.9436581624","-175.2941885061","153.3505303436","4.6342806235","12.3071194116","128.5650361835","0.0282212169","0.0000000000"
"5","22053","-1117.4731362772","0.0106101870","0.0674217856","0.3923170739","488.0037624063","308.3766251200","179.6271372863","182.2883759571","264.7391395929","-82.4507636359","-88.4944473691","6.0436837332","145.8270518147","144.8278798825","-25.9157921042","-170.6955534753","144.7797613711","4.2007549658","11.0216390323","130.6033936211","0.0012641954","0.0000000000"
"6","19541","-1117.4861782319","0.0104727079","0.0778944935","0.4000921908","488.0115375232","308.8341304198","179.1774071034","182.7458812569","267.3753333572","-84.6294521003","-90.6594033993","6.0299512990","146.3468703166","147.3384675602","-26.3100045196","-170.2620364801","143.9520319605","4.1692336919","10.9068092351","131.2695160575","0.0013113321","0.0000000000"
"7","14227","-1117.4903955208","0.0104286345","0.0883231280","0.4026063779","488.0140517103","306.1563487504","181.8577029599","180.0680995874","254.7476947104","-74.6795951230","-80.7859693747","6.1063742517","146.5125270930","130.7118676062","-22.4766999888","-171.8968676864","149.4201676975","4.4913044865","11.3349441375","130.6639002307","0.0223782383","0.0000000000"
"8","22567","-1117.5725118658","0.0096064908","0.0979296187","0.4515610170","488.0630063494","305.4529332328","182.6100731166","179.3646840698","253.2439107170","-73.8792266471","-79.9213528854","6.0421262383","146.0858381400","130.7315223393","-23.5734497623","-174.4088298391","150.8353800768","4.5036354765","11.6546611974","129.9135398161","0.0140016499","0.0000000000"
"9","16711","-1117.5833182391","0.0095032383","0.1074328571","0.4580033654","488.0694486978","306.0413658363","182.0280828615","179.9531166734","252.0125029224","-72.0593862491","-78.1953837323","6.1359974832","145.5683299893","128.4078515438","-21.9636786106","-174.2245429171","152.2608643065","4.5686197756","11.9671160361","129.0102958188","0.0222983588","0.0000000000"
"10","19304","-1117.6586647260","0.0088135132","0.1162463703","0.5029220729","488.1143674053","305.7190267512","182.3953406540","179.6307775883","252.9979489774","-73.3671713892","-79.4716831792","6.1045117900","145.7560297533","129.5809050125","-22.3389857883","-175.0398689177","152.7008831293","4.5981454884","12.1907209450","128.9376341049","0.0295292150","0.0000000000"
"11","24838","-1117.7046504494","0.0084173951","0.1246637653","0.5303370107","488.1417823431","306.5020674719","181.6397148712","180.4138183089","255.1865576638","-74.7727393548","-80.8965289508","6.1237895959","146.7059654259","130.8345970918","-22.3540048540","-171.2950262361","148.9410213821","4.4651328146","11.2929436348","130.9274685986","0.0204203780","0.0000000000"
"12","19880","-1117.7236700752","0.0082588123","0.1329225776","0.5416757876","488.1531211200","305.4739747145","182.6791464054","179.3857255516","252.9102821131","-73.5245565615","-79.5628312681","6.0382747066","145.7207742156","130.7880147387","-23.5985068412","-174.7965533643","151.1980465231","4.5320801449","11.6495626799","129.5228924600","0.0162389307","0.0000000000"
"13","24307","-1117.7543660440","0.0080091514","0.1409317290","0.5599755557","488.1714208881","305.9200961299","182.2513247582","179.8318469670","254.2778409714","-74.4459940044","-80.5438556736","6.0978616691","145.9893874673","131.0912058475","-22.8027523434","-174.8028138746","152.0000615313","4.5690348570","12.0505167376","129.3393490801","0.0304867926","0.0000000000"
"14","16568","-1117.7857508928","0.0077616890","0.1486934180","0.5786860079","488.1901313403","306.8275241712","181.3626071691","180.7392750083","257.4719748151","-76.7326998068","-82.8709368552","6.1382370483","145.8847177197","133.6087397927","-22.0214826973","-171.4819717051","149.4604890079","4.5123664072","11.5289102366","129.8212852443","0.0221558315","0.0000000000"
