" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","291.0455016336"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","17649","-1212.5340806022","0.0121204918","0.0121204918","0.0000000000","549.3564139281","365.0338100992","184.3226038290","239.8398038381","272.9245155332","-33.0847116951","-39.2093790020","6.1246673069","158.2210850616","139.3487115322","-24.6452810605","-169.6387670839","144.9934860234","4.3137077184","12.2590168933","141.6483604499","0.0000000000","0.0000000000"
"2","10509","-1212.6415553069","0.0108854045","0.0230058962","0.0640723279","549.4204862560","365.2012050893","184.2192811667","240.0071988282","273.1850808843","-33.1778820561","-39.3074428112","6.1295607551","157.4390366667","139.6425204938","-23.8964762762","-168.4438583440","144.5473820678","4.2535520437","12.3021459115","140.8833387115","0.0000000000","0.0000000000"
"3","23731","-1212.6799951242","0.0104749117","0.0334808079","0.0869886837","549.4434026118","365.8144882202","183.6289143917","240.6204819591","279.5149757719","-38.8944938128","-44.9942110577","6.0997172449","157.1186099110","147.1423308237","-24.7459649628","-168.2504870696","143.5045221068","4.2552180535","12.5215852515","140.3418066059","0.0000000000","0.0000000000"
"4","26237","-1212.7715638113","0.0095583426","0.0430391506","0.1415784494","549.4979923775","365.3746158678","184.1233765098","240.1806096067","278.9192849234","-38.7386753167","-44.8505527094","6.1118773927","156.7015285580","147.2406279962","-25.0228716308","-167.8461617511","142.8232901203","4.1953530612","12.4930082624","140.0131672344","0.0000000000","0.0000000000"
"5","18339","-1212.7715890588","0.0095581013","0.0525972519","0.1415935010","549.4980074291","365.0035375418","184.4944698873","239.8095312807","272.8642550929","-33.0547238121","-39.1844523462","6.1297285340","158.1409244288","138.8346603041","-24.1113296401","-169.7361116449","145.6247820049","4.3569017117","12.3664199032","141.4176028140","0.0000000000","0.0000000000"
"6","13076","-1212.8241931417","0.0090683018","0.0616655537","0.1729540528","549.5293679809","365.1945217290","184.3348462520","240.0005154679","273.0987823611","-33.0982668932","-39.2193843537","6.1211174604","157.3167509084","139.2152894582","-23.4332580054","-168.5370437668","145.1037857614","4.2945460198","12.4145757080","140.6076291806","0.0000000000","0.0000000000"
"7","8528","-1212.9226250780","0.0082182154","0.0698837691","0.2316354263","549.5880493545","364.9984369511","184.5896124033","239.8044306901","273.0554654323","-33.2496459333","-39.4010394895","6.1513935562","157.9328751318","139.2641152239","-24.1415249234","-170.0938167688","145.9522918454","4.3997079574","12.5301450808","141.0030220936","0.0000000000","0.0000000000"
"8","26247","-1213.0113129135","0.0075207453","0.0774045144","0.2845077380","549.6409216661","365.5587227211","184.0821989450","240.3647164600","274.9367208558","-34.5720043958","-40.6687031240","6.0966987282","158.8880964254","140.7139800469","-24.6653556165","-168.9862703302","144.3209147137","4.3045039585","12.2637472257","142.3198452412","0.0000000000","0.0000000000"
"9","20375","-1213.0324709860","0.0073632924","0.0847678068","0.2971213754","549.6535353035","365.5444475156","184.1090877879","240.3504412545","273.7770318817","-33.4265906272","-39.5243534862","6.0977628591","158.9836562864","139.2135209380","-24.4201453428","-169.2957938871","144.8756485444","4.3207499299","12.3521529718","142.3107533848","0.0000000000","0.0000000000"
"10","23838","-1213.0840865468","0.0069928739","0.0917606807","0.3278926079","549.6843065361","365.9213888613","183.7629176748","240.7273826002","274.4255786592","-33.6981960590","-39.8280251048","6.1298290459","158.0926612791","139.9832668952","-23.6503495151","-167.7368015099","144.0864519948","4.2619923727","12.3153330864","141.5153358200","0.0000000000","0.0000000000"
