" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","291.0455016336"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","67","-1222.1826235113","0.6773065412","0.6773065412","0.0000000000","555.1085079347","370.6953244205","184.4131835142","245.5013181594","284.5352516771","-39.0338097070","-45.1764052605","6.1425955535","156.6223426214","151.0103086630","-23.0973996074","-171.0763720058","147.9789723985","4.4912158488","14.2457008281","137.8854259445","0.0000000000","0.0000000000"
"2","718","-1224.7900988348","0.0499313290","0.7272378701","1.5544775332","556.6629854679","372.3396015522","184.3233839157","247.1455952911","286.0426670843","-38.8970717932","-44.9510140898","6.0539422965","157.5360421861","151.7017628338","-23.1951379356","-172.0813481938","148.8862102582","4.5400694514","14.7296130809","138.2663596538","0.0000000000","0.0000000000"
"3","804","-1224.8474524590","0.0471481615","0.7743860317","1.5886695807","556.6971775155","372.9182093952","183.7789681203","247.7242031341","285.2524669857","-37.5282638516","-43.5383908914","6.0101270398","158.7776426838","149.5312885042","-23.0564642023","-171.2799942256","148.2235300232","4.4616652572","14.6119552025","139.7040222241","0.0000000000","0.0000000000"
"4","361","-1225.6709204602","0.0206936526","0.7950796843","2.0795898574","557.1880977921","373.6646181232","183.5234796689","248.4706118621","288.4460865532","-39.9754746911","-46.0754830487","6.1000083576","157.7020983814","152.0789008788","-21.3349127070","-169.8007295139","148.4658168069","4.5122225207","14.6864797170","138.5033961436","0.0000000000","0.0000000000"
"5","967","-1225.9505998462","0.0156449414","0.8107246256","2.2463240613","557.3548319960","373.0232298990","184.3316020969","247.8292236379","286.3915313132","-38.5623076752","-44.5430779847","5.9807703095","160.5149640157","150.3414646613","-24.4648973639","-174.6879839434","150.2230865796","4.6472530793","15.1737486319","140.6939623045","0.0000000000","0.0000000000"
"6","216","-1226.0070964545","0.0147855599","0.8255101855","2.2800051885","557.3885131233","374.3706368411","183.0178762821","249.1766305800","284.9209631374","-35.7443325574","-41.7592893445","6.0149567871","160.9298255801","149.2937148857","-25.3025773283","-173.3547678871","148.0521905588","4.4602098349","14.4813563282","141.9882594170","0.0000000000","0.0000000000"
"7","696","-1226.1160793958","0.0132588875","0.8387690730","2.3449766696","557.4534846043","374.3030662705","183.1504183338","249.1090600095","286.2901753166","-37.1811153072","-43.2177922899","6.0366769827","160.1312956593","149.6361980880","-23.4773184306","-171.0555470305","147.5782285999","4.5122638017","14.6534976608","140.9655341968","0.0000000000","0.0000000000"
"8","321","-1226.1515398407","0.0127969599","0.8515660329","2.3661168371","557.4746247718","374.4194617028","183.0551630690","249.2254554417","285.5447418967","-36.3192864550","-42.3097737641","5.9904873091","160.8238875446","148.3570757479","-23.6362213958","-172.3484766804","148.7122552846","4.5289999678","15.5425082821","140.7523792947","0.0000000000","0.0000000000"
"9","873","-1226.2224219617","0.0119212857","0.8634873185","2.4083740594","557.5168819942","374.0708136999","183.4460682943","248.8768074388","286.9062662588","-38.0294588200","-44.0746239210","6.0451651010","160.9741854443","149.2883741606","-23.3562933462","-171.5362726516","148.1799793054","4.5057447727","14.6517195316","141.8167211400","0.0000000000","0.0000000000"
"10","985","-1226.2377636715","0.0117397886","0.8752271071","2.4175202028","557.5260281376","374.4877382904","183.0382898471","249.2937320293","288.4868171797","-39.1930851504","-45.1114568860","5.9183717356","161.3982999536","152.1872556283","-25.0987384022","-174.7106312586","149.6118928564","4.6013284464","15.4743412978","141.3226302094","0.0000000000","0.0000000000"
