" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","38.4720902584"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","166","21.3431923030","0.5718420960","0.5718420960","0.0000000000","-35.6595945690","-45.5693958652","9.9098012962","-58.0887964913","6.2983673157","-64.3866865564","-66.3287438648","1.9420573084","6.2462418186","-0.4076768220","0.4598023191","-4.2072470962","4.6670494153","0.0719101172","2.2459279902","3.9278943824","0.0005093287","0.0000000000"
"2","84","19.9741592836","0.1454496354","0.7172917314","0.8161653733","-34.8434291957","-44.8667900826","10.0233608869","-57.3861907087","7.2630143657","-64.6492050744","-66.5439367594","1.8947316850","6.7340263154","-0.0687660768","0.5977541271","-4.8192504872","5.4170046143","0.1074398587","2.4689083729","4.1570951935","0.0005828902","0.0000000000"
"3","170","19.8811921727","0.1325371213","0.8498288527","0.8715888260","-34.7880057430","-44.8112221873","10.0232164443","-57.3306228134","7.2632075175","-64.5938303309","-66.5133509407","1.9195206098","6.7339147850","-0.0683626165","0.5976553489","-4.8193986831","5.4170540320","0.1074313564","2.4690495242","4.1569269391","0.0005069653","0.0000000000"
"4","184","18.9985368134","0.0548283506","0.9046572033","1.3977943526","-34.2618002164","-44.4801903812","10.2183901648","-56.9995910073","8.2766983107","-65.2762893180","-67.1569786989","1.8806893809","6.5127956426","1.4293000994","0.3346025687","-5.0212565627","5.3558591314","0.0921742773","2.4174731913","4.0023195666","0.0008286074","0.0000000000"
"5","20","18.8550121484","0.0474977691","0.9521549724","1.4833582945","-34.1762362745","-44.3943692521","10.2181329776","-56.9137698782","8.2767424175","-65.1905122957","-67.0806426467","1.8901303510","6.5127599118","1.4293732392","0.3346092665","-5.0213106877","5.3559199542","0.0921867281","2.4174380048","4.0023092629","0.0008259161","0.0000000000"
"6","0","18.5067857173","0.0335305281","0.9856855005","1.6909576374","-33.9686369316","-44.3845757177","10.4159387860","-56.9039763438","7.3291563087","-64.2331326525","-66.1481540133","1.9150213608","6.7548482205","-0.4205747233","0.9948828116","-4.4951570613","5.4900398729","0.1055905075","2.7149967819","3.9342602816","0.0000006496","0.0000000000"
"7","67","16.9191534892","0.0068539428","0.9925394434","2.6374435379","-33.0221510311","-43.3745780423","10.3524270112","-55.8939786684","9.7188335328","-65.6128122012","-67.4632523406","1.8504401394","7.0019586852","2.4025405519","0.3143342957","-5.8609327817","6.1752670774","0.1340624080","2.7334053620","4.1327886317","0.0017022836","0.0000000000"
"8","48","16.8306393276","0.0062733464","0.9988127897","2.6902123117","-32.9693822573","-43.3216700255","10.3522877682","-55.8410706516","9.7186975784","-65.5597682300","-67.4141796789","1.8544114489","7.0020486844","2.4023929987","0.3142558953","-5.8607934026","6.1750492978","0.1340600141","2.7334290410","4.1328605390","0.0016990902","0.0000000000"
"9","58","14.4736734716","0.0005941307","0.9994069204","4.0953456361","-31.5642489329","-42.0847927695","10.5205438366","-54.6041933957","11.2583796978","-65.8625730934","-67.7116221148","1.8490490214","8.1685621713","2.7353158168","0.3545017097","-6.2452674324","6.5997691421","0.1490727318","3.1683464109","4.8397181938","0.0114248348","0.0000000000"
"10","86","14.4719026922","0.0005930796","1.0000000000","4.0964013074","-31.5631932616","-42.0834144560","10.5202211944","-54.6028150821","11.2582538514","-65.8610689335","-67.7019691508","1.8409002173","8.1686011201","2.7351518527","0.3545008786","-6.2451735871","6.5996744657","0.1490463525","3.1682826891","4.8398675643","0.0114045142","0.0000000000"
