" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","291.5111857831"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","14863","-1084.9498522161","0.0260026059","0.0260026059","0.0000000000","473.0179303486","293.4030269577","179.6149033909","170.8917494022","236.0505798650","-65.1579098484","-71.2292053649","6.0712955165","149.6145256392","103.8688276957","-17.4327734699","-175.1415563016","157.7087828317","5.1120841139","12.1229491359","132.3793041505","0.0001882389","0.0000000000"
"2","11763","-1084.9524916467","0.0259340644","0.0519366703","0.0015735281","473.0195038766","293.4256396381","179.5938642386","170.9143620826","236.1697202569","-65.2553581743","-71.2795109396","6.0241527653","149.8033081430","104.2480119529","-17.8815998390","-175.1973038015","157.3157039625","5.0898513692","12.0467745241","132.6663388548","0.0003433949","0.0000000000"
"3","14268","-1085.1839709343","0.0205750267","0.0725116970","0.1395726679","473.1575030165","293.9194888217","179.2380141948","171.4082112662","238.0493838631","-66.6411725969","-72.6729095743","6.0317369774","150.2283964606","105.8974040458","-18.0764166433","-174.5945210412","156.5181043979","5.0727782651","12.0156259731","133.1398235041","0.0001687183","0.0000000000"
"4","16036","-1085.2300371309","0.0196487131","0.0921604101","0.1670355808","473.1849659294","293.6009967761","179.5839691533","171.0897192206","236.4631809667","-65.3734617461","-71.3669335986","5.9934718525","149.9651021800","104.8408970567","-18.3428182700","-175.2835822382","156.9407639682","5.0673894446","11.9898782402","132.9074910030","0.0003434922","0.0000000000"
"5","21493","-1085.2804266222","0.0186831557","0.1108435658","0.1970758774","473.2150062260","293.8060030446","179.4090031814","171.2947254891","236.8280263072","-65.5333008180","-71.5791311671","6.0458303491","150.0102956346","104.4818292456","-17.6640985731","-174.6603911774","156.9962926043","5.0987186566","12.0917170139","132.8194555714","0.0004043927","0.0000000000"
"6","19068","-1085.3762341750","0.0169762414","0.1278198072","0.2541926935","473.2721230421","294.0411572738","179.2309657683","171.5298797183","238.7666172841","-67.2367375658","-73.2390482641","6.0023106982","150.4551625167","106.7821432095","-18.4706884421","-174.5936553914","156.1229669494","5.0569443481","11.9129595471","133.4849152993","0.0003433223","0.0000000000"
"7","13965","-1085.4861164587","0.0152096869","0.1430294941","0.3197003283","473.3376306769","293.9542518153","179.3833788616","171.4429742598","237.2170741091","-65.7740998493","-71.7930743136","6.0189744644","150.1866475394","105.1537842308","-18.1233576611","-174.7459280550","156.6225703939","5.0773935455","12.0298485712","133.0790871650","0.0003182576","0.0000000000"
"8","23144","-1085.8036842752","0.0110713944","0.1541008885","0.5090221721","473.5269525207","294.0819762479","179.4449762728","171.5706986924","236.4244942255","-64.8537955331","-70.9041462714","6.0503507383","150.2968244957","103.7831657361","-17.6554960062","-174.6522488030","156.9967527968","5.0905696893","12.0981016588","133.1079056454","0.0002475021","0.0000000000"
"9","23223","-1085.8750382451","0.0103089323","0.1644098208","0.5515606929","473.5694910415","294.5233289566","179.0461620849","172.0120514011","239.4417883275","-67.4297369263","-73.4469532618","6.0172163355","150.6677998968","107.0515687699","-18.2775803392","-174.1046341531","155.8270538139","5.0644239675","11.9740949980","133.6290295374","0.0002513938","0.0000000000"
"10","11944","-1085.9393196838","0.0096671089","0.1740769297","0.5898828398","473.6078131883","294.1402045076","179.4676086808","171.6289269521","239.4528456449","-67.8239186928","-73.8972572059","6.0733385132","149.2820957692","108.1561218868","-17.9853720111","-175.3146056656","157.3292336545","5.0977861131","12.2160079629","131.9681231353","0.0001785579","0.0000000000"
