" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","30.6439127501"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","19","-58.4115349502","0.3201182463","0.3201182463","0.0000000000","16.5539993694","6.6942013311","9.8597980383","-3.1424705894","-0.1537270418","-2.9886268940","-4.5878327097","1.5992058157","6.3335120676","-7.4387046671","0.9514655577","-2.1201438711","3.0716094287","0.0645816200","0.9304009470","5.3385295006","0.0000000000","0.0000000000"
"2","90","-58.4301859432","0.3142030567","0.6343213030","0.0111190120","16.5651183815","6.7054289442","9.8596894373","-3.1312429763","-0.1536988201","-2.9775441561","-4.5787382965","1.6011941404","6.3334614362","-7.4386237771","0.9514635208","-2.1201357528","3.0715992737","0.0645788965","0.9304060193","5.3384765204","0.0000000000","0.0000000000"
"3","148","-58.9595686183","0.1850556849","0.8193769879","0.3267168118","16.8807161812","7.0615547777","9.8191614035","-2.7751171428","-0.1837109418","-2.5914062010","-4.1840446889","1.5926384879","6.8397002462","-7.9162494724","0.8928382844","-2.1668780662","3.0597163506","0.0591523167","0.9179581828","5.8625897467","0.0000000000","0.0000000000"
"4","114","-59.8648390049","0.0748425365","0.8942195243","0.8664045568","17.4204039262","7.5284693252","9.8919346010","-2.3082025953","0.0393970277","-2.3475996230","-3.9181902873","1.5705906643","7.3198198837","-8.5297856532","1.2493627972","-2.6152200494","3.8645828466","0.0556885986","0.6939325478","6.5701987374","0.0000000000","0.0000000000"
"5","93","-60.2113793330","0.0529234254","0.9471429497","1.0729987092","17.6269980786","7.7356198272","9.8913782515","-2.1010520933","0.8414112805","-2.9424633738","-4.5295655625","1.5871021887","6.7360217099","-7.2462665716","1.3516561423","-2.4995316496","3.8511877918","0.0627472978","0.6867512046","5.9865232075","0.0000000000","0.0000000000"
"6","140","-60.2126342919","0.0528570503","1.0000000000","1.0737468679","17.6277462373","7.7363051530","9.8914410844","-2.1003667675","0.8414010316","-2.9417677992","-4.5261672324","1.5843994333","6.7360321563","-7.2462991845","1.3516680599","-2.4995397321","3.8512077920","0.0627516471","0.6867513435","5.9865291657","0.0000000000","0.0000000000"
