" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1769439513"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","78","6.7760274178","0.3165254147","0.3165254147","0.0000000000","-29.1838981147","-40.0041200943","10.8202219796","-53.4177636223","9.0480070415","-62.4621873072","-64.5441192996","2.0819319924","2.6517698645","5.5785083162","0.8177288608","-4.5345437907","5.3522726515","0.0627691784","2.5790698219","0.0099144557","0.0000164085","0.0000000000"
"2","166","6.7072906175","0.2954993796","0.6120247944","0.0409782639","-29.1429198508","-39.9622484984","10.8193286476","-53.3758920264","9.0478385254","-62.4237305518","-64.4941444592","2.0704139075","2.6517547600","5.5783310033","0.8177527620","-4.5342598247","5.3520125867","0.0627541450","2.5790769351","0.0098893687","0.0000343113","0.0000000000"
"3","90","5.6116783647","0.0987957398","0.7108205342","0.6941405840","-28.4897575306","-39.4638799276","10.9741223970","-52.8775234556","10.0671799301","-62.9447033857","-64.9815617385","2.0368583528","2.7791361389","6.4733875060","0.8146562851","-5.0871578168","5.9018141020","0.0777673816","2.6509066862","0.0504232848","0.0000387863","0.0000000000"
"4","54","5.6096438774","0.0985949455","0.8094154797","0.6953534679","-28.4885446468","-39.4606480911","10.9721034443","-52.8742916191","10.0673479709","-62.9416395900","-64.9758089277","2.0341693377","2.7790962459","6.4736122878","0.8146394373","-5.0874638606","5.9021032979","0.0777706466","2.6509128935","0.0503344615","0.0000782443","0.0000000000"
"5","164","5.5759789385","0.0953310012","0.9047464808","0.7154232230","-28.4684748917","-39.4355778283","10.9671029366","-52.8492213563","10.2426573945","-63.0918787508","-65.1377548173","2.0458760665","2.8217150364","6.6358094371","0.7851329211","-5.2144351959","5.9995681169","0.0802956639","2.6778093523","0.0635306522","0.0000793680","0.0000000000"
"6","171","5.5751658403","0.0952535192","1.0000000000","0.7159079612","-28.4679901534","-39.4370494974","10.9690593439","-52.8506930254","10.2430976930","-63.0937907184","-65.1201729370","2.0263822186","2.8218469110","6.6363329970","0.7849177851","-5.2153591037","6.0002768887","0.0803147487","2.6778676236","0.0636061817","0.0000583570","0.0000000000"
