" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1769439513"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","117","6.7723859029","0.3161972135","0.3161972135","0.0000000000","-29.1817271821","-40.0017681461","10.8200409640","-53.4154116741","9.0480118683","-62.4611124911","-64.5430444835","2.0819319924","2.6517886692","5.5785076463","0.8177155528","-4.5345231825","5.3522387353","0.0627678048","2.5790951225","0.0099094528","0.0000162891","0.0000000000"
"2","40","6.7054067190","0.2957122722","0.6119094857","0.0399304399","-29.1417967422","-39.9646526534","10.8228559112","-53.3782961814","9.0480266433","-62.4263228246","-64.5060445988","2.0797217742","2.6518047132","5.5784811644","0.8177407657","-4.5346280604","5.3523688261","0.0627764357","2.5791003468","0.0098866374","0.0000412933","0.0000000000"
"3","190","5.6116762576","0.0990531393","0.7109626250","0.6919709077","-28.4897562745","-39.4641062825","10.9743500081","-52.8777498105","10.0674679985","-62.9452178090","-64.9820761618","2.0368583528","2.7790032296","6.4737969035","0.8146678654","-5.0876317376","5.9022996030","0.0777762942","2.6508750813","0.0503128709","0.0000389833","0.0000000000"
"4","184","5.6091591069","0.0988041212","0.8097667462","0.6934715371","-28.4882556450","-39.4603282668","10.9720726217","-52.8739717947","10.0672045140","-62.9411763087","-64.9753456464","2.0341693377","2.7791105687","6.4734324738","0.8146614716","-5.0871983150","5.9018597865","0.0777835951","2.6508971139","0.0503511714","0.0000786884","0.0000000000"
"5","116","5.5716793149","0.0951695011","0.9049362473","0.7158155624","-28.4659116197","-39.4343080870","10.9683964673","-52.8479516150","10.2430926114","-63.0910442264","-65.1174264450","2.0263822186","2.8217903212","6.6363319985","0.7849702917","-5.2154447331","6.0004150248","0.0802960772","2.6778147612","0.0636210268","0.0000584561","0.0000000000"
"6","52","5.5705675382","0.0950637527","1.0000000000","0.7164783613","-28.4652488208","-39.4322416428","10.9669928220","-52.8458851707","10.2427420929","-63.0886272636","-65.1345033301","2.0458760665","2.8215839222","6.6359460652","0.7852121055","-5.2146339575","5.9998460630","0.0802862339","2.6777631322","0.0634547804","0.0000797757","0.0000000000"
