" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","294.4803082432"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","22927","-1228.9262523316","0.0198337323","0.0198337323","0.0000000000","557.0811017850","360.3262948576","196.7548069275","228.8725882834","307.7159653798","-78.8433770964","-84.8947580665","6.0513809701","145.7687461867","186.9154053296","-24.9681861365","-174.3167036570","149.3485175204","4.3680938564","10.1834898677","131.2171624626","0.0000000000","0.0000000000"
"2","21066","-1229.0603976329","0.0173438649","0.0371775972","0.0799723223","557.1610741073","359.3051443535","197.8559297539","227.8514377793","297.8423565111","-69.9909187318","-75.9759159856","5.9849972538","146.1540505180","177.0320110953","-25.3437051022","-176.0419628143","150.6982577121","4.3651567962","9.7659333808","132.0229603411","0.0000000000","0.0000000000"
"3","9303","-1229.2367620376","0.0145395778","0.0517171750","0.1851140670","557.2662158520","358.4252647879","198.8409510642","226.9715582137","297.7689286401","-70.7767950471","-76.8373705767","6.0605755296","146.2135616971","175.9500376031","-24.3946706601","-176.1186982945","151.7240276344","4.4264235939","10.2737336323","131.5134044709","0.0000000000","0.0000000000"
"4","6941","-1229.2947350039","0.0137206427","0.0654378177","0.2196753427","557.3007771277","361.0320324189","196.2687447089","229.5783258447","304.2163802446","-74.6380543999","-80.8899732901","6.2519188902","144.9092280064","180.5468424863","-21.2396902482","-169.1493371663","147.9096469181","4.4330393482","10.2345071338","130.2416815244","0.0000000000","0.0000000000"
"5","21155","-1229.4520219261","0.0117237247","0.0771615424","0.3134438186","557.3945456036","358.6528378775","198.7417077261","227.1991313033","296.2864940941","-69.0873627907","-75.1094370406","6.0220742499","146.1367224653","174.3466138231","-24.1968421943","-176.7692724704","152.5724302761","4.3911972197","10.2200718533","131.5254533923","0.0000000000","0.0000000000"
"6","23140","-1229.7339290979","0.0088437180","0.0860052604","0.4815061435","557.5626079285","358.3256662394","199.2369416891","226.8719596653","291.6833263269","-64.8113666616","-70.7131783736","5.9018117120","147.6157259359","169.5447090858","-25.4771086947","-178.3429267036","152.8658180089","4.2517070917","9.6759030788","133.6881157653","0.0000000000","0.0000000000"
"7","12708","-1229.7706630359","0.0085247478","0.0945300081","0.5034055191","557.5845073041","359.8003595199","197.7841477842","228.3466529457","299.8205019323","-71.4738489866","-77.4953378769","6.0214888903","145.9322882116","179.2175790634","-25.3293653427","-175.9962176924","150.6668523497","4.3810345432","9.9091716847","131.6420819837","0.0000000000","0.0000000000"
"8","13125","-1229.7757203119","0.0084817446","0.1030117527","0.5064204745","557.5875222595","358.9674671945","198.6200550651","227.5137606203","294.6722804130","-67.1585197927","-73.1365912885","5.9780714958","146.6898816327","174.3986450519","-26.4162462716","-178.1239334155","151.7076871439","4.2994792260","10.0273704701","132.3630319366","0.0000000000","0.0000000000"
"9","15281","-1229.8039701151","0.0082454898","0.1112572425","0.5232619318","557.6043637168","359.0991229840","198.5052407328","227.6454164099","301.6559479214","-74.0105315115","-80.1391808143","6.1286493028","146.0628052398","179.1229032508","-23.5297605691","-175.8944010690","152.3646404998","4.5032166361","10.4531010467","131.1064875570","0.0000000000","0.0000000000"
"10","12948","-1229.8110389789","0.0081874090","0.1194446515","0.5274761193","557.6085779043","359.0474419517","198.5611359526","227.5937353776","297.4638472091","-69.8646200585","-75.8899427786","6.0253227201","146.7888973064","175.3101421413","-24.6351922386","-175.5861532770","150.9509610384","4.4045758397","10.2950260293","132.0892954373","0.0000000000","0.0000000000"
