" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","291.0455016336"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","22426","-1212.5459765465","0.0135076810","0.0135076810","0.0000000000","549.3635058373","365.0409000420","184.3226057953","239.8468937809","272.9243231795","-33.0774293985","-39.2020967054","6.1246673069","158.2222168290","139.3469175328","-24.6448111823","-169.6367832746","144.9919720923","4.3137489691","12.2598051748","141.6486626851","0.0000000000","0.0000000000"
"2","19962","-1212.6425721429","0.0122639356","0.0257716165","0.0575866176","549.4210924549","365.2026775142","184.2184149408","240.0086712531","273.1844830676","-33.1758118145","-39.3053725697","6.1295607551","157.4404476496","139.6403913301","-23.8963559120","-168.4410605344","144.5447046223","4.2535204154","12.3022713568","140.8846558774","0.0000000000","0.0000000000"
"3","14618","-1212.7771039420","0.0107202137","0.0364918302","0.1377893553","549.5012951926","365.0068413914","184.4944538012","239.8128351303","272.8640038312","-33.0511687009","-39.1808972349","6.1297285340","158.1412893733","138.8346667065","-24.1119522486","-169.7345904957","145.6226382471","4.3569297815","12.3665063126","141.4178532792","0.0000000000","0.0000000000"
"4","20540","-1212.8252855213","0.0102159427","0.0467077729","0.1665133788","549.5300192161","365.1964396826","184.3335795335","240.0024334215","273.0984209921","-33.0959875706","-39.2207117875","6.1247242169","157.3156825965","139.2138019776","-23.4310635819","-168.5377631028","145.1066995208","4.2942828386","12.4144494652","140.6069502927","0.0000000000","0.0000000000"
"5","22269","-1212.9333046263","0.0091699369","0.0558777098","0.2309102574","549.5944160947","365.0044559282","184.5899601664","239.8104496672","273.0549340229","-33.2446002876","-39.3924998551","6.1478995675","157.9331094982","139.2619975419","-24.1401730171","-170.0934823910","145.9533093739","4.4003483421","12.5335074966","140.9992536594","0.0000000000","0.0000000000"
"6","22446","-1212.9976867475","0.0085981605","0.0644758703","0.2692924273","549.6327982646","365.8730461820","183.7597520826","240.6790399209","274.4247967158","-33.7448618521","-39.8661378306","6.1212759785","158.0933086679","139.9795601523","-23.6480721044","-167.7369617937","144.0888896893","4.2621497494","12.3161589946","141.5149999239","0.0000000000","0.0000000000"
"7","23087","-1213.1221187910","0.0075921608","0.0720680311","0.3434740751","549.7069799124","365.6000970155","184.1068828969","240.4060907544","273.7765195064","-33.3704287520","-39.4924881887","6.1220594367","158.9847155202","139.2056783309","-24.4138743447","-169.2879829232","144.8741085785","4.3210135701","12.3565389176","142.3071630325","0.0000000000","0.0000000000"
"8","7754","-1213.1514109012","0.0073729960","0.0794410270","0.3609369162","549.7244427534","365.6142867479","184.1101560055","240.4202804868","274.4431498796","-34.0228693928","-40.0993100028","6.0764406101","157.7771596987","140.3514498435","-23.6854596625","-168.0160087396","144.3305490771","4.2639748365","12.2782069598","141.2349779024","0.0000000000","0.0000000000"
"9","12500","-1213.2207879967","0.0068788194","0.0863198464","0.4022968997","549.7658027370","365.3494061489","184.4163965880","240.1553998879","273.3794401599","-33.2240402721","-39.3732134159","6.1491731438","157.1441818928","139.6056487006","-23.3703904335","-168.7780750733","145.4076846398","4.3398958048","12.6106495936","140.1936364944","0.0000000000","0.0000000000"
"10","25279","-1213.2382219043","0.0067599340","0.0930797804","0.4126903317","549.7761961690","365.6968230432","184.0793731258","240.5028167821","274.9371767563","-34.4343599742","-40.5274575708","6.0930975966","158.8898246724","140.7014940432","-24.6541419593","-168.9793925016","144.3252505423","4.3049817742","12.2682249099","142.3166179883","0.0000000000","0.0000000000"
"11","9565","-1213.2726813135","0.0065309585","0.0996107389","0.4332337198","549.7967395571","365.8522220775","183.9445174796","240.6582158164","275.2272174458","-34.5690016293","-40.6869786576","6.1179770283","158.0347649158","141.1082613140","-23.9158087841","-167.6948675306","143.7790587465","4.2461816873","12.2965573077","141.4920259208","0.0000000000","0.0000000000"
"12","17263","-1213.2953989697","0.0063842630","0.1059950020","0.4467771216","549.8102829589","365.8876637445","183.9226192144","240.6936574834","275.2859392355","-34.5922817520","-40.6608411004","6.0685593484","157.9809338472","141.4361208543","-24.1311154660","-167.8217930589","143.6906775929","4.2294453582","12.1837396491","141.5677488398","0.0000000000","0.0000000000"
"13","19921","-1213.3174030043","0.0062453178","0.1122403197","0.4598950895","549.8234009267","365.7661019233","184.0572990034","240.5720956622","275.0362502749","-34.4641546127","-40.5307833413","6.0666287287","158.7792706621","141.1073701263","-24.8503905136","-168.9669233974","144.1165328839","4.2940368396","12.1580357262","142.3271980963","0.0000000000","0.0000000000"
"14","5321","-1213.3538102547","0.0060220322","0.1182623519","0.4815997063","549.8451055436","365.6201006788","184.2250048647","240.4260944178","275.1322353956","-34.7061409778","-40.8232490230","6.1171080452","158.0171930162","141.0337755228","-23.9187331434","-167.9996051514","144.0808720080","4.2669257738","12.3690775726","141.3811896697","0.0000000000","0.0000000000"
"15","19689","-1213.3658679220","0.0059498565","0.1242122085","0.4887880286","549.8522938659","365.6233938802","184.2288999857","240.4293876191","274.4593859641","-34.0299983450","-40.1706142856","6.1406159407","157.9450651016","141.1493804236","-24.6350595612","-169.6173158976","144.9822563364","4.3277629972","12.3949379849","141.2223641196","0.0000000000","0.0000000000"
"16","20152","-1213.3894254145","0.0058113309","0.1300235394","0.5028321089","549.8663379462","365.6129996184","184.2533383278","240.4189933573","274.2486128909","-33.8296195336","-39.8945589852","6.0649394516","158.6008883409","140.0738450508","-24.4261205008","-169.1719463522","144.7458258514","4.3281437633","12.2936113013","141.9791332763","0.0000000000","0.0000000000"
"17","22450","-1213.3923185922","0.0057945420","0.1358180814","0.5045569113","549.8680627486","365.5456208516","184.3224418969","240.3516145906","274.8362387257","-34.4846241351","-40.5819215090","6.0972973739","158.5624068078","140.4592813372","-24.1854494193","-169.5041021181","145.3186526988","4.3947313932","12.5659178000","141.6017576146","0.0000000000","0.0000000000"
"18","17850","-1213.4421596349","0.0055128151","0.1413308964","0.5342702438","549.8977760810","365.3876121096","184.5101639715","240.1936058485","271.6889726217","-31.4953667732","-37.6028497712","6.1074829980","158.5755537834","136.3493854051","-23.2359665668","-168.5908712806","145.3549047138","4.2282003548","12.2838901375","142.0634632911","0.0000000000","0.0000000000"
"19","22329","-1213.4893978560","0.0052584546","0.1465893510","0.5624318730","549.9259377103","365.6533875501","184.2725501602","240.4593812890","275.2064259884","-34.7470446994","-40.8755031340","6.1284584346","157.8219129685","142.0466000894","-24.6620870695","-169.7306022477","145.0685151782","4.3283226152","12.4092520766","141.0843382767","0.0000000000","0.0000000000"
"20","5226","-1213.4960850036","0.0052234078","0.1518127588","0.5664184959","549.9299243331","365.5244184202","184.4055059129","240.3304121591","274.8509891408","-34.5189716919","-40.6368714119","6.1178997200","158.8291584613","140.7275728862","-24.7057422066","-169.3393472386","144.6336050320","4.3305103526","12.3394974847","142.1591506240","0.0000000000","0.0000000000"
"21","20450","-1213.5071762690","0.0051657937","0.1569785525","0.5730306861","549.9365365234","365.9191922370","184.0173442863","240.7251859760","274.4023197394","-33.6771337634","-39.7793636974","6.1022299340","157.8514883747","140.3403790334","-23.7895476687","-167.8166828998","144.0271352311","4.2484540313","12.2560120340","141.3470223093","0.0000000000","0.0000000000"
"22","15855","-1213.5102389879","0.0051499965","0.1621285491","0.5748565625","549.9383623998","365.7292075844","184.2091548154","240.5352013233","275.0480229779","-34.5128216546","-40.6501995415","6.1373778868","157.8450660589","141.8843345481","-24.6813776291","-169.6564162983","144.9750386692","4.3268131646","12.3803251304","141.1379277639","0.0000000000","0.0000000000"
"23","22966","-1213.5105640897","0.0051483225","0.1672768716","0.5750503759","549.9385562132","365.3273013052","184.6112549079","240.1332950441","273.7351236038","-33.6018285596","-39.7204465127","6.1186179531","157.1075358605","139.5895766443","-22.9619889011","-168.9488701019","145.9868812008","4.3769773634","12.6812664507","140.0492920464","0.0000000000","0.0000000000"
"24","14643","-1213.5145498789","0.0051278433","0.1724047149","0.5774265516","549.9409323889","365.7609787786","184.1799536103","240.5669725175","274.1079146040","-33.5409420865","-39.6592817196","6.1183396331","158.6943819154","139.8685531655","-24.4550204769","-169.1533256543","144.6983051774","4.3200947742","12.2276890997","142.1465980415","0.0000000000","0.0000000000"
"25","14667","-1213.5165351487","0.0051176732","0.1775223881","0.5786100939","549.9421159312","365.9910982786","183.9510176526","240.7970920175","274.9032634312","-34.1061714137","-40.2114359973","6.1052645837","158.0145071462","141.1031376279","-24.2143813429","-167.7406683896","143.5262870467","4.2151991395","12.1625397306","141.6367682761","0.0000000000","0.0000000000"
"26","10257","-1213.5842188984","0.0047827521","0.1823051402","0.6189605691","549.9824664064","366.3226906890","183.6597757174","241.1286844280","275.9461750746","-34.8174906466","-40.8619199267","6.0444292801","158.4964907398","141.3343246879","-23.8846403532","-167.2194029035","143.3347625504","4.2319843790","12.1927105811","142.0717957797","0.0000000000","0.0000000000"
"27","25856","-1213.5947517269","0.0047326406","0.1870377807","0.6252398405","549.9887456778","365.8759231913","184.1128224865","240.6819169302","274.8676313459","-34.1857144158","-40.3225990047","6.1368845890","157.7530368256","140.8055005453","-23.6909060249","-168.0268947876","144.3359887627","4.2882207699","12.3743353701","141.0904806856","0.0000000000","0.0000000000"
"28","22439","-1213.5980159788","0.0047172172","0.1917549979","0.6271858632","549.9906917005","365.6769829497","184.3137087508","240.4829766886","274.5935554675","-34.1105787789","-40.1842491284","6.0736703495","158.4420224560","140.5202918824","-24.3687588710","-169.4150199077","145.0462610367","4.3741956559","12.4696983414","141.5981284587","0.0000000000","0.0000000000"
"29","22598","-1213.6170884801","0.0046281006","0.1963830985","0.6385561625","550.0020619998","365.6898511062","184.3122108936","240.4958448451","274.8041474965","-34.3083026514","-40.4223078431","6.1140051917","157.8909508235","140.3833467768","-23.4701501037","-168.1027619452","144.6326118415","4.3033741206","12.4725911073","141.1149855955","0.0000000000","0.0000000000"
"30","17233","-1213.6459739343","0.0044963281","0.2008794267","0.6557765708","550.0192824080","365.8888637694","184.1304186386","240.6948575083","275.2731997871","-34.5783422788","-40.7197947365","6.1414524577","157.0653330325","142.1416642795","-23.9337975248","-168.5103079603","144.5765104355","4.2664647051","12.4373789408","140.3614893866","0.0000000000","0.0000000000"
"31","20451","-1213.6621111221","0.0044243524","0.2053037791","0.6653969479","550.0289027852","365.1899315029","184.8389712822","239.9959252418","273.3951307704","-33.3992055286","-39.5554496055","6.1562440769","157.9173943540","139.1725898636","-23.6948534471","-170.3103654599","146.6155120127","4.4419046292","12.6275396552","140.8479500696","0.0000000000","0.0000000000"
"32","12373","-1213.6648715627","0.0044121560","0.2097159351","0.6670426175","550.0305484548","365.6261474968","184.4044009580","240.4321412357","274.9234394064","-34.4912981707","-40.6140794149","6.1227812442","157.8617800111","141.1392808002","-24.0776214048","-169.6826318775","145.6050104726","4.3714327628","12.5112366722","140.9791105761","0.0000000000","0.0000000000"
"33","7854","-1213.6665691906","0.0044046722","0.2141206073","0.6680546786","550.0315605159","365.7098741967","184.3216863192","240.5158679356","274.3054730495","-33.7896051139","-39.8992674715","6.1096623576","157.9252399718","140.1627751314","-23.7825420536","-168.7352786506","144.9527365969","4.2912126198","12.4845831619","141.1494441901","0.0000000000","0.0000000000"
"34","14683","-1213.6713059034","0.0043838579","0.2185044652","0.6708785265","550.0343843638","365.9155196869","184.1188646768","240.7215134258","274.7836405250","-34.0621270992","-40.2010204564","6.1388933572","157.1787755413","141.4789782376","-23.8741132539","-168.3847906283","144.5106773744","4.2696297493","12.4463273091","140.4628184829","0.0000000000","0.0000000000"
"35","19804","-1213.6904433780","0.0043007596","0.2228052247","0.6822875604","550.0457933977","365.8208831449","184.2249102528","240.6268768838","275.1670762686","-34.5401993849","-40.6908526136","6.1506532287","156.8561031690","141.7763271902","-23.4653540905","-168.5863352718","145.1209811812","4.3069812787","12.5662605534","139.9828613369","0.0000000000","0.0000000000"
