" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","37.7599660391"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","625","-101.3610284537","0.1197646551","0.1197646551","0.0000000000","37.9165324102","10.3962965911","27.5202358192","-8.3828043481","46.6038933797","-54.9866273740","-57.1630301547","2.1764027808","1.7268411919","44.4343269639","0.4427252239","-4.6228803177","5.0656055416","0.1123090182","0.3864170516","1.2281151221","0.0000000000","0.0000000000"
"2","674","-101.8469732250","0.0736691290","0.1934337841","0.2897017750","38.2062341852","10.5837444328","27.6224897523","-8.1953565063","47.2880609687","-55.4834174751","-57.6321394731","2.1487219980","1.8327069493","44.9076915909","0.5476624285","-5.1417643731","5.6894268017","0.1329947948","0.4307310672","1.2689810873","0.0000000000","0.0000000000"
"3","691","-101.8753261988","0.0716097232","0.2650435073","0.3066047387","38.2231371489","10.6006108003","27.6225263486","-8.1784901388","47.2882176681","-55.4667078069","-57.5996869366","2.1329791297","1.8326094568","44.9078393921","0.5477688191","-5.1418742973","5.6896431163","0.1330042941","0.4306841177","1.2689210450","0.0000000000","0.0000000000"
"4","130","-102.1370068881","0.0551220697","0.3201655770","0.4626088047","38.3791412149","10.7609097264","27.6182314885","-8.0181912128","47.3746462134","-55.3928374261","-57.5444582176","2.1516207915","2.0320981021","44.8429769077","0.4995712036","-5.2181309527","5.7177021563","0.1352514514","0.5142162377","1.3826304130","0.0000000000","0.0000000000"
"5","654","-102.2494794769","0.0492582855","0.3694238625","0.5296606808","38.4461930910","10.8280983438","27.6180947472","-7.9510025953","47.3745961717","-55.3255987671","-57.4915496255","2.1659508584","2.0322674732","44.8428590879","0.4994696106","-5.2180364375","5.7175060481","0.1352269368","0.5142899152","1.3827506212","0.0000000000","0.0000000000"
"6","353","-102.3781827407","0.0433096001","0.4127334626","0.6063886675","38.5229210778","10.8926659417","27.6302551360","-7.8864349974","47.2641489127","-55.1505839101","-57.3129356602","2.1623517501","2.2338174551","44.4505202758","0.5798111818","-5.2343028440","5.8141140258","0.1477470034","0.6296840120","1.4563864397","0.0000000000","0.0000000000"
"7","310","-102.4351488111","0.0409113795","0.4536448421","0.6403496702","38.5568820805","10.9266102462","27.6302718343","-7.8524906930","47.2641125492","-55.1166032421","-57.2820740312","2.1654707890","2.2338741658","44.4505150303","0.5797233531","-5.2341505450","5.8138738981","0.1477537771","0.6296695778","1.4564508109","0.0000000000","0.0000000000"
"8","132","-102.5822817439","0.0353138529","0.4889586950","0.7280647241","38.6445971343","11.0254069730","27.6191901613","-7.7536939661","47.5618393150","-55.3155332811","-57.4720183216","2.1564850405","2.2732362152","44.7226373904","0.5659657094","-5.2658863833","5.8318520926","0.1506909012","0.6565344906","1.4660108234","0.0000000000","0.0000000000"
"9","549","-102.5971233736","0.0347936079","0.5237523029","0.7369127388","38.6534451490","11.0344429066","27.6190022424","-7.7446580326","47.5618365967","-55.3064946293","-57.4507266194","2.1442319901","2.2733451921","44.7226150095","0.5658763951","-5.2659171662","5.8317935613","0.1506553263","0.6565452195","1.4661446464","0.0000000000","0.0000000000"
"10","860","-102.8392633456","0.0273111138","0.5510634167","0.8812673729","38.7977997831","11.0635210311","27.7342787521","-7.7155799081","47.9552984187","-55.6708783267","-57.7910924479","2.1202141212","2.3397280087","44.9389719522","0.6765984578","-5.7633177325","6.4399161903","0.1682147659","0.6727198985","1.4987933444","0.0000000000","0.0000000000"
"11","295","-102.9047619927","0.0255795977","0.5766430144","0.9203151731","38.8368475833","11.1084638291","27.7283837542","-7.6706371101","48.0831454952","-55.7537826053","-57.8938733084","2.1400907031","2.3383333009","45.0688193557","0.6759928386","-5.7726078370","6.4486006756","0.1697275241","0.6706227647","1.4979830121","0.0000000000","0.0000000000"
"12","875","-102.9434107115","0.0246098397","0.6012528541","0.9433560681","38.8598884783","11.1278412743","27.7320472040","-7.6512596649","48.1133945045","-55.7646541693","-57.8616076211","2.0969534517","2.3719127880","45.0908963163","0.6505854002","-5.7967979898","6.4473833900","0.1724432906","0.6751440193","1.5243254781","0.0000000000","0.0000000000"
"13","906","-102.9589384197","0.0242306568","0.6254835110","0.9526130966","38.8691455069","11.1348354161","27.7343100907","-7.6442655230","47.9552108216","-55.5994763446","-57.7388729101","2.1393965654","2.3398516239","44.9389602920","0.6763989056","-5.7631358912","6.4395347969","0.1682211835","0.6727944518","1.4988359887","0.0000000000","0.0000000000"
"14","905","-102.9602113621","0.0241998322","0.6496833432","0.9533719764","38.8699043866","11.0666270724","27.8032773143","-7.7124738668","48.0513500794","-55.7638239462","-57.8576825699","2.0938586237","2.1215118264","45.4275915254","0.5022467276","-5.9406137494","6.4428604770","0.1601048476","0.6287915481","1.3326154308","0.0000000000","0.0000000000"
"15","560","-102.9611959960","0.0241760160","0.6738593592","0.9539589777","38.8704913879","11.0671877639","27.8033036240","-7.7119131753","48.0517500370","-55.7636632122","-57.8666215221","2.1029583099","2.1214527198","45.4279061529","0.5023911643","-5.9409872327","6.4433783970","0.1600800965","0.6288528121","1.3325198112","0.0000000000","0.0000000000"
"16","727","-102.9725581074","0.0239028800","0.6977622393","0.9607326360","38.8772650462","11.1488067963","27.7284582499","-7.6302941428","48.0831007853","-55.7133949281","-57.8432309123","2.1298359841","2.3383621688","45.0688213991","0.6759172174","-5.7725845835","6.4485018009","0.1697305261","0.6705934148","1.4980382278","0.0000000000","0.0000000000"
"17","869","-103.0335646646","0.0224882376","0.7202504768","0.9971024231","38.9136348334","11.1817975249","27.7318373085","-7.5973034143","48.1131877753","-55.7104911896","-57.8298294904","2.1193383008","2.3719420985","45.0906505223","0.6505951545","-5.7968178555","6.4474130100","0.1724255137","0.6751402891","1.5243762957","0.0000000000","0.0000000000"
"18","521","-103.1615367600","0.0197869040","0.7400373808","1.0733945151","38.9899269253","11.2901167688","27.6998101566","-7.4889841704","48.0410729237","-55.5284052542","-57.6765370649","2.1481318108","2.4054348591","44.9310495209","0.7045885437","-5.7554123875","6.4600009312","0.1776735421","0.7238775289","1.5038837880","0.0000000000","0.0000000000"
"19","558","-103.1733484428","0.0195545622","0.7595919430","1.0804361908","38.9969686010","11.2971653912","27.6998032099","-7.4819355480","48.0410249800","-55.5229605280","-57.6543246660","2.1313641380","2.4054247844","44.9310572258","0.7045429698","-5.7554162323","6.4599592020","0.1776607625","0.7239055793","1.5038584426","0.0000000000","0.0000000000"
"20","122","-103.2195628304","0.0186714241","0.7782633671","1.1079874495","39.0245198598","11.2872143451","27.7373055146","-7.4918865940","47.9602235619","-55.4521101559","-57.5731422842","2.1210321283","2.5229505244","44.8240878908","0.6131851466","-5.8444869056","6.4576720522","0.1710717571","0.7282881164","1.6235906510","0.0000000000","0.0000000000"
"21","722","-103.2239845602","0.0185890464","0.7968524135","1.1106235165","39.0271559267","11.2900295578","27.7371263689","-7.4890713814","47.9602248251","-55.4492962065","-57.5784417903","2.1291455838","2.5229688176","44.8240399125","0.6132160950","-5.8445126082","6.4577287032","0.1710570110","0.7282560183","1.6236557883","0.0000000000","0.0000000000"
"22","372","-103.3021218235","0.0171918467","0.8140442601","1.1572059786","39.0737383888","11.3689666919","27.7047716969","-7.4101342473","48.0473328457","-55.4574670930","-57.5958007100","2.1383336169","2.5829473466","44.7909408873","0.6734446119","-5.7885961055","6.4620407174","0.1766990715","0.7870360944","1.6192121807","0.0000000000","0.0000000000"
"23","500","-103.3025625199","0.0171842719","0.8312285321","1.1574687050","39.0740011152","11.2215265773","27.8524745379","-7.5575743618","48.2305967228","-55.7881710846","-57.9038331069","2.1156620223","2.4956418707","45.2565735305","0.4783813216","-6.1608392803","6.6392206019","0.1796599159","0.8907442770","1.4252376778","0.0000000000","0.0000000000"
"24","658","-103.3391213287","0.0165673805","0.8477959126","1.1792636751","39.0957960854","11.2433307224","27.8524653629","-7.5357702167","48.2306767092","-55.7664469259","-57.8877031249","2.1212561990","2.4955722739","45.2566333228","0.4784711125","-6.1609660022","6.6394371147","0.1796472804","0.8906824201","1.4252425734","0.0000000000","0.0000000000"
"25","703","-103.3472838813","0.0164326988","0.8642286115","1.1841298783","39.1006622885","11.3959335786","27.7047287099","-7.3831673605","48.0473561620","-55.4305235225","-57.5467440359","2.1162205134","2.5830545300","44.7909213078","0.6733803242","-5.7885508323","6.4619311566","0.1766829544","0.7870056534","1.6193659221","0.0000000000","0.0000000000"
