" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.0787193596"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","154","-38.6177008586","0.4078661638","0.4078661638","0.0000000000","2.7059679914","-20.1807114740","22.8866794654","-36.2770837076","22.0799832668","-58.3564416139","-60.2885893941","1.9321477802","1.8844921887","19.5587685681","0.6367225099","-4.4823372749","5.1190597848","0.1360388250","0.8669128755","0.8815404882","0.0000000000","0.0000000000"
"2","308","-39.4160508302","0.1835687247","0.5914348885","0.4759458636","3.1819138550","-19.7206123652","22.9025262201","-35.8169845988","22.4945090209","-58.3114936197","-60.2593113594","1.9478177397","2.4191838800","19.3035262624","0.7717988785","-4.6349309248","5.4067298033","0.1488147207","1.1416841468","1.1286850125","0.0000000000","0.0000000000"
"3","61","-39.5607682781","0.1588359123","0.7502708007","0.5622208973","3.2681888887","-19.7611441788","23.0293330675","-35.8575164124","22.6248592762","-58.4823756886","-60.4011770370","1.9188013484","2.4042604019","19.4638611174","0.7567377570","-5.0737761089","5.8305138659","0.1719593283","1.2073904808","1.0249105927","0.0000000000","0.0000000000"
"4","104","-39.7217795693","0.1352142260","0.8854850267","0.6582097001","3.3641776915","-19.7110992633","23.0752769548","-35.8074714969","22.3694569787","-58.1769284756","-60.0999818986","1.9230534230","2.1675726723","19.6360285216","0.5658557848","-5.2627545752","5.8286103600","0.1624188072","1.0661174746","0.9390363905","0.0000000000","0.0000000000"
"5","303","-39.9911064208","0.1032892731","0.9887742998","0.8187721169","3.5247401083","-19.6357936762","23.1605337845","-35.7321659098","22.7999006322","-58.5320665420","-60.4369875036","1.9049209616","2.6623922225","19.4845274291","0.6529809806","-5.4594593974","6.1124403780","0.1743863335","1.3785872752","1.1094186138","0.0000000000","0.0000000000"
"6","306","-43.2563134021","0.0039445171","0.9927188169","2.7653642277","5.4713322191","-17.4333401864","22.9046724055","-33.5297124200","24.3372272848","-57.8669397048","-59.7683648768","1.9014251720","3.5933540674","20.0669670559","0.6769061615","-5.4659557534","6.1428619149","0.1914852849","1.5570163055","1.8448524769","0.0000000000","0.0000000000"
"7","273","-44.0268992258","0.0018252934","0.9945441103","3.2247581631","5.9307261545","-17.0872072407","23.0179333952","-33.1835794743","25.2557606345","-58.4393401088","-60.3370642805","1.8977241717","4.9629449472","19.5107438746","0.7820718127","-5.4290915438","6.2111633565","0.1739491834","1.3759328835","3.4130628803","0.0000000000","0.0000000000"
"8","220","-44.0559138258","0.0017730941","0.9963172044","3.2420555632","5.9480235546","-17.1853176216","23.1333411762","-33.2816898552","25.2240701331","-58.5057599883","-60.4106724849","1.9049124967","4.9448736165","19.4666863913","0.8125101252","-5.4577048004","6.2702149256","0.1997364369","1.6752051406","3.0699320390","0.0000000000","0.0000000000"
"9","283","-44.1424684828","0.0016260788","0.9979432832","3.2936561550","5.9996241464","-17.1799335114","23.1795576578","-33.2763057450","25.3673315775","-58.6436373225","-60.5166182938","1.8729809713","4.9422960092","19.6606915184","0.7643440499","-5.8715878971","6.6359319470","0.2301721452","1.8574282975","2.8546955665","0.0000000000","0.0000000000"
"10","250","-44.1911263591","0.0015488513","0.9994921346","3.3226641286","6.0286321200","-17.4156367832","23.4442689033","-33.5120090168","24.5517400785","-58.0637490954","-59.9329218048","1.8691727094","3.7262894675","20.2190425784","0.6064080326","-6.3951464364","7.0015544690","0.2413008322","2.0982820155","1.3867066198","0.0000000000","0.0000000000"
"11","231","-45.3061787515","0.0005078654","1.0000000000","3.9874159200","6.6933839114","-16.6506318233","23.3440157347","-32.7470040569","25.5218172816","-58.2688213385","-60.1533710315","1.8845496930","4.9304209860","19.8287274021","0.7626688936","-6.2005249240","6.9631938176","0.2466267796","2.3318801598","2.3519140466","0.0000000000","0.0000000000"
