" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","301.8428016021"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","22093","-1264.7905084161","0.0507323942","0.0507323942","0.0000000000","574.0727677903","367.0445357806","207.0282320097","230.2253717953","301.7013493208","-71.4759775256","-77.6413815374","6.1654040119","147.1052910347","183.4038204485","-28.8077621624","-180.7855326291","151.9777704667","4.2882781042","9.2304120076","133.5866009230","0.0000000000","0.0000000000"
"2","10654","-1265.4468635111","0.0263168535","0.0770492476","0.3912939233","574.4640617136","367.6047452820","206.8593164316","230.7855812967","303.8498623337","-73.0642810370","-79.2739762828","6.2096952457","146.8897551010","185.7890611620","-28.8289539292","-180.7388796208","151.9099256916","4.3044794728","9.3581178159","133.2271578123","0.0000000000","0.0000000000"
"3","25599","-1265.7285946368","0.0198554479","0.0969046955","0.5592512961","574.6320190865","367.6676394438","206.9643796427","230.8484754584","303.8645131898","-73.0160377313","-79.1915685421","6.1755308108","146.8656833119","185.7743846012","-28.7755547233","-180.7426536303","151.9670989070","4.3042726355","9.3841858024","133.1772248740","0.0000000000","0.0000000000"
"4","25600","-1265.9989841138","0.0151513395","0.1120560351","0.7204472098","574.7932150002","367.6940195974","207.0991954028","230.8748556121","303.6708694168","-72.7960138047","-78.9621499476","6.1661361429","146.6884916321","185.7824254806","-28.8000476959","-180.8782113161","152.0781636202","4.2960865807","9.3907908409","133.0016142104","0.0000000000","0.0000000000"
"5","19282","-1266.0044747790","0.0150683766","0.1271244117","0.7237205354","574.7964883257","366.1366108686","208.6598774571","229.3174468833","297.0685842815","-67.7511373982","-73.8306519588","6.0795145606","147.6421536577","176.6666620625","-27.2402314387","-182.2035214386","154.9632899998","4.3069917665","9.5761940948","133.7589677963","0.0000000000","0.0000000000"
"6","16689","-1266.0207407466","0.0148252575","0.1419496692","0.7334176862","574.8061854765","367.7630395836","207.0431458929","230.9438755983","300.0616074165","-69.1177318183","-75.2331505899","6.1154187717","147.5069570340","181.5863268295","-29.0316764470","-180.7354416552","151.7037652082","4.2608835749","9.2905309726","133.9555424865","0.0000000000","0.0000000000"
"7","17074","-1266.0362624490","0.0145969209","0.1565465901","0.7426711343","574.8154389246","367.0573765220","207.7580624027","230.2382125367","301.6691202855","-71.4309077488","-77.6408540205","6.2099462717","147.0874875107","182.6251721686","-28.0435393938","-181.2018376250","153.1582982312","4.3353040361","9.9205108496","132.8316726250","0.0000000000","0.0000000000"
"8","22772","-1266.1053071537","0.0136230867","0.1701696768","0.7838329590","574.8566007494","367.8421096901","207.0144910592","231.0229457048","304.2997760665","-73.2768303617","-79.4681414496","6.1913110879","146.8141715942","186.2909893252","-28.8053848529","-180.7795463761","151.9741615232","4.3041452503","9.2253996663","133.2846266777","0.0000000000","0.0000000000"
"9","13476","-1266.2641048308","0.0116227947","0.1817924715","0.8785020894","574.9512698798","367.8912663309","207.0600035488","231.0721023456","306.3702197180","-75.2981173724","-81.5490114953","6.2508941229","147.0070088766","187.1438404548","-27.7806296134","-180.4528423053","152.6722126919","4.3174198743","9.8216393313","132.8679496710","0.0000000000","0.0000000000"
"10","10850","-1266.2727838562","0.0115223566","0.1933148282","0.8836761939","574.9564439843","368.8141185851","206.1423253992","231.9949545997","305.4283690626","-73.4334144629","-79.7528923603","6.3194778975","146.7993968011","185.1753348330","-26.5463625715","-177.7563327569","151.2099701854","4.3281095654","9.6345993438","132.8366878920","0.0000000000","0.0000000000"
