" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.0787193596"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","153","-38.6167025358","0.4083083642","0.4083083642","0.0000000000","2.7053728294","-20.1812427816","22.8866156110","-36.2776150152","22.0799417162","-58.3563742431","-60.2885220233","1.9321477802","1.8844985620","19.5588116873","0.6366314668","-4.4822704773","5.1189019442","0.1360245812","0.8668613830","0.8816125978","0.0000000000","0.0000000000"
"2","300","-39.4161303887","0.1835697732","0.5918781375","0.4765884553","3.1819612847","-19.7205873200","22.9025486047","-35.8169595535","22.4945233850","-58.3114829385","-60.2593006782","1.9478177397","2.4191589190","19.3035506064","0.7718138596","-4.6349748983","5.4067887579","0.1488178049","1.1415941088","1.1287470053","0.0000000000","0.0000000000"
"3","278","-39.5622995957","0.1586063940","0.7504845315","0.5637289726","3.2691018019","-19.7603089866","23.0294107886","-35.8566812202","22.6249090950","-58.4815903152","-60.4003916636","1.9188013484","2.4042528947","19.4639328080","0.7567233923","-5.0737791539","5.8305025462","0.1719492580","1.2072653782","1.0250382585","0.0000000000","0.0000000000"
"4","151","-39.7230672371","0.1350517424","0.8855362739","0.6595725207","3.3649453501","-19.7104598883","23.0754052384","-35.8068321219","22.3695884810","-58.1764206029","-60.0994740259","1.9230534230","2.1674857085","19.6361203629","0.5659824096","-5.2630058625","5.8289882721","0.1624336185","1.0661026805","0.9389494096","0.0000000000","0.0000000000"
"5","111","-39.9914762406","0.1032598863","0.9887961603","0.8195877515","3.5249605809","-19.6357278653","23.1606884461","-35.7321000988","22.7999380849","-58.5320381837","-60.4369591454","1.9049209616","2.6623208954","19.4845901125","0.6530270770","-5.4595515488","6.1125786258","0.1743884976","1.3784714498","1.1094609481","0.0000000000","0.0000000000"
"6","121","-43.2595525171","0.0039320963","0.9927282566","2.7678904268","5.4732632562","-17.4318380980","22.9051013542","-33.5282103316","24.3372668469","-57.8654771785","-59.7669023506","1.9014251720","3.5934277880","20.0668504609","0.6769885980","-5.4661146110","6.1431032091","0.1915050674","1.5572653195","1.8446574011","0.0000000000","0.0000000000"
"7","238","-44.0257218593","0.0018275995","0.9945558561","3.2246514240","5.9300242534","-17.0881542138","23.0181784673","-33.1845264474","25.2557400398","-58.4402664872","-60.3379906590","1.8977241717","4.9628612804","19.5107452367","0.7821335228","-5.4292033494","6.2113368721","0.1739680664","1.3761540838","3.4127391302","0.0000000000","0.0000000000"
"8","248","-44.0557133231","0.0017736009","0.9963294570","3.2425311931","5.9479040225","-17.1853257162","23.1332297387","-33.2816979497","25.2240888690","-58.5057868187","-60.4106993153","1.9049124967","4.9448559190","19.4667558986","0.8124770514","-5.4577200458","6.2701970972","0.1997220330","1.6750644391","3.0700694468","0.0000000000","0.0000000000"
"9","35","-44.1498993237","0.0016141781","0.9979436351","3.2986813014","6.0040541308","-17.1755733482","23.1796274790","-33.2719455818","25.3673300636","-58.6392756454","-60.5122566167","1.8729809713","4.9425076611","19.6606512610","0.7641711415","-5.8714747547","6.6356458962","0.2301579027","1.8570223902","2.8553273683","0.0000000000","0.0000000000"
"10","266","-44.1916025828","0.0015482459","0.9994918810","3.3235431971","6.0289160265","-17.4150300853","23.4439461118","-33.5114023189","24.5516816017","-58.0630839206","-59.9322566300","1.8691727094","3.7263870956","20.2190473453","0.6062471608","-6.3948001533","7.0010473141","0.2412966790","2.0983402136","1.3867502030","0.0000000000","0.0000000000"
"11","155","-45.3057648699","0.0005081190","1.0000000000","3.9877643416","6.6931371710","-16.6503029280","23.3434400989","-32.7466751615","25.5216287848","-58.2683039464","-60.1528536394","1.8845496930","4.9306050692","19.8285148566","0.7625088590","-6.2001442510","6.9626531100","0.2466235726","2.3323671323","2.3516143643","0.0000000000","0.0000000000"
