" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","38.4720902584"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","70","21.3431916053","0.5715565938","0.5715565938","0.0000000000","-35.6595941531","-45.5693954493","9.9098012962","-58.0887960754","6.2983673157","-64.3869202744","-66.3289775828","1.9420573084","6.2462418186","-0.4076768220","0.4598023191","-4.2072470962","4.6670494153","0.0719101172","2.2459279902","3.9278943824","0.0005093287","0.0000000000"
"2","87","19.9743140182","0.1453996151","0.7169562089","0.8160727105","-34.8435214426","-44.8668831493","10.0233617067","-57.3862837754","7.2630207410","-64.6493045164","-66.5440362014","1.8947316850","6.7339744315","-0.0687867548","0.5978330642","-4.8192480311","5.4170810954","0.1074492885","2.4689177683","4.1570245687","0.0005828060","0.0000000000"
"3","57","19.8828594355","0.1326920905","0.8496482994","0.8705944515","-34.7889997016","-44.8122757212","10.0232760196","-57.3316763473","7.2632501007","-64.5949264480","-66.5127300447","1.9178035967","6.7339034827","-0.0683248002","0.5976714182","-4.8194433738","5.4171147920","0.1074499881","2.4691154479","4.1568317402","0.0005063065","0.0000000000"
"4","181","19.0031391144","0.0550538069","0.9047021063","1.3950502200","-34.2645439331","-44.4830159455","10.2184720124","-57.0024165716","8.2767500423","-65.2791666139","-67.1598559948","1.8806893809","6.5127351824","1.4293604604","0.3346543995","-5.0213210278","5.3559754274","0.0921643606","2.4174087370","4.0023355091","0.0008265757","0.0000000000"
"5","20","18.8550121484","0.0474740881","0.9521761944","1.4833578786","-34.1762362745","-44.3943692521","10.2181329776","-56.9137698782","8.2767424175","-65.1905122957","-67.0806426467","1.8901303510","6.5127599118","1.4293732392","0.3346092665","-5.0213106877","5.3559199542","0.0921867281","2.4174380048","4.0023092629","0.0008259161","0.0000000000"
"6","0","18.5067857173","0.0335138108","0.9856900052","1.6909572215","-33.9686369316","-44.3845757177","10.4159387860","-56.9039763438","7.3291563087","-64.2331326525","-66.1481540133","1.9150213608","6.7548482205","-0.4205747233","0.9948828116","-4.4951570613","5.4900398729","0.1055905075","2.7149967819","3.9342602816","0.0000006496","0.0000000000"
"7","67","16.9191503117","0.0068505039","0.9925405091","2.6374450162","-33.0221491369","-43.3745761480","10.3524270112","-55.8939767742","9.7188335328","-65.6128103069","-67.4632504463","1.8504401394","7.0019586852","2.4025405519","0.3143342957","-5.8609327817","6.1752670774","0.1340624080","2.7334053620","4.1327886317","0.0017022836","0.0000000000"
"8","192","16.8307135460","0.0062706840","0.9988111932","2.6901676496","-32.9694265035","-43.3216684119","10.3522419084","-55.8410690380","9.7186109710","-65.5596800090","-67.4140914579","1.8544114489","7.0020055618","2.4022763364","0.3143290727","-5.8607318757","6.1750609484","0.1340553597","2.7333670023","4.1328848972","0.0016983027","0.0000000000"
"9","153","14.4773520379","0.0005960230","0.9994072161","4.0931521990","-31.5664419541","-42.0868150301","10.5203730760","-54.6062156562","11.2583316913","-65.8645473475","-67.7135963689","1.8490490214","8.1685492565","2.7352736611","0.3545087737","-6.2451324553","6.5996412289","0.1490628985","3.1682371809","4.8398280162","0.0114211609","0.0000000000"
"10","86","14.4719026738","0.0005927839","1.0000000000","4.0964009025","-31.5631932506","-42.0834144450","10.5202211944","-54.6028150711","11.2582538514","-65.8610689225","-67.7019691399","1.8409002173","8.1686011201","2.7351518527","0.3545008786","-6.2451735871","6.5996744657","0.1490463525","3.1682826891","4.8398675643","0.0114045142","0.0000000000"
