" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.0787193596"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","213","-38.6174144372","0.4081087513","0.4081087513","0.0000000000","2.7057972379","-20.1808094796","22.8866067175","-36.2771817131","22.0800166272","-58.3565455602","-60.2886933404","1.9321477802","1.8844448368","19.5589061392","0.6366656512","-4.4823240864","5.1189897376","0.1360246543","0.8668220523","0.8815981303","0.0000000000","0.0000000000"
"2","258","-39.4163506445","0.1835702593","0.5916790106","0.4762953550","3.1820925928","-19.7206638092","22.9027564021","-35.8170360428","22.4945195913","-58.3115556341","-60.2593733737","1.9478177397","2.4190501526","19.3034830162","0.7719864226","-4.6351014566","5.4070878792","0.1488379243","1.1417902250","1.1284220033","0.0000000000","0.0000000000"
"3","278","-39.5622995294","0.1586417624","0.7503207730","0.5633045246","3.2691017624","-19.7603090261","23.0294107886","-35.8566812597","22.6249090950","-58.4815903547","-60.4003917031","1.9188013484","2.4042528947","19.4639328080","0.7567233923","-5.0737791539","5.8305025462","0.1719492580","1.2072653782","1.0250382585","0.0000000000","0.0000000000"
"4","242","-39.7223314316","0.1351812799","0.8855020529","0.6587094529","3.3645066908","-19.7108172859","23.0753239767","-35.8071895195","22.3695687888","-58.1767583083","-60.0998117313","1.9230534230","2.1675110982","19.6360788630","0.5659788277","-5.2630321126","5.8290109403","0.1624144545","1.0660522510","0.9390443927","0.0000000000","0.0000000000"
"5","181","-39.9913697986","0.1032939002","0.9887959531","0.8190998863","3.5248971242","-19.6357771454","23.1606742696","-35.7321493790","22.7998848718","-58.5320342508","-60.4369552125","1.9049209616","2.6622271635","19.4845382399","0.6531194684","-5.4595701573","6.1126896258","0.1743840716","1.3784647232","1.1093783688","0.0000000000","0.0000000000"
"6","121","-43.2595522445","0.0039329740","0.9927289271","2.7674658558","5.4732630936","-17.4318382606","22.9051013542","-33.5282104941","24.3372668469","-57.8654773410","-59.7669025131","1.9014251720","3.5934277880","20.0668504609","0.6769885980","-5.4661146110","6.1431032091","0.1915050674","1.5572653195","1.8446574011","0.0000000000","0.0000000000"
"7","102","-44.0266583849","0.0018262958","0.9945552228","3.2247853365","5.9305825744","-17.0873237866","23.0179063609","-33.1836960201","25.2557711351","-58.4394671553","-60.3371913270","1.8977241717","4.9629986267","19.5107658012","0.7820067072","-5.4290324073","6.2110391144","0.1739564555","1.3759035907","3.4131385805","0.0000000000","0.0000000000"
"8","229","-44.0557388368","0.0017739510","0.9963291739","3.2421219949","5.9479192328","-17.1853178988","23.1332371316","-33.2816901323","25.2240851294","-58.5057752618","-60.4106877584","1.9049124967","4.9448288894","19.4667584236","0.8124978164","-5.4577056889","6.2702035053","0.1997199611","1.6750552962","3.0700536321","0.0000000000","0.0000000000"
"9","35","-44.1498993237","0.0016145379","0.9979437118","3.2982568930","6.0040541308","-17.1755733482","23.1796274790","-33.2719455818","25.3673300636","-58.6392756454","-60.5122566167","1.8729809713","4.9425076611","19.6606512610","0.7641711415","-5.8714747547","6.6356458962","0.2301579027","1.8570223902","2.8553273683","0.0000000000","0.0000000000"
"10","266","-44.1919968191","0.0015479807","0.9994916925","3.3233538173","6.0291510551","-17.4151800211","23.4443310763","-33.5115522547","24.5517401367","-58.0632923914","-59.9324651008","1.8691727094","3.7264294493","20.2190353255","0.6062753618","-6.3950828987","7.0013582605","0.2413308472","2.0984876665","1.3866109357","0.0000000000","0.0000000000"
"11","138","-45.3056167695","0.0005083075","1.0000000000","3.9872516413","6.6930488792","-16.6505745928","23.3436234719","-32.7469468263","25.5216336976","-58.2685805240","-60.1531302170","1.8845496930","4.9306634716","19.8285864923","0.7623837337","-6.2001604994","6.9625442331","0.2466236771","2.3324163777","2.3516234169","0.0000000000","0.0000000000"
