" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","49.5158302966"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","348","-36.1599085650","0.2521823606","0.2521823606","0.0000000000","-7.9622921375","-32.3608278489","24.3985357114","-52.9284145918","5.6167811749","-58.5442524518","-61.0639737551","2.5197213033","7.5312599713","-2.8183178737","0.9038390774","-7.6404717888","8.5443108661","0.1150826374","2.2711037499","5.1442716508","0.0008019332","0.0000000000"
"2","1026","-37.5985965153","0.0598274466","0.3120098072","0.8576909917","-7.1046011459","-31.6123628431","24.5077616973","-52.1799495860","6.5753722277","-58.7553218137","-61.2933961102","2.5380742965","8.0503712851","-2.4899567403","1.0149576828","-8.3391795942","9.3541372770","0.1571514623","2.5134798425","5.3789719357","0.0007680446","0.0000000000"
"3","755","-37.6836835742","0.0549474608","0.3669572680","0.9084166573","-7.0538754802","-31.5617202088","24.5078447285","-52.1293069517","6.6299108528","-58.7592178044","-61.2800168076","2.5207990032","8.0318907963","-2.4407523234","1.0387723798","-8.2565247089","9.2952970887","0.1461843490","2.4982381560","5.3867861741","0.0006821173","0.0000000000"
"4","887","-37.6989427872","0.0541153704","0.4210726384","0.9175136193","-7.0447785183","-31.5440714756","24.4992929573","-52.1116582184","6.5834382699","-58.6950964883","-61.1953964976","2.5003000093","8.0683831608","-2.5156129187","1.0306680278","-8.3049689082","9.3356369359","0.1499105074","2.5217449867","5.3959681525","0.0007595141","0.0000000000"
"5","779","-37.7130339749","0.0533581680","0.4744308064","0.9259142490","-7.0363778886","-31.5419021386","24.5055242501","-52.1094888815","7.0439176856","-59.1534065671","-61.6645459382","2.5111393711","8.0643890919","-2.0273475918","1.0068761854","-8.3451456108","9.3520217963","0.1511503136","2.5180244989","5.3945518358","0.0006624436","0.0000000000"
"6","1030","-37.7418550996","0.0518422754","0.5262730819","0.9430963064","-7.0191958311","-31.5249575337","24.5057617026","-52.0925442766","7.0438541838","-59.1363984604","-61.6305832299","2.4941847695","8.0644392012","-2.0274279949","1.0068429775","-8.3450020831","9.3518450606","0.1511463194","2.5179519355","5.3946792044","0.0006617419","0.0000000000"
"7","1000","-37.7525288894","0.0512918646","0.5775649465","0.9494596136","-7.0128325239","-31.5206860657","24.5078535418","-52.0882728086","6.6297055906","-58.7179783992","-61.2433911581","2.5254127589","8.0320416374","-2.4411207674","1.0387847207","-8.2564217872","9.2952065079","0.1461965984","2.4982279627","5.3868471547","0.0007699216","0.0000000000"
"8","863","-37.7530198806","0.0512666869","0.6288316334","0.9497523239","-7.0125398137","-31.5118638683","24.4993240546","-52.0794506112","6.5834617850","-58.6629123961","-61.1461474377","2.4832350416","8.0683138645","-2.5155669240","1.0307148445","-8.3049984912","9.3357133356","0.1498975549","2.5216147767","5.3960406803","0.0007608525","0.0000000000"
"9","195","-38.4766333849","0.0248641662","0.6536957996","1.3811431505","-6.5811489870","-31.2927024021","24.7115534151","-51.8602891450","7.8157198160","-59.6760089610","-62.1807248223","2.5047158612","7.7847850340","-0.7134754302","0.7444102122","-8.5143786902","9.2587889024","0.1363258521","2.4324957217","5.2156147460","0.0003487142","0.0000000000"
"10","54","-38.4873179917","0.0245999166","0.6782957162","1.3875129063","-6.5747792312","-31.2862610460","24.7114818148","-51.8538477889","7.8163825662","-59.6702303551","-62.1568098148","2.4865794597","7.7846975678","-0.7126435997","0.7443285981","-8.5146386893","9.2589672874","0.1363354472","2.4325705712","5.2153782664","0.0004132830","0.0000000000"
