" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.0787193596"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","211","-38.6176508654","0.4079184450","0.4079184450","0.0000000000","2.7059381874","-20.1806516848","22.8865898721","-36.2770239183","22.0799583171","-58.3563014220","-60.2884492022","1.9321477802","1.8844959826","19.5588476508","0.6366146837","-4.4822828206","5.1188975043","0.1360287214","0.8667999231","0.8816673381","0.0000000000","0.0000000000"
"2","304","-39.4160274759","0.1835873643","0.5915058093","0.4759617447","3.1818999320","-19.7206146172","22.9025145492","-35.8169868507","22.4945327041","-58.3115195548","-60.2593372945","1.9478177397","2.4191960194","19.3035501919","0.7717864928","-4.6349072054","5.4066936982","0.1488292291","1.1416924950","1.1286742953","0.0000000000","0.0000000000"
"3","1","-39.5640759238","0.1583237847","0.7498295939","0.5642225938","3.2701607811","-19.7592962635","23.0294570446","-35.8556684971","22.6248471207","-58.4805156178","-60.4006565207","1.9201409029","2.4043308407","19.4638644629","0.7566518171","-5.0737648475","5.8304166646","0.1719574689","1.2074099189","1.0249634529","0.0000000000","0.0000000000"
"4","280","-39.7185459061","0.1356627768","0.8854923707","0.6563117172","3.3622499046","-19.7132762025","23.0755261071","-35.8096484361","22.3696345159","-58.1792829521","-60.1023363750","1.9230534230","2.1675312262","19.6360960026","0.5660072871","-5.2632017684","5.8292090555","0.1624400545","1.0661160229","0.9389751489","0.0000000000","0.0000000000"
"5","85","-39.9911749593","0.1032902690","0.9887826397","0.8188427810","3.5247809684","-19.6358675920","23.1606485604","-35.7322398256","22.7998966169","-58.5321364424","-60.4370574041","1.9049209616","2.6624100316","19.4844839253","0.6530026600","-5.4594328908","6.1124355508","0.1743861050","1.3786910674","1.1093328592","0.0000000000","0.0000000000"
"6","305","-43.2578517181","0.0039387618","0.9927214016","2.7663111172","5.4722493046","-17.4332875227","22.9055368273","-33.5296597563","24.3373322008","-57.8669919571","-59.7684171291","1.9014251720","3.5932440340","20.0669442583","0.6771439085","-5.4663142052","6.1434581137","0.1914816593","1.5570915528","1.8446708218","0.0000000000","0.0000000000"
"7","53","-44.0266108027","0.0018259626","0.9945473642","3.2246160203","5.9305542077","-17.0876011338","23.0181553414","-33.1839733673","25.2557447143","-58.4397180817","-60.3374422534","1.8977241717","4.9628891863","19.5107259690","0.7821295591","-5.4292017625","6.2113313216","0.1739786730","1.3760321003","3.4128784129","0.0000000000","0.0000000000"
"8","230","-44.0556680582","0.0017736686","0.9963210328","3.2419388499","5.9478770373","-17.1854037954","23.1332808327","-33.2817760290","25.2240991558","-58.5058751848","-60.4107876814","1.9049124967","4.9449289272","19.4667402361","0.8124299925","-5.4576717027","6.2701016952","0.1997068967","1.6748861246","3.0703359059","0.0000000000","0.0000000000"
"9","35","-44.1498993237","0.0016141666","0.9979351995","3.2981159435","6.0040541308","-17.1755733482","23.1796274790","-33.2719455818","25.3673300636","-58.6392756454","-60.5122566167","1.8729809713","4.9425076611","19.6606512610","0.7641711415","-5.8714747547","6.6356458962","0.2301579027","1.8570223902","2.8553273683","0.0000000000","0.0000000000"
"10","266","-44.1868162554","0.0015556631","0.9994908625","3.3201244129","6.0260626003","-17.4184547732","23.4445173735","-33.5148270068","24.5517173015","-58.0665443084","-59.9357170178","1.8691727094","3.7263315141","20.2190275952","0.6063581923","-6.3952290915","7.0015872838","0.2412742888","2.0982107708","1.3868464545","0.0000000000","0.0000000000"
"11","267","-45.3037553860","0.0005091375","1.0000000000","3.9860010058","6.6919391932","-16.6519908044","23.3439299976","-32.7483630380","25.5217250522","-58.2700880902","-60.1546377832","1.8845496930","4.9305817040","19.8286596524","0.7624836958","-6.2003778147","6.9628615104","0.2466110974","2.3320993570","2.3518712496","0.0000000000","0.0000000000"
