" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.3688994677"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","1872","-149.4939716812","0.0461531600","0.0461531600","0.0000000000","62.0754044887","29.2908487131","32.7845557756","8.7232619702","10.9050833256","-2.1818268007","-4.2955479878","2.1137211871","16.3775877388","-8.4482067185","2.9757023053","-12.5698989271","15.5456012324","0.4389525036","5.0493883457","10.8892468894","0.0000000000","0.0000000000"
"2","252","-149.5539415586","0.0434667185","0.0896198785","0.0357517581","62.1111562468","29.3039590539","32.8071971929","8.7363723110","10.8648439178","-2.1284716068","-4.2467562452","2.1182846384","16.3869939968","-8.4788020257","2.9566519467","-12.5768859641","15.5335379109","0.4414735374","5.0294908952","10.9160295642","0.0000000000","0.0000000000"
"3","1283","-149.5787887636","0.0423999994","0.1320198779","0.0505647159","62.1259692046","29.3415218278","32.7844473769","8.7739350849","10.9050873283","-2.1311522434","-4.2809104318","2.1497581884","16.3775028536","-8.4482139048","2.9757983796","-12.5699243974","15.5457227770","0.4389731219","5.0493332341","10.8891964976","0.0000000000","0.0000000000"
"4","1289","-149.5794712606","0.0423710714","0.1743909493","0.0509715947","62.1263760834","29.3192108932","32.8071651902","8.7516241503","10.8648475313","-2.1132233810","-4.2649827995","2.1517594185","16.3869491513","-8.4787988485","2.9566972285","-12.5768993874","15.5335966160","0.4414680299","5.0298334132","10.9156477082","0.0000000000","0.0000000000"
"5","1358","-149.6950248585","0.0377472360","0.2121381852","0.1198602511","62.1952647398","29.4075621305","32.7877026093","8.8399753876","10.3037559888","-1.4637806012","-3.5869706460","2.1231900448","17.1989138665","-9.3758764124","2.4807185346","-13.0592483146","15.5399668492","0.4290099027","5.5935128945","11.1763910693","0.0000000000","0.0000000000"
"6","1238","-149.7357958326","0.0362391954","0.2483773806","0.1441663539","62.2195708426","29.4319772279","32.7875936147","8.8643904850","10.3037693310","-1.4393788460","-3.5530507770","2.1136719311","17.1986416813","-9.3757564391","2.4808840888","-13.0592662481","15.5401503370","0.4289875376","5.5934478332","11.1762063104","0.0000000000","0.0000000000"
"7","1319","-149.7599056468","0.0353759236","0.2837533042","0.1585397074","62.2339441961","29.4677847241","32.7661594720","8.9001979812","10.9348269706","-2.0346289894","-4.1701617195","2.1355327301","16.7573463009","-8.7305869543","2.9080676240","-12.5973067492","15.5053743732","0.4337262836","5.0696006881","11.2540193293","0.0000000000","0.0000000000"
"8","1088","-149.7848780512","0.0345034411","0.3182567453","0.1734273043","62.2488317930","29.4822641887","32.7665676044","8.9146774458","10.9348049848","-2.0201275390","-4.1350443875","2.1149168484","16.7572284459","-8.7306169836","2.9081935225","-12.5973532644","15.5055467870","0.4336956630","5.0694231318","11.2541096511","0.0000000000","0.0000000000"
"9","1973","-149.8367739926","0.0327585212","0.3510152666","0.2043656891","62.2797701779","29.5439286750","32.7358415029","8.9763419321","10.5412943865","-1.5649524544","-3.7024175027","2.1374650484","17.2021892250","-9.3268291916","2.6659343530","-12.8157090647","15.4816434178","0.4282209385","5.3572209728","11.4167473138","0.0000000000","0.0000000000"
"10","1940","-149.8858699570","0.0311890526","0.3822043192","0.2336348343","62.3090393230","29.5732360547","32.7358032683","9.0056493118","10.5412912085","-1.5356418967","-3.6590919634","2.1234500667","17.2020140731","-9.3268409487","2.6661180841","-12.8157708598","15.4818889439","0.4282043679","5.3569507405","11.4168589646","0.0000000000","0.0000000000"
