" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.8345836172"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","394","-17.3220607819","0.3250435495","0.3250435495","0.0000000000","-16.9980807731","-36.5657883846","19.5677076115","-54.4506464219","5.7790577482","-60.2295870882","-62.5571184990","2.3275314108","7.1010745892","-2.0792556677","0.7572388267","-6.4960825504","7.2533213771","0.1001049094","2.2618293164","4.7385050318","0.0006353316","0.0000000000"
"2","231","-18.6779703018","0.0837678810","0.4088114305","0.8083416425","-16.1897391306","-35.8670454093","19.6773062786","-53.7519034466","6.7821612885","-60.5340647350","-62.8468917001","2.3128269651","7.6211996445","-1.7109224094","0.8718840533","-7.1883167058","8.0602007591","0.1420480026","2.5042832907","4.9741757753","0.0006925759","0.0000000000"
"3","110","-18.7865323107","0.0751501148","0.4839615453","0.8730621797","-16.1250185934","-35.8024950771","19.6774764837","-53.6873531144","6.7820341975","-60.4693873119","-62.7890823292","2.3196950173","7.6212048832","-1.7112831686","0.8721124828","-7.1881547872","8.0602672701","0.1420450711","2.5040153476","4.9743634253","0.0007810392","0.0000000000"
"4","132","-18.7943873516","0.0745621199","0.5585236652","0.8777450561","-16.1203357170","-35.7938082431","19.6734725261","-53.6786662804","7.0263783546","-60.7050446349","-63.0088564845","2.3038118495","7.6376197950","-1.4880344943","0.8767930538","-7.1653297527","8.0421228066","0.1342686903","2.5129656361","4.9898552329","0.0005302358","0.0000000000"
"5","494","-18.8489290328","0.0706042910","0.6291279561","0.9102607303","-16.0878200429","-35.7614289955","19.6736089526","-53.6462870328","7.0260557885","-60.6723428212","-62.9646728628","2.2923300415","7.6376510054","-1.4885896625","0.8769944456","-7.1652412729","8.0422357185","0.1342887455","2.5129058127","4.9898498627","0.0006065846","0.0000000000"
"6","422","-18.9351777224","0.0647699805","0.6938979366","0.9616789159","-16.0364018572","-35.7137070162","19.6773051590","-53.5985650535","6.7513645425","-60.3499295960","-62.6594276978","2.3094981018","7.6018489348","-1.7439594544","0.8934750620","-7.1104481658","8.0039232278","0.1307795028","2.4889765702","4.9814973645","0.0005954973","0.0000000000"
"7","421","-18.9913103523","0.0612344293","0.7551323659","0.9951430531","-16.0029377200","-35.6799721782","19.6770344582","-53.5648302155","6.7513732522","-60.3162034677","-62.6375030616","2.3212995939","7.6019162324","-1.7439528828","0.8934099026","-7.1103887335","8.0037986361","0.1307510688","2.4889627403","4.9816069291","0.0005954942","0.0000000000"
"8","134","-19.7431566662","0.0288717407","0.7840041066","1.4433652061","-15.5547155670","-35.4347556713","19.8800401043","-53.3196137086","7.9374191544","-61.2570328630","-63.5608634004","2.3038305373","7.3576741856","-0.0207029116","0.6004478805","-7.3632842602","7.9637321406","0.1212806191","2.4251687578","4.8107046960","0.0005201127","0.0000000000"
"9","135","-19.7929573500","0.0274691238","0.8114732305","1.4730544781","-15.5250262950","-35.4048315322","19.8798052372","-53.2896895695","7.9367469966","-61.2264365661","-63.5238280388","2.2973914727","7.3576472487","-0.0214829947","0.6005827427","-7.3631029195","7.9636856622","0.1212639330","2.4250385951","4.8108985725","0.0004461482","0.0000000000"
"10","297","-20.3025929127","0.0165010999","0.8279743304","1.7768798011","-15.2212009720","-35.0312167394","19.8100157674","-52.9160747767","7.5999217166","-60.5159964933","-62.7995259406","2.2835294473","8.0936631870","-1.4725436902","0.9788022198","-7.8270872323","8.8058894522","0.1730757413","2.6872819776","5.2326514112","0.0006540569","0.0000000000"
"11","0","-20.3542742520","0.0156699631","0.8436442935","1.8076902484","-15.1903905248","-35.2744646016","20.0840740768","-53.1593226389","6.7627311739","-59.9220538128","-62.2559232660","2.3338694532","7.6000740177","-2.1392258866","1.3018830428","-6.7863163148","8.0881993576","0.1338251353","2.7201689618","4.7460792117","0.0000007089","0.0000000000"
"12","535","-20.3557200681","0.0156473236","0.8592916171","1.8085521889","-15.1895285843","-34.9248390620","19.7353104778","-52.8096970993","7.6893810477","-60.4990781470","-62.7670441108","2.2679659637","8.1967158494","-1.5606685258","1.0533337242","-7.7370692647","8.7904029889","0.1808510229","2.7800183224","5.2351971388","0.0006493653","0.0000000000"
"13","89","-20.3582782631","0.0156073458","0.8748989629","1.8100772874","-15.1880034858","-34.9978427572","19.8098392714","-52.8827007945","7.5999186693","-60.4826194638","-62.7687218290","2.2861023653","8.0937045422","-1.4725893208","0.9788034479","-7.8270386932","8.8058421411","0.1730637999","2.6872363542","5.2327507382","0.0006536500","0.0000000000"
