" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","302.5785328349"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","641","-1142.6521962610","0.4720520823","0.4720520823","0.0000000000","500.8199403750","312.4382924733","188.3816479017","183.6673146047","258.0848602284","-74.4175456237","-80.4358050410","6.0182594174","154.8696755848","129.2469108804","-26.0317262369","-190.2119489818","164.1802227450","5.2075674832","15.5521443972","134.0582999720","0.0516637325","0.0000000000"
"2","24","-1144.0219495320","0.1199813186","0.5920334009","0.8165947599","501.6365351349","311.9796584408","189.6568766941","183.2086805722","260.8844645634","-77.6761687551","-83.6792419082","6.0030731531","152.8355913236","133.3556230715","-25.3067498317","-189.5322985306","164.2255486989","5.2409063498","15.1521142187","132.4425271766","0.0000435786","0.0000000000"
"3","582","-1144.0838489171","0.1127797348","0.7048131357","0.8534968171","501.6734371921","314.2691090653","187.4043281267","185.4981311968","264.0688690934","-78.5707378966","-84.5684143674","5.9976764708","154.7189902326","135.8640275775","-26.5141487167","-186.2210013182","159.7068526015","4.8305329410","14.2262001513","135.6608174720","0.0014396682","0.0000000000"
"4","304","-1144.1895073747","0.1014715242","0.8062846599","0.9164863676","501.7364267426","316.7319484741","185.0044782685","187.9609706055","271.0804939568","-83.1195233512","-89.0385328991","5.9190095479","155.3334992062","144.4810247302","-28.7340299797","-185.2091019392","156.4750719596","4.6720195474","14.0483697610","136.6123668717","0.0007430261","0.0000000000"
"5","964","-1144.8954513604","0.0500906430","0.8563753029","1.3373432998","502.1572836748","312.2526316526","189.9046520223","183.4816537840","260.0487847085","-76.5671309245","-82.5624729641","5.9953420396","152.5847741473","132.7934288172","-25.3294182561","-189.4999237330","164.1705054770","5.2375436489","15.2289703957","132.1182271236","0.0000329792","0.0000000000"
"6","661","-1145.4011358525","0.0302092972","0.8865846001","1.6388131448","502.4587535199","314.7580568705","187.7006966493","185.9870790020","262.2610562819","-76.2739772800","-82.2651973991","5.9912201191","153.8681001777","135.1835560940","-26.7905999897","-185.5319588132","158.7413588236","4.8923328748","14.2352167676","134.6982585926","0.0422919427","0.0000000000"
"7","15","-1145.4759474597","0.0280317592","0.9146163593","1.6834129773","502.5033533524","315.9420017351","186.5613516173","187.1710238666","265.9119718533","-78.7470902162","-84.7601709943","6.0130807781","155.4926785610","137.2970237595","-26.8777304672","-185.7058989680","158.8281685008","4.7823040434","14.3501388320","136.3585505390","0.0016851465","0.0000000000"
"8","815","-1145.7498484440","0.0213155561","0.9359319155","1.8467023180","502.6666426930","314.5535881716","188.1130545214","185.7826103030","267.1260480082","-81.3434377051","-87.3708361652","6.0273984600","154.8432692193","139.4294381732","-27.1466593843","-186.8566095507","159.7099501663","4.9069083067","13.5924860404","136.3423968370","0.0014780352","0.0000000000"
"9","101","-1146.3590538131","0.0115910329","0.9475229483","2.2098873694","503.0298277445","313.3241695329","189.7056582116","184.5531916644","253.1304142403","-68.5772225759","-74.5546248518","5.9774022759","155.0119230567","123.1114572472","-24.9929660636","-189.3749998858","164.3820338222","5.2765401584","14.9724185140","134.7245866200","0.0383777643","0.0000000000"
"10","99","-1146.7265731548","0.0080262099","0.9555491583","2.4289884112","503.2489287862","313.6633258161","189.5856029701","184.8923479475","261.2807385059","-76.3883905584","-82.4333003735","6.0449098152","154.8246274583","131.8160803753","-25.3599693277","-189.6777442287","164.3177749010","5.3181205478","14.7960081167","134.7031842101","0.0073145838","0.0000000000"
