" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.4412127185"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","1163","-81.2118484449","0.1700182563","0.1700182563","0.0000000000","23.7097391340","-8.8428285145","32.5525676485","-30.3046581592","23.5172941425","-53.8190486957","-56.1648063357","2.3457576400","2.7366163652","19.8621197941","0.9185579832","-6.7933067143","7.7118646975","0.1709718383","0.8728862311","1.6927582959","0.0000000000","0.0000000000"
"2","618","-82.0064780401","0.0768054980","0.2468237542","0.4737279167","24.1834670508","-8.3829531689","32.5664202196","-29.8447828136","23.8174536290","-53.6622364426","-56.0204798690","2.3582434264","3.2768202475","19.4916595900","1.0489737914","-6.9491755496","7.9981493410","0.1831182628","1.1519836901","1.9417182945","0.0000000000","0.0000000000"
"3","1283","-82.0695468485","0.0721110591","0.3189348133","0.5113271395","24.2210662736","-8.4769996496","32.6980659232","-29.9388292944","24.0600214395","-53.9988507339","-56.3303904311","2.3315396973","3.2493296812","19.7809912526","1.0297005057","-7.4205287652","8.4502292709","0.2073530184","1.2048233898","1.8371532730","0.0000000000","0.0000000000"
"4","1268","-82.2088553578","0.0627337078","0.3816685211","0.5943775699","24.3041167040","-8.3606567798","32.6647734837","-29.8224864245","24.1482085575","-53.9706949820","-56.2817653688","2.3110703869","3.2421292363","19.8634169027","1.0426624185","-7.4219398707","8.4646022892","0.2055880242","1.1121550909","1.9243861212","0.0000000000","0.0000000000"
"5","1062","-82.2481603878","0.0603157871","0.4419843082","0.6178097327","24.3275488667","-8.3306893529","32.6582382196","-29.7925189976","24.2592570429","-54.0517760406","-56.3554774341","2.3037013936","3.2396696825","19.9706138532","1.0489735073","-7.4314588462","8.4804323535","0.2075372026","1.1101631203","1.9219693595","0.0000000000","0.0000000000"
"6","1286","-82.3762618689","0.0530636638","0.4950479720","0.6941789594","24.4039180935","-8.2643690173","32.6682871108","-29.7261986621","24.2756104478","-54.0018091099","-56.3156201845","2.3138110746","3.2688516770","20.0069945385","0.9997642322","-7.4834529366","8.4832171688","0.2108386811","1.1030728447","1.9549401513","0.0000000000","0.0000000000"
"7","743","-82.3805514828","0.0528365287","0.5478845007","0.6967362640","24.4064753980","-8.3385363265","32.7450117245","-29.8003659712","24.1487269115","-53.9490928827","-56.2546133206","2.3055204379","3.0380065386","20.3237751836","0.7869451893","-7.6857981805","8.4727433698","0.2008005211","1.0895737825","1.7476322349","0.0000000000","0.0000000000"
"8","1219","-82.5687243594","0.0437735567","0.5916580574","0.8089177701","24.5186569042","-8.1035409774","32.6221978815","-29.5653706221","24.2816282305","-53.8469988526","-56.2066126131","2.3596137605","3.3110123249","19.8873638707","1.0832520349","-7.4442829897","8.5275350246","0.2184805407","1.1670955569","1.9254362273","0.0000000000","0.0000000000"
"9","472","-82.7276967818","0.0373397142","0.6289977716","0.9036910770","24.6134302110","-8.2287891934","32.8422194044","-29.6906188382","24.3354945198","-54.0261133580","-56.3408663636","2.3147530056","3.5303762470","19.9445209614","0.8605973115","-7.9144158444","8.7750131559","0.2125870398","1.4152165703","1.9025726368","0.0000000000","0.0000000000"
"10","1289","-82.9564260484","0.0297053813","0.6587031529","1.0400507591","24.7497898931","-7.9309479721","32.6807378652","-29.3927776169","24.4422930136","-53.8350706304","-56.1296040808","2.2945334504","3.7809078794","19.4916943765","1.1696907577","-7.5828362023","8.7525269600","0.2179154174","1.3899989325","2.1729935295","0.0000000000","0.0000000000"
"11","1303","-83.1292713512","0.0249901792","0.6836933321","1.1430945492","24.8528336832","-7.8210732523","32.6739069356","-29.2829028971","24.4543404718","-53.7372433689","-56.0672611188","2.3300177499","3.7827849748","19.4908646009","1.1806908961","-7.5950397056","8.7757306017","0.2205594574","1.3916732684","2.1705522490","0.0000000000","0.0000000000"
"12","495","-83.1680303773","0.0240401149","0.7077334470","1.1662012052","24.8759403392","-7.9311453238","32.8070856630","-29.3929749686","24.7901907900","-54.1831657586","-56.4626066516","2.2794408930","3.7510624819","19.8940191428","1.1451091653","-8.0735620931","9.2186712584","0.2433898824","1.4399796372","2.0676929623","0.0000000000","0.0000000000"
"13","180","-83.1772072041","0.0238205121","0.7315539591","1.1716720800","24.8814112140","-7.8189398863","32.7003511004","-29.2807695311","24.6143849491","-53.8951544802","-56.2023422265","2.3071877463","3.7791118723","19.7170327155","1.1182403613","-7.6533850903","8.7716254516","0.2223162779","1.3511167970","2.2056787973","0.0000000000","0.0000000000"
"14","1358","-83.1784711145","0.0237904241","0.7553443832","1.1724255753","24.8821647093","-7.9261612791","32.8083259884","-29.3879909238","24.6900086926","-54.0779996164","-56.3720651658","2.2940655494","3.7550390024","19.7850771604","1.1498925297","-8.0767245291","9.2266170588","0.2441590083","1.4429169425","2.0679630516","0.0000000000","0.0000000000"
"15","1049","-83.2297432021","0.0226013822","0.7779457654","1.2029920422","24.9127311763","-7.6764104812","32.5891416574","-29.1382401259","24.9119370624","-54.0501771883","-56.3444177691","2.2942405808","3.9162320214","19.7682798641","1.2274251769","-7.5628049576","8.7902301345","0.2336094213","1.4806017381","2.2020208620","0.0000000000","0.0000000000"
"16","529","-83.3843516655","0.0193637469","0.7973095123","1.2951637228","25.0049028569","-7.8036966182","32.8085994751","-29.2655262630","24.7254312049","-53.9909574679","-56.2999493672","2.3089918993","3.7794389542","19.8042867178","1.1417055330","-8.1042861111","9.2459916441","0.2535946046","1.4367145623","2.0891297873","0.0000000000","0.0000000000"
"17","1335","-83.4013823718","0.0190367609","0.8163462732","1.3053167817","25.0150559157","-7.9596307231","32.9746866388","-29.4214603678","24.6919434032","-54.1134037710","-56.3971533414","2.2837495704","3.7267587309","19.9183345356","1.0468501366","-8.3927932361","9.4396433727","0.2589480884","1.5673492230","1.9004614196","0.0000000000","0.0000000000"
"18","441","-83.4043076037","0.0189811553","0.8353274285","1.3070606936","25.0167998276","-8.0028470755","33.0196469031","-29.4646767202","24.5837097860","-54.0483865062","-56.3366386501","2.2882521439","3.5080115240","20.4019007233","0.6737975387","-8.7493577314","9.4231552701","0.2456599020","1.4087981203","1.8535535017","0.0000000000","0.0000000000"
"19","1290","-83.4261732594","0.0185706245","0.8538980530","1.3200961652","25.0298352992","-7.7280998941","32.7579351933","-29.1899295389","24.9905497711","-54.1804793100","-56.4596136536","2.2791343436","3.8622290954","19.9564157449","1.1719049308","-8.0535730272","9.2254779580","0.2580188517","1.4986206169","2.1055896267","0.0000000000","0.0000000000"
"20","1326","-83.5644816288","0.0161718591","0.8700699121","1.4025503502","25.1122894843","-7.8829458521","32.9952353363","-29.3447754968","24.8515550119","-54.1963305088","-56.4691538797","2.2728233710","3.6793355545","20.2361087640","0.9361106934","-8.4647730927","9.4008837861","0.2510148139","1.4705095345","1.9578112062","0.0000000000","0.0000000000"
"21","183","-83.5761420512","0.0159843835","0.8860542956","1.4095018502","25.1192409842","-7.8475731272","32.9668141114","-29.3094027719","24.8637709711","-54.1731737430","-56.4453814600","2.2722077171","4.0045212493","19.9219371236","0.9373125981","-8.6190568844","9.5563694824","0.2477643388","1.6056796685","2.1510772421","0.0000000000","0.0000000000"
"22","1215","-83.5860928770","0.0158261145","0.9018804101","1.4154341537","25.1251732878","-7.7051945066","32.8303677944","-29.1670241514","24.8327510372","-53.9997751885","-56.2933323269","2.2935571384","3.5887883808","20.2702986482","0.9736640082","-8.2544233254","9.2280873336","0.2437785285","1.3773838073","1.9676260449","0.0000000000","0.0000000000"
"23","802","-83.6695347350","0.0145591481","0.9164395582","1.4651790133","25.1749181473","-7.6974846933","32.8724028406","-29.1593143381","24.8095537345","-53.9688680726","-56.2507466790","2.2818786064","3.5126336279","20.4225148543","0.8744052523","-8.3715605642","9.2459658165","0.2356091647","1.2867629297","1.9902615335","0.0000000000","0.0000000000"
"24","225","-83.8733069571","0.0118751420","0.9283147002","1.5866602554","25.2963993895","-7.7267437257","33.0231431152","-29.1885733705","25.0142048074","-54.2027781779","-56.4645292066","2.2617510287","4.1880728877","19.7738726193","1.0522593004","-8.6550125549","9.7072718553","0.2627851456","1.7144616010","2.2108261412","0.0000000000","0.0000000000"
"25","5","-83.9130026861","0.0114129831","0.9397276833","1.6103253380","25.3200644721","-7.6034578307","32.9235223028","-29.0652874755","25.0226084422","-54.0878959177","-56.3834979218","2.2956020041","4.0826636012","19.8926541973","1.0472906437","-8.4792157631","9.5265064068","0.2555103172","1.7155541814","2.1115991025","0.0000000000","0.0000000000"
"26","1349","-83.9885262979","0.0105827781","0.9503104614","1.6553496405","25.3650887746","-7.7747147273","33.1398035019","-29.2365443721","25.0912687205","-54.3278130926","-56.6214273254","2.2936142328","3.9817455215","20.3600230544","0.7495001446","-8.9706212646","9.7201214092","0.2559051416","1.6938188905","2.0320214895","0.0000000000","0.0000000000"
"27","859","-84.2214213290","0.0083840655","0.9586945268","1.7941927928","25.5039319268","-7.6469088981","33.1508408249","-29.1087385429","25.1001745283","-54.2089130711","-56.4383583064","2.2294452352","4.1846443211","19.8430499824","1.0724802248","-9.1249075429","10.1973877677","0.2941974209","1.8135609086","2.0768859916","0.0000000000","0.0000000000"
"28","1007","-84.3118617496","0.0076590849","0.9663536118","1.8481099289","25.5578490629","-7.3922531029","32.9501021658","-28.8540827476","25.3657625304","-54.2198452780","-56.4895168081","2.2696715301","4.3287123926","19.8408321296","1.1962180082","-8.5136410319","9.7098590400","0.2745705274","1.8956017218","2.1585401434","0.0000000000","0.0000000000"
"29","457","-84.3731430106","0.0072038187","0.9735574304","1.8846434840","25.5943826180","-7.7481508124","33.3425334305","-29.2099804572","24.9739008575","-54.1832469668","-56.4483068494","2.2650598826","3.9323069914","20.3953537629","0.6462401032","-9.6327349309","10.2789750341","0.2859444242","1.7180602412","1.9283023260","0.0000000000","0.0000000000"
"30","237","-84.7544098438","0.0049201766","0.9784776070","2.1119402569","25.8216793909","-7.2881749172","33.1098543081","-28.7500045619","25.5891751741","-54.3391797360","-56.5991691954","2.2599894594","4.2686183586","20.2162450214","1.1043117941","-9.0522832897","10.1565950838","0.2984694482","1.8912187044","2.0789302060","0.0000000000","0.0000000000"
"31","72","-84.9607507515","0.0040028376","0.9824804446","2.2349528516","25.9446919857","-7.5058193161","33.4505113018","-28.9676489609","25.5062487225","-54.4738976834","-56.6919754832","2.2180777998","4.4141215369","20.3631544686","0.7289727170","-9.8380667190","10.5670394360","0.2958234464","2.0060527495","2.1122453410","0.0000000000","0.0000000000"
"32","282","-85.7332255345","0.0018487851","0.9843292298","2.6954729126","26.4052120467","-5.9584510745","32.3636631212","-27.4202807193","26.4929291387","-53.9132098579","-56.2202688111","2.3070589531","4.7307672392","20.8258428822","0.9363190173","-7.6620417488","8.5983607660","0.2407181654","1.4324163650","3.0576327089","0.0000000000","0.0000000000"
"33","973","-86.1837271293","0.0011782463","0.9855074761","2.9640448150","26.6737839490","-5.4236136780","32.0973976270","-26.8854433228","27.0543835379","-53.9398268607","-56.2253753530","2.2855484923","5.1388551627","20.8849750968","1.0305532785","-8.3255729337","9.3561262122","0.2828654086","1.7087649559","3.1472247982","0.0000000000","0.0000000000"
"34","809","-86.2505929093","0.0011020382","0.9866095142","3.0039076477","26.7136467817","-5.8420282860","32.5556750677","-27.3038579307","26.5740971522","-53.8779550829","-56.1935552138","2.3156001309","4.5320222711","21.1359479895","0.9061268916","-7.8772754268","8.7834023184","0.2268478145","1.5910222457","2.7141522109","0.0000000000","0.0000000000"
"35","188","-86.5944524584","0.0007813765","0.9873908907","3.2089036217","26.9186427558","-5.7871506158","32.7057933715","-27.2489802605","26.7345744468","-53.9835547073","-56.2837096877","2.3001549805","5.8617445298","19.8791507987","0.9936791182","-7.8790796968","8.8727588150","0.2085532189","1.3780570097","4.2751343012","0.0000000000","0.0000000000"
"36","1131","-86.6669397274","0.0007267408","0.9881176315","3.2521177723","26.9618569063","-5.9110409024","32.8728978087","-27.3728705472","26.7529154584","-54.1257860056","-56.3902193749","2.2644333693","5.2520801375","20.7638792790","0.7369560418","-8.6846432414","9.4215992832","0.2564168558","1.8030334738","3.1926298079","0.0000000000","0.0000000000"
"37","846","-86.7531380901","0.0006667209","0.9887843523","3.3035059549","27.0132450889","-6.1207670796","33.1340121686","-27.5825967244","26.6813668415","-54.2639635659","-56.5328786499","2.2689150840","4.6329070150","21.2849396531","0.7635201734","-8.9072099492","9.6707301226","0.2773841893","2.1609816331","2.1945411927","0.0000000000","0.0000000000"
"38","172","-86.7896217054","0.0006428348","0.9894271872","3.3252560976","27.0349952316","-5.8082116600","32.8432068916","-27.2700413048","26.5892241318","-53.8592654366","-56.1740599104","2.3147944738","5.8298149416","19.7518702028","1.0075389874","-7.9248087122","8.9323476996","0.2349134649","1.6522714407","3.9426300360","0.0000000000","0.0000000000"
"39","808","-86.7972134338","0.0006379731","0.9900651603","3.3297819971","27.0395211311","-5.8678397628","32.9073608939","-27.3296694076","26.8480714261","-54.1777408337","-56.4365159967","2.2587751630","5.8235701407","20.0566277119","0.9678735735","-8.3667153552","9.3345889287","0.2665823800","1.7993581890","3.7576295717","0.0000000000","0.0000000000"
