" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","37.7599660391"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","803","-101.3606377385","0.1198210136","0.1198210136","0.0000000000","37.9162994807","10.3964140491","27.5198854316","-8.3826868900","46.6039215094","-54.9865246015","-57.1629273823","2.1764027808","1.7267733936","44.4343595434","0.4427885724","-4.6229387053","5.0657272777","0.1122636739","0.3863956748","1.2281140449","0.0000000000","0.0000000000"
"2","866","-101.8550454356","0.0730826782","0.1929036918","0.2947470492","38.2110465299","10.5886596901","27.6223868398","-8.1904412491","47.2881541867","-55.4785954358","-57.6273174338","2.1487219980","1.8325637908","44.9077863915","0.5478040044","-5.1418851398","5.6896891442","0.1329701983","0.4306625256","1.2689310669","0.0000000000","0.0000000000"
"3","1091","-101.8703576095","0.0719721476","0.2648758394","0.3038755844","38.2201750651","10.5979176590","27.6222574061","-8.1811832802","47.2882007070","-55.4693839872","-57.6023631169","2.1329791297","1.8325696517","44.9078237172","0.5478073381","-5.1418906133","5.6896979514","0.1329551268","0.4306492652","1.2689652598","0.0000000000","0.0000000000"
"4","714","-102.1361333279","0.0551746433","0.3200504827","0.4623209509","38.3786204316","10.7605421313","27.6180783002","-8.0185588078","47.3746293398","-55.3931881476","-57.5448089391","2.1516207915","2.0322752443","44.8428799852","0.4994741103","-5.2180659053","5.7175400156","0.1352298420","0.5142910392","1.3827543631","0.0000000000","0.0000000000"
"5","1052","-102.2473565231","0.0493669065","0.3694173892","0.5286279861","38.4449274668","10.8267934695","27.6181339973","-7.9523074697","47.3746045358","-55.3269120055","-57.4911458508","2.1642338453","2.0322496198","44.8428726936","0.4994822224","-5.2180693843","5.7175516067","0.1352532363","0.5143973404","1.3825990431","0.0000000000","0.0000000000"
"6","948","-102.3787028554","0.0432905324","0.4127079216","0.6069316696","38.5232311503","10.8930095518","27.6302215985","-7.8860913874","47.2640790926","-55.1501704799","-57.3142392431","2.1640687632","2.2339120464","44.4505049341","0.5796621121","-5.2341100806","5.8137721926","0.1477617888","0.6297117173","1.4564385403","0.0000000000","0.0000000000"
"7","1122","-102.4379668736","0.0407995047","0.4535074263","0.6422626214","38.5585621021","10.9282423069","27.6303197951","-7.8508586322","47.2641034477","-55.1149620799","-57.2804328689","2.1654707890","2.2338567585","44.4505231963","0.5797234929","-5.2342298881","5.8139533810","0.1477479410","0.6296614168","1.4564474007","0.0000000000","0.0000000000"
"8","872","-102.5819446848","0.0353285751","0.4888360014","0.7280967118","38.6443961926","11.0250847269","27.6193114656","-7.7540162123","47.5618666629","-55.3158828752","-57.4723679157","2.1564850405","2.2732671007","44.7226531949","0.5659463673","-5.2658956747","5.8318420421","0.1507016838","0.6565062367","1.4660591802","0.0000000000","0.0000000000"
"9","1102","-102.5977047157","0.0347761601","0.5236121615","0.7374922424","38.6537917231","11.0344932945","27.6192984285","-7.7446076446","47.5618030007","-55.3064106453","-57.4506426354","2.1442319901","2.2734079711","44.7225925913","0.5658024383","-5.2658413352","5.8316437735","0.1506904859","0.6565566136","1.4661608716","0.0000000000","0.0000000000"
"10","896","-102.8330977493","0.0274822149","0.5510943764","0.8778246086","38.7941240894","11.0597750688","27.7343490206","-7.7193258704","47.9553760635","-55.6747019339","-57.7949160551","2.1202141212","2.3395999739","44.9391055858","0.6766705037","-5.7633979446","6.4400684483","0.1682201622","0.6727355193","1.4986442924","0.0000000000","0.0000000000"
