" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","38.4720902584"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","70","21.3431921609","0.5784627654","0.5784627654","0.0000000000","-35.6595944843","-45.5693957805","9.9098012962","-58.0887964066","6.2983673157","-64.3868412449","-66.3288985533","1.9420573084","6.2462418186","-0.4076768220","0.4598023191","-4.2072470962","4.6670494153","0.0719101172","2.2459279902","3.9278943824","0.0005093287","0.0000000000"
"2","17","19.8898101880","0.1352320521","0.7136948175","0.8664510087","-34.7931434756","-44.8165399366","10.0233964609","-57.3359405627","7.2632108263","-64.5991513890","-66.5033240441","1.9041726551","6.7338624544","-0.0684006805","0.5977490524","-4.8194487162","5.4171977687","0.1074476241","2.4690167590","4.1568916084","0.0005064629","0.0000000000"
"3","148","19.8808441055","0.1340249699","0.8477197874","0.8717962458","-34.7877982386","-44.8112266103","10.0234283717","-57.3306272364","7.2632182309","-64.5938454673","-66.5133660771","1.9195206098","6.7339827743","-0.0683470950","0.5975825516","-4.8193236445","5.4169061961","0.1074660699","2.4691776492","4.1568318124","0.0005072428","0.0000000000"
"4","85","19.0032099393","0.0557229426","0.9034427300","1.3950083281","-34.2645861562","-44.4830948912","10.2185087350","-57.0024955173","8.2767659937","-65.2792615110","-67.1599508919","1.8806893809","6.5127082240","1.4294022219","0.3346555478","-5.0213385079","5.3559940556","0.0921782515","2.4173937684","4.0023100413","0.0008261628","0.0000000000"
"5","84","18.8574090284","0.0481629979","0.9516057279","1.4819292812","-34.1776652031","-44.3956609855","10.2179957824","-56.9150616116","8.2766288533","-65.1916904649","-67.0818208159","1.8901303510","6.5128247827","1.4291887024","0.3346153682","-5.0211967103","5.3558120786","0.0921617189","2.4174762059","4.0023596440","0.0008272138","0.0000000000"
"6","0","18.5067857173","0.0339187425","0.9855244704","1.6909575527","-33.9686369316","-44.3845757177","10.4159387860","-56.9039763438","7.3291563087","-64.2331326525","-66.1481540133","1.9150213608","6.7548482205","-0.4205747233","0.9948828116","-4.4951570613","5.4900398729","0.1055905075","2.7149967819","3.9342602816","0.0000006496","0.0000000000"
"7","163","16.9177220273","0.0069233797","0.9924478501","2.6382968363","-33.0212976480","-43.3738333323","10.3525356842","-55.8932339584","9.7190320153","-65.6122659737","-67.4627061131","1.8504401394","7.0018147586","2.4028059111","0.3144113456","-5.8612155334","6.1756268790","0.1340505053","2.7334190427","4.1326430513","0.0017021592","0.0000000000"
"8","86","16.8313488324","0.0063504829","0.9987983330","2.6897892472","-32.9698052371","-43.3220258839","10.3522206468","-55.8414265100","9.7186915963","-65.5601181063","-67.4145295552","1.8544114489","7.0020166054","2.4023250364","0.3143499545","-5.8607675919","6.1751175464","0.1340597033","2.7334785650","4.1327797796","0.0016985575","0.0000000000"
"9","154","14.4748899847","0.0006017411","0.9994000741","4.0946203126","-31.5649741717","-42.0853011064","10.5203269348","-54.6047017326","11.2582210310","-65.8629227635","-67.7102547719","1.8473320084","8.1686807161","2.7350109297","0.3545293852","-6.2450987000","6.5996280852","0.1490478058","3.1682792933","4.8399260424","0.0114275746","0.0000000000"
"10","89","14.4718689004","0.0005999259","1.0000000000","4.0964213681","-31.5631731162","-42.0837322213","10.5205591050","-54.6031328474","11.2583211429","-65.8614539903","-67.7023542076","1.8409002173","8.1684353084","2.7352820236","0.3546038109","-6.2453499351","6.5999537460","0.1490682858","3.1682535241","4.8397144610","0.0113990376","0.0000000000"
