" "
"VeraChem VCPack feprocess run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","298.1615549226"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","9","-1226.3377562106","0.7147003620","0.7147003620","0.0000000000","553.3433197878","348.5915531440","204.7517666438","214.4551178643","299.9838680988","-85.5263668632","-91.5592875756","6.0329207123","148.7857599970","178.7341920294","-27.5360839276","-188.3993695079","160.8632855803","4.7574135328","12.6589574088","131.3693890554","0.0000000000","0.0000000000"
"2","540","-1228.4117474690","0.0898257895","0.8045261516","1.2364346409","554.5797544287","350.2040882402","204.3756661885","216.0676529605","298.9678844817","-82.9002315212","-89.0377773942","6.1375458730","149.2329145634","175.4142970156","-25.6793270973","-185.6731061085","159.9937790112","4.6784288925","12.5616020054","131.9928836655","0.0000000000","0.0000000000"
"3","982","-1228.6525025647","0.0706061341","0.8751322857","1.3799636646","554.7232834523","350.9373489985","203.7859344538","216.8009137187","309.8595534761","-93.0586397574","-99.0901738191","6.0315340617","147.0802532696","190.3057000878","-27.5263998813","-185.3199499481","157.7935500668","4.7442346271","12.7559446332","129.5800740093","0.0000000000","0.0000000000"
"4","109","-1229.5179264636","0.0297162231","0.9048485088","1.8958964503","555.2392162381","350.1019568924","205.1372593457","215.9655216127","297.7473728422","-81.7818512295","-87.8054119963","6.0235607668","151.8048879494","174.0157293203","-28.0732444275","-190.0210792495","161.9478348220","4.7890668080","12.6294643063","134.3863568350","0.0000000000","0.0000000000"
"5","675","-1229.5759355037","0.0280414588","0.9328899676","1.9304792319","555.2737990197","350.2690601406","205.0047388791","216.1326248608","298.8182010818","-82.6855762210","-88.7290598756","6.0434836546","150.1259413170","175.2379369380","-26.5456771731","-186.7273379122","160.1816607391","4.6558090964","12.4254202246","133.0447119959","0.0000000000","0.0000000000"
"6","829","-1229.8028570980","0.0223485735","0.9552385411","2.0657612486","555.4090810363","349.2040391098","206.2050419265","215.0676038301","297.1179897872","-82.0503859572","-88.0415379966","5.9911520394","151.3326581073","173.5773657969","-27.7920341169","-190.3978152388","162.6057811218","4.7643114477","12.3517129640","134.2166336956","0.0000000000","0.0000000000"
"7","583","-1230.7060474437","0.0090573098","0.9642958509","2.6042089523","555.9475287401","351.2240891217","204.7234396184","217.0876538419","301.6571540288","-84.5695001869","-90.5856883695","6.0161881826","150.7713247964","178.2349300988","-27.3491008664","-189.1090512661","161.7599503998","4.8316927295","13.3230686900","132.6165633769","0.0000000000","0.0000000000"
"8","664","-1230.9445010987","0.0071357581","0.9714316090","2.7463659446","556.0896857324","351.9864739475","204.1032117848","217.8500386678","300.5494072390","-82.6993685712","-88.8359421056","6.1365735344","151.4629522724","175.3122335525","-26.2257785859","-184.5201332199","158.2943546340","4.6094868473","12.5426491113","134.3108163138","0.0000000000","0.0000000000"
"9","624","-1231.3750948705","0.0046391201","0.9760707291","3.0030695606","556.3463893484","350.8701024647","205.4762868837","216.7336671850","299.1267387503","-82.3930715653","-88.3685671106","5.9754955453","152.0781547920","175.4810037828","-28.4324198245","-188.8571298921","160.4247100676","4.6324584373","12.7758974800","134.6697988747","0.0000000000","0.0000000000"
"10","282","-1231.4705120517","0.0042169307","0.9802876598","3.0599536520","556.4032734397","352.6742451451","203.7290282947","218.5378098653","313.2330855187","-94.6952756534","-100.7245418758","6.0292662225","147.6715983231","193.4121267365","-27.8506395409","-185.2499255816","157.3992860406","4.7306150115","13.0102577307","129.9307255808","0.0000000000","0.0000000000"
