" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1533369378"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","193","1.7136884335","0.4106697876","0.4106697876","0.0000000000","-26.1518507095","-40.8890785158","14.7372278064","-56.0912078476","5.9754066715","-62.0645244853","-64.2178847654","2.1533602801","6.6726794338","-1.3069323501","0.6096595878","-5.3511931396","5.9608527274","0.0857233973","2.2532040544","4.3331081970","0.0006437852","0.0000000000"
"2","98","0.4645928062","0.1177653197","0.5284351073","0.7446632657","-25.4071874438","-40.2526737979","14.8454863541","-55.4548031296","6.9140369810","-62.3688401106","-64.4461145329","2.0772744223","7.1961222924","-1.0201852227","0.7380999113","-6.0103263855","6.7484262968","0.1257631368","2.4992847790","4.5703804734","0.0006939032","0.0000000000"
"3","33","0.4019240292","0.1106116094","0.6390467167","0.7820240049","-25.3698267045","-40.2154507260","14.8456240215","-55.4175800577","6.9142064773","-62.3317865350","-64.4213986702","2.0896121351","7.1960388189","-1.0197599111","0.7379275695","-6.0104826525","6.7484102220","0.1257669867","2.4994628949","4.5701962080","0.0006127293","0.0000000000"
"4","124","0.2378707987","0.0938757238","0.7329224405","0.8798262962","-25.2720244132","-40.1247597666","14.8527353533","-55.3268890983","7.2437993281","-62.5706884263","-64.6646987883","2.0940103620","7.1737285921","-0.6692686866","0.7393394225","-5.9685939231","6.7079333457","0.1157748886","2.4811341567","4.5763406516","0.0004788952","0.0000000000"
"5","296","0.2281190104","0.0929647168","0.8258871573","0.8856399412","-25.2662107682","-40.1190591937","14.8528484255","-55.3211885254","7.2442395403","-62.5654280658","-64.6680266260","2.1025985603","7.1733591125","-0.6685090442","0.7393894720","-5.9690130848","6.7084025568","0.1157440991","2.4811618222","4.5760397142","0.0004134769","0.0000000000"
"6","278","-0.6847059075","0.0373149897","0.8632021470","1.4298314102","-24.7220192992","-39.7693581378","15.0473388385","-54.9714874695","8.2661464025","-63.2376338719","-65.3406769746","2.1030431026","6.9349830359","0.8740431250","0.4571202415","-6.2047597604","6.6618800019","0.1069374652","2.4203369150","4.4070936160","0.0006150398","0.0000000000"
"7","309","-0.6865794211","0.0372451450","0.9004472920","1.4309483277","-24.7209023818","-39.7679869096","15.0470845278","-54.9701162413","8.2659437658","-63.2360600071","-65.3309470320","2.0948870249","6.9351288815","0.8737594841","0.4570554002","-6.2046519536","6.6617073538","0.1069325657","2.4203437993","4.4072371967","0.0006153199","0.0000000000"
"8","0","-1.1521645326","0.0233812984","0.9238285904","1.7085124485","-24.4433382610","-39.6893019744","15.2459637134","-54.8914313061","6.9656179975","-61.8570493035","-63.9649134097","2.1078641061","7.1749494185","-1.3602955731","1.1509641521","-5.6407223059","6.7916864580","0.1194415162","2.7153471053","4.3401601031","0.0000006939","0.0000000000"
"9","181","-1.5050716402","0.0164286930","0.9402572834","1.9189022324","-24.2329484770","-39.3813266929","15.1483782159","-54.5834560246","8.2192776280","-62.8027336525","-64.8596194472","2.0568857946","7.6090232986","-0.0884932674","0.6987475967","-6.9242571362","7.6230047329","0.1626234262","2.8701156522","4.5757378206","0.0005463996","0.0000000000"
"10","55","-1.5234044771","0.0161302525","0.9563875359","1.9298315720","-24.2220191374","-39.3701280114","15.1481088740","-54.5722573431","8.2194058717","-62.7916632148","-64.8297649584","2.0381017436","7.6090046162","-0.0882200540","0.6986213095","-6.9241868088","7.6228081183","0.1626313331","2.8702039848","4.5756974874","0.0004718110","0.0000000000"
