" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","298.8972861554"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","22998","-1117.1875786555","0.0199836121","0.0199836121","0.0000000000","487.8335238221","306.1532450493","181.6802787727","180.0649958864","254.7851913059","-74.7201954196","-80.8508368802","6.1306414606","146.3727812654","130.3437713668","-21.9313613262","-171.5134624643","149.5821011381","4.5047978629","11.4007535923","130.4451067175","0.0221230926","0.0000000000"
"2","25054","-1117.5216356862","0.0143085250","0.0342921370","0.1991520857","488.0326759078","305.4333372681","182.5993386397","179.3450881052","253.2440703986","-73.8989822935","-79.9176710125","6.0186887190","146.0861599159","130.7326911023","-23.5747806196","-174.4079123773","150.8331317577","4.5037679516","11.6546940084","129.9136989853","0.0139989706","0.0000000000"
"3","24363","-1117.5615355128","0.0137488569","0.0480409939","0.2229388435","488.0564626656","305.3651527238","182.6913099418","179.2769035609","252.9078006906","-73.6308971297","-79.6295501127","5.9986529830","145.7219940883","130.7868212056","-23.6010146034","-174.7981182653","151.1971036620","4.5323896594","11.6501889811","129.5231658633","0.0162495845","0.0000000000"
"4","22546","-1117.6356328594","0.0127669313","0.0608079252","0.2671128610","488.1006366831","305.3113637877","182.7892728953","179.2231146248","252.4518780107","-73.2287633860","-79.2947888896","6.0660255037","145.5406916296","129.9588912259","-23.0477048448","-174.8618048284","151.8140999836","4.5670315686","11.8095522156","129.1489910365","0.0151168089","0.0000000000"
"5","21931","-1117.6595565603","0.0124651237","0.0732730489","0.2813752608","488.1148990829","305.6792091364","182.4356899465","179.5909599734","252.5076723415","-72.9167123681","-79.0712582411","6.1545458730","145.7195340770","129.0744378742","-22.2862996097","-174.9988996636","152.7126000539","4.6039867058","12.2241728561","128.8617550908","0.0296194242","0.0000000000"
"6","24820","-1117.6738330003","0.0122884303","0.0855614792","0.2898863309","488.1234101530","306.4396886634","181.6837214896","180.3514395004","252.4504690237","-72.0990295232","-78.1884245973","6.0893950740","145.7820389040","128.8962185915","-22.2277884718","-173.8033867671","151.5755982953","4.5383284180","11.8915685362","129.3299631548","0.0221787950","0.0000000000"
"7","25020","-1117.7047776931","0.0119139920","0.0974754712","0.3083343788","488.1418582009","305.4712099382","182.6706482627","179.3829607753","252.2683603294","-72.8853995542","-78.9657081665","6.0803086123","145.5348279499","128.6789080876","-21.9453757080","-175.2941237274","153.3487480194","4.6341465952","12.3054788158","128.5669312206","0.0282713183","0.0000000000"
"8","24627","-1117.7479413107","0.0114106815","0.1088861526","0.3340668846","488.1675907067","305.7832134544","182.3843772523","179.6949642914","252.9998208652","-73.3048565737","-79.4487241892","6.1438676155","145.7554577323","129.5872579004","-22.3428947675","-175.0217036588","152.6788088913","4.5969368803","12.1845381607","128.9444315495","0.0295511418","0.0000000000"
"9","24675","-1117.7506273428","0.0113800731","0.1202662258","0.3356681947","488.1691920168","305.9356698861","182.2335221306","179.8474207232","253.5868370289","-73.7394163058","-79.8695944780","6.1301781723","145.9755048783","130.2746281712","-22.6632960206","-174.7442765063","152.0809804857","4.5710411388","12.1079744973","129.2663788820","0.0301103602","0.0000000000"
"10","22102","-1117.8044852829","0.0107833784","0.1310496042","0.3677762485","488.2013000705","305.6079032490","182.5933968215","179.5196540861","253.8987003036","-74.3790462175","-80.3940697861","6.0150235686","145.8052084151","131.6436808805","-23.5501889920","-174.5500866792","150.9998976871","4.5311775535","11.6749855897","129.5835297348","0.0155155371","0.0000000000"
"11","21964","-1117.8074618764","0.0107513284","0.1418009326","0.3695507802","488.2030746022","305.9788338900","182.2242407122","179.8905847270","254.0366587307","-74.1460740036","-80.1820586765","6.0359846728","146.2925906942","131.5970403038","-23.8529722673","-174.0126588092","150.1596865419","4.5036414319","11.5260045277","130.2460566212","0.0168881133","0.0000000000"
"12","25087","-1117.8513110277","0.0102900784","0.1520910110","0.3956919751","488.2292157971","305.8278959001","182.4013198971","179.7396467371","251.6136082640","-71.8739615269","-77.9543008338","6.0803393069","145.8820294690","128.3488128236","-22.6172340286","-174.5743674733","151.9571334447","4.5356920900","11.7856570207","129.5311780762","0.0295022822","0.0000000000"
"13","24386","-1117.8546283904","0.0102559990","0.1623470101","0.3976696604","488.2311934825","305.9126208410","182.3185726415","179.8243716781","253.6324181889","-73.8080465108","-79.9351120428","6.1270655320","145.8959051519","130.5529435556","-22.8164305186","-174.8795599829","152.0631294643","4.5726959238","12.1159534738","129.1768785763","0.0303771780","0.0000000000"
"14","22173","-1117.8758583956","0.0100405591","0.1723875692","0.4103261814","488.2438500035","306.2087411470","182.0351088565","180.1204919841","252.3345901714","-72.2140981873","-78.2762185653","6.0621203779","146.1023509155","129.1537883243","-22.9215490685","-174.2054207846","151.2838717162","4.5035989122","11.6896869299","129.8793658599","0.0296992135","0.0000000000"
"15","22103","-1117.8801322132","0.0099977392","0.1823853084","0.4128740688","488.2463978908","305.9126382635","182.3337596273","179.8243891006","255.2089603064","-75.3845712059","-81.3773989741","5.9928277682","146.1486098206","133.0801932086","-24.0198427228","-174.4062968433","150.3864541205","4.4992798082","11.5483465442","130.0843051979","0.0166782703","0.0000000000"
"16","22077","-1117.9490251853","0.0093321555","0.1917174638","0.4539454363","488.2874692583","305.8437954472","182.4436738112","179.7555462842","253.3200690656","-73.5645227814","-79.5949717465","6.0304489651","146.0882630691","130.5340473614","-23.3022413649","-174.0848456005","150.7826042356","4.5379874693","11.6887501838","129.8464467158","0.0150787002","0.0000000000"
