" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.1224593979"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","718","-101.6544751654","0.1035641934","0.1035641934","0.0000000000","33.7022358855","-3.6820988290","37.3843347145","-27.8266571794","23.9628330918","-51.7874388379","-54.3430073997","2.5555685618","3.1662040494","19.7340408898","1.0625881526","-7.9385269992","9.0011151518","0.1876758905","0.8803047150","2.0982234438","0.0000000000","0.0000000000"
"2","441","-102.3670106256","0.0507878009","0.1543519944","0.4247865184","34.1270224039","-3.4032130830","37.5302354869","-27.5477714333","24.5131915943","-52.0609630277","-54.5579177328","2.4969547051","3.6773825206","19.6618861316","1.1739229421","-8.5694903687","9.7434133108","0.2236912757","1.2107139336","2.2429773113","0.0000000000","0.0000000000"
"3","58","-102.3704573027","0.0506130531","0.2049650475","0.4268412961","34.1290771815","-3.2696721238","37.3987493054","-27.4142304742","24.2794508326","-51.6936813068","-54.2711087666","2.5774274598","3.7086539897","19.3797539881","1.1910428548","-8.0930257096","9.2840685644","0.1995154073","1.1612784407","2.3478601417","0.0000000000","0.0000000000"
"4","1220","-102.6303300375","0.0390302417","0.2439952892","0.5817675284","34.2840034139","-3.2114294251","37.4954328390","-27.3559877755","24.5890059732","-51.9449937487","-54.4797369874","2.5347432387","3.6702113401","19.7230417441","1.1957528891","-8.5608863178","9.7566392070","0.2225159395","1.1191223051","2.3285730954","0.0000000000","0.0000000000"
"5","1303","-102.6603547515","0.0378757877","0.2818710769","0.5996671200","34.3019030055","-3.1933727594","37.4952757649","-27.3379311097","24.5735243741","-51.9114554838","-54.4484225352","2.5369670514","3.6687729517","19.7052090341","1.1995423883","-8.5600977358","9.7596401241","0.2228186261","1.1185872184","2.3273671072","0.0000000000","0.0000000000"
"6","1308","-102.7450099569","0.0348013735","0.3166724505","0.6501353310","34.3523712165","-3.1031075252","37.4554787416","-27.2476658755","24.7104142786","-51.9580801541","-54.5127966824","2.5547165283","3.7347126938","19.7596846577","1.2160169272","-8.6239710873","9.8399880145","0.2364101960","1.1678513306","2.3304511672","0.0000000000","0.0000000000"
"7","694","-102.7633963599","0.0341673480","0.3508397985","0.6610966046","34.3633324901","-3.2150815383","37.5784140284","-27.3596398887","24.6719727623","-52.0316126510","-54.5818988970","2.5502862461","3.4647821456","20.2800735048","0.9271171118","-8.8429201690","9.7700372809","0.2174488682","1.0944316080","2.1529016695","0.0000000000","0.0000000000"
"8","985","-102.7660357438","0.0340772862","0.3849170847","0.6626701048","34.3649059903","-3.1374544606","37.5023604509","-27.2820128110","24.7408184846","-52.0228312955","-54.5475458760","2.5247145805","3.6933733668","19.9189197159","1.1285254019","-8.6656575648","9.7941829667","0.2286575658","1.1039929300","2.3607228710","0.0000000000","0.0000000000"
"9","1224","-102.8141921209","0.0324751341","0.4173922188","0.6913791038","34.3936149892","-3.0842545287","37.4778695179","-27.2288128791","25.0109953463","-52.2398082254","-54.7509159762","2.5111077508","3.7089294011","20.1244635132","1.1776024320","-8.6233262586","9.8009286907","0.2283148101","1.1402519444","2.3403626466","0.0000000000","0.0000000000"
"10","1577","-102.8246905717","0.0321359789","0.4495281977","0.6976378805","34.3998737660","-3.0863959322","37.4862696982","-27.2309542826","24.8205560397","-52.0515103223","-54.5659373742","2.5144270519","3.7108369042","19.9383173882","1.1714017473","-8.6142609203","9.7856626676","0.2260617015","1.1423102013","2.3424650014","0.0000000000","0.0000000000"
"11","199","-103.1835345560","0.0224464451","0.4719746429","0.9115670044","34.6138028898","-3.0601155191","37.6739184089","-27.2046738695","24.8478093496","-52.0524832191","-54.5852820955","2.5327988765","3.9586672947","19.8912365135","0.9979055413","-9.0695057263","10.0674112676","0.2286635796","1.4216439482","2.3083597670","0.0000000000","0.0000000000"
"12","1580","-103.3711285670","0.0186070073","0.4905816501","1.0234034129","34.7256392984","-2.7834549178","37.5090942161","-26.9280132681","24.9261894909","-51.8515741245","-54.3656702575","2.5140961331","4.2115656003","19.3858734080","1.3287504827","-8.7140114941","10.0427619768","0.2347768549","1.3996552924","2.5771334530","0.0000000000","0.0000000000"
"13","1600","-103.4682887711","0.0168841961","0.5074658462","1.0813266281","34.7835625136","-2.7179688343","37.5015313479","-26.8625271847","25.0864682643","-51.9489954490","-54.5007182747","2.5517228257","4.2505685482","19.5390696378","1.2968300784","-8.7753261722","10.0721562506","0.2379282103","1.4211558465","2.5914844913","0.0000000000","0.0000000000"
"14","1531","-103.4692253693","0.0168683898","0.5243342360","1.0818849923","34.7841208778","-2.7251131176","37.5092339954","-26.8696714679","24.9127662065","-51.7824376744","-54.3094923376","2.5270546632","4.2124231420","19.3765510346","1.3237920299","-8.7156186848","10.0394107147","0.2343059710","1.3999139422","2.5782032287","0.0000000000","0.0000000000"
"15","986","-103.4793342279","0.0166987286","0.5410329646","1.0879115090","34.7901473945","-2.8525136178","37.6426610123","-26.9970719681","25.1617399743","-52.1588119425","-54.6781011548","2.5192892123","4.2020796231","19.6862126962","1.2734476550","-9.2875903448","10.5610379998","0.2711541659","1.4358660003","2.4950594569","0.0000000000","0.0000000000"
