" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1533369378"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","69","1.7124896872","0.4109425753","0.4109425753","0.0000000000","-26.1511360625","-40.8883968354","14.7372607729","-56.0905261671","5.9753903259","-62.0650370998","-64.2183973799","2.1533602801","6.6727514640","-1.3069602753","0.6095991372","-5.3511301322","5.9607292694","0.0857384580","2.2532571922","4.3331127628","0.0006430510","0.0000000000"
"2","319","0.4666331465","0.1182258697","0.5291684449","0.7427322455","-25.4084038170","-40.2538213733","14.8454175563","-55.4559507050","6.9140597162","-62.3700104212","-64.4455678305","2.0755574093","7.1959935016","-1.0201347223","0.7382009369","-6.0104482483","6.7486491852","0.1257523059","2.4992728870","4.5702729568","0.0006953518","0.0000000000"
"3","33","0.4019240292","0.1108178461","0.6399862910","0.7813093580","-25.3698267045","-40.2154507260","14.8456240215","-55.4175800577","6.9142064773","-62.3317865350","-64.4213986702","2.0896121351","7.1960388189","-1.0197599111","0.7379275695","-6.0104826525","6.7484102220","0.1257669867","2.4994628949","4.5701962080","0.0006127293","0.0000000000"
"4","201","0.2392590028","0.0941814086","0.7341676996","0.8782840549","-25.2728520076","-40.1255673900","14.8527153823","-55.3276967217","7.2438020882","-62.5714988099","-64.6655091719","2.0940103620","7.1736110902","-0.6692694166","0.7394604147","-5.9687591408","6.7082195555","0.1157459693","2.4811556770","4.5762310033","0.0004784406","0.0000000000"
"5","269","0.2121913975","0.0916663354","0.8258340350","0.8944207308","-25.2567153317","-40.1094982174","14.8527828857","-55.3116275491","7.2442042869","-62.5558318360","-64.6584303962","2.1025985603","7.1734273116","-0.6686118558","0.7393888310","-5.9689991237","6.7083879547","0.1157498162","2.4812705344","4.5759959010","0.0004110600","0.0000000000"
"6","278","-0.6847059075","0.0373845639","0.8632185990","1.4291167633","-24.7220192992","-39.7693581378","15.0473388385","-54.9714874695","8.2661464025","-63.2376338719","-65.3406769746","2.1030431026","6.9349830359","0.8740431250","0.4571202415","-6.2047597604","6.6618800019","0.1069374652","2.4203369150","4.4070936160","0.0006150398","0.0000000000"
"7","284","-0.6864896237","0.0373179399","0.9005365389","1.4301801470","-24.7209559156","-39.7680018997","15.0470459841","-54.9701312314","8.2659148723","-63.2360461036","-65.3309331286","2.0948870249","6.9351777837","0.8736785331","0.4570585555","-6.2046467766","6.6617053321","0.1069424334","2.4203226552","4.4072967418","0.0006159532","0.0000000000"
"8","0","-1.1521645326","0.0234248931","0.9239614320","1.7077978016","-24.4433382610","-39.6893019744","15.2459637134","-54.8914313061","6.9656179975","-61.8570493035","-63.9649134097","2.1078641061","7.1749494185","-1.3602955731","1.1509641521","-5.6407223059","6.7916864580","0.1194415162","2.7153471053","4.3401601031","0.0000006939","0.0000000000"
"9","22","-1.5080152950","0.0164109452","0.9403723772","1.9199424805","-24.2311935821","-39.3794584200","15.1482648380","-54.5815877517","8.2192780277","-62.8008657794","-64.8577515740","2.0568857946","7.6091888848","-0.0884514740","0.6985406168","-6.9240567920","7.6225974088","0.1626212244","2.8701611338","4.5758585482","0.0005479784","0.0000000000"
"10","21","-1.5236134871","0.0161569502","0.9565293274","1.9292415289","-24.2218945337","-39.3700309186","15.1481363850","-54.5721602503","8.2195475472","-62.7917077975","-64.8298095410","2.0381017436","7.6088965995","-0.0879938097","0.6986447573","-6.9244388267","7.6230835840","0.1626188334","2.8701843283","4.5756187052","0.0004747325","0.0000000000"
"11","125","-2.2979100356","0.0074488061","0.9639781335","2.3908476572","-23.7602884054","-38.9258523740","15.1655639687","-54.1279817057","8.8688799830","-62.9968616887","-65.0861686869","2.0893069982","7.4687945317","0.7610347597","0.6390506916","-6.7816741889","7.4207248805","0.1407097413","2.6671464645","4.6603087994","0.0006295264","0.0000000000"
"12","60","-2.3103882665","0.0073564357","0.9713345692","2.3982867035","-23.7528493591","-38.9174897352","15.1646403761","-54.1196190669","9.2849797339","-63.4045988008","-65.4774884809","2.0728896800","7.4263119155","1.2978922199","0.5607755984","-6.8396708619","7.4004464604","0.1374180218","2.6348943987","4.6530603596","0.0009391354","0.0000000000"
"13","150","-2.3202453229","0.0072842791","0.9786188483","2.4041631052","-23.7469729573","-38.9112816833","15.1643087260","-54.1134110150","9.2849454159","-63.3983564309","-65.4629796671","2.0646232362","7.4262205502","1.2978955151","0.5608293505","-6.8397581418","7.4005874923","0.1374250648","2.6348097000","4.6530495438","0.0009362417","0.0000000000"
"14","238","-2.3601322961","0.0069994495","0.9856182978","2.4279422004","-23.7231938622","-38.8883004664","15.1651066042","-54.0904297981","8.8687668049","-62.9591966030","-65.0438846421","2.0846880391","7.4690587231","0.7608064392","0.6389016427","-6.7815002857","7.4204019284","0.1407128894","2.6672315927","4.6604838917","0.0006303493","0.0000000000"
"15","114","-2.8082246313","0.0044715682","0.9900898659","2.6950777938","-23.4560582688","-38.6498136582","15.1937553895","-53.8519429899","9.7509754283","-63.6029184182","-65.6577934770","2.0548750588","7.4530383053","1.9161658110","0.3817713120","-7.1702646096","7.5520359216","0.1534330987","2.7675482437","4.5307004134","0.0013565495","0.0000000000"
"16","294","-2.8610376422","0.0042415389","0.9943314048","2.7265629005","-23.4245731620","-38.6183561212","15.1937829592","-53.8204854529","9.7515821769","-63.5720676298","-65.6374561553","2.0653885255","7.4530303150","1.9170130225","0.3815388393","-7.1703313556","7.5518701949","0.1534650607","2.7676504651","4.5304285794","0.0014862098","0.0000000000"
"17","254","-4.4471849525","0.0008682973","0.9951997021","3.6721635496","-22.4789725130","-38.0227861850","15.5438136720","-53.2249155167","10.2149964442","-63.4399119609","-65.4707467667","2.0308348058","7.8679997697","1.9694877459","0.3775089286","-8.0679127672","8.4454216958","0.1906210053","3.1171487673","4.5587559733","0.0014740237","0.0000000000"
"18","297","-4.4736685780","0.0008456034","0.9960453055","3.6879520789","-22.4631839836","-38.0069558328","15.5437718492","-53.2090851645","10.2149785007","-63.4238652169","-65.4588868612","2.0350216443","7.8676772991","1.9695777661","0.3777234355","-8.0680590468","8.4457824822","0.1906319196","3.1168189461","4.5587605907","0.0014658426","0.0000000000"
"19","91","-4.5279524753","0.0008009244","0.9968462300","3.7203140722","-22.4308219904","-37.4948593260","15.0640373357","-52.6969886577","10.2308297685","-62.9278184262","-64.9915681324","2.0637497063","9.6441351865","-0.1640191929","0.7507137749","-6.8806616982","7.6313754731","0.1628483366","2.9982408713","6.4823794848","0.0006664938","0.0000000000"
"20","73","-4.5609837960","0.0007749010","0.9976211310","3.7400060882","-22.4111299743","-37.4753286831","15.0641987088","-52.6774580148","10.2309043589","-62.9083623737","-64.9750088227","2.0666464489","9.6438938354","-0.1637283372","0.7507388608","-6.8808986860","7.6316375467","0.1628571110","2.9985756884","6.4818774983","0.0005835377","0.0000000000"
"21","25","-4.7895477094","0.0006165697","0.9982377007","3.8762671930","-22.2748688695","-37.6240078834","15.3491390139","-52.8261372151","10.9673909430","-63.7935281581","-65.8299492015","2.0364210434","8.6085834571","1.8921602700","0.4666472159","-7.5690091405","8.0356563564","0.1695960020","3.1954803928","5.2365330602","0.0069740022","0.0000000000"
"22","221","-4.7968977963","0.0006120545","0.9988497551","3.8806490351","-22.2704870275","-37.6202200695","15.3497330420","-52.8223494012","10.9672111965","-63.7895605977","-65.8373582863","2.0477976886","8.6088630980","1.8917913929","0.4665567056","-7.5689421456","8.0354988512","0.1696273798","3.1954810531","5.2367576275","0.0069970376","0.0000000000"
"23","92","-4.9844604087","0.0005073792","0.9993571343","3.9924667249","-22.1586693376","-37.2324494998","15.0737801622","-52.4345788316","10.4216466358","-62.8562254673","-64.9135381792","2.0573127119","9.6277281700","0.1015565965","0.6923618692","-6.9269866864","7.6193485556","0.1728222206","2.9894755843","6.4649784865","0.0004518785","0.0000000000"
"24","310","-4.9977825115","0.0005006647","0.9998577990","4.0004088555","-22.1507272070","-37.2245844374","15.0738572303","-52.4267137691","10.4215071246","-62.8482208937","-64.9206681016","2.0724472079","9.6277125301","0.1011769648","0.6926176297","-6.9269977510","7.6196153808","0.1728129433","2.9891980070","6.4651778612","0.0005237185","0.0000000000"
"25","226","-7.6808472054","0.0000342221","0.9998920211","5.5999498940","-20.5511861685","-35.9826354624","15.4314492939","-51.1847647941","12.3342401116","-63.5190049058","-65.5414681049","2.0224631992","9.9840926497","1.7676113924","0.5825360695","-7.7669054090","8.3494414785","0.2026242588","3.1918546911","6.5885209047","0.0010927950","0.0000000000"
"26","215","-7.7109675108","0.0000332067","0.9999252278","5.6179064735","-20.5332295890","-35.9645405189","15.4313109299","-51.1666698506","12.3344603333","-63.5011301839","-65.5296003271","2.0284701432","9.9843277713","1.7677900438","0.5823425182","-7.7667984221","8.3491409404","0.2025840274","3.1913889966","6.5891492199","0.0012055274","0.0000000000"
"27","308","-7.7513373765","0.0000318928","0.9999571207","5.6419734508","-20.5091626117","-36.4901686731","15.9810060613","-51.6922980048","12.6307804703","-64.3230784750","-66.2841830906","1.9611046156","9.2396804228","3.2154051992","0.1756948483","-8.7263734959","8.9020683442","0.2035797725","3.6693650182","5.3481485817","0.0185870504","0.0000000000"
"28","155","-7.7752177542","0.0000311403","0.9999882609","5.6562100230","-20.4949260396","-36.4759056827","15.9809796431","-51.6780350144","12.6296781950","-64.3077132094","-66.2845874936","1.9768742842","9.2394697681","3.2143678749","0.1758405519","-8.7262074796","8.9020480315","0.2035680930","3.6695733363","5.3482073312","0.0181210077","0.0000000000"
"29","147","-8.8410579285","0.0000107259","0.9999989868","6.2916233632","-19.8595126993","-35.2858277163","15.4263150170","-50.4879570480","13.4982024210","-63.9861594691","-65.9748300421","1.9886705730","10.2956805247","2.9199724962","0.2825494001","-8.2204508367","8.5030002368","0.1928518977","3.4060133917","6.6911443339","0.0056709014","0.0000000000"
"30","55","-11.8273841769","0.0000005414","0.9999995282","8.0719573968","-18.0791786658","-33.8695540128","15.7903753470","-49.0716833445","15.3237549121","-64.3954382566","-66.3813245233","1.9858862668","11.7477062304","3.2013267177","0.3747219639","-8.8540644905","9.2287864544","0.2158875930","3.8117217004","7.6984902340","0.0216067031","0.0000000000"
"31","307","-11.9648883117","0.0000004718","1.0000000000","8.1539321277","-17.9972039348","-33.7868685360","15.7896646012","-48.9889978677","15.3229643162","-64.3119621839","-66.3015032091","1.9895410251","11.7480144258","3.2002094191","0.3747404713","-8.8538597781","9.2286002494","0.2158548837","3.8122565236","7.6984591637","0.0214438548","0.0000000000"
