" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.0787193596"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","170","-79.3776017167","0.1831493016","0.1831493016","0.0000000000","27.0054693402","4.3169315728","22.6885377674","-11.7794406608","45.7722089274","-57.5497631394","-59.5093980915","1.9596349521","1.2987269897","44.1768113946","0.2966705431","-3.4895576260","3.7862281692","0.0958663820","0.3808854195","0.8219751882","0.0000000000","0.0000000000"
"2","281","-79.8850741886","0.1102586759","0.2934079775","0.3025357706","27.3080051107","4.5189367431","22.7890683676","-11.5774354904","46.4228671651","-58.0003026555","-59.9392546476","1.9389519921","1.4101005322","44.6126836555","0.4000829773","-4.0009854349","4.4010684123","0.1171150902","0.4295997340","0.8633857080","0.0000000000","0.0000000000"
"3","259","-79.9519731187","0.1031238068","0.3965317842","0.3424183662","27.3478877063","4.5587579989","22.7891297074","-11.5376142346","46.4229877541","-57.9606019887","-59.8930953921","1.9324934034","1.4099976743","44.6127935670","0.4001965128","-4.0010852518","4.4012817646","0.1171239664","0.4296336951","0.8632400128","0.0000000000","0.0000000000"
"4","276","-80.1982764361","0.0806103422","0.4771421264","0.4892550284","27.4947243685","4.7107330740","22.7839912945","-11.3856391595","46.5082094648","-57.8938486243","-59.8240429902","1.9301943659","1.6099905814","44.5355759398","0.3626429436","-4.0565673224","4.4192102660","0.1181394733","0.5153246263","0.9765264817","0.0000000000","0.0000000000"
"5","90","-80.2167383043","0.0791357782","0.5562779046","0.5002612914","27.5057306316","4.7218665454","22.7838640862","-11.3745056881","46.5082233031","-57.8827289912","-59.8133025739","1.9305735827","1.6101185271","44.5355663496","0.3625384264","-4.0564885874","4.4190270138","0.1181284094","0.5152530920","0.9767370256","0.0000000000","0.0000000000"
"6","126","-80.4154735300","0.0648728930","0.6211507976","0.6187396681","27.6242090082","4.8257062551","22.7985027531","-11.2706659785","46.4861895203","-57.7568554988","-59.7058219257","1.9489664269","1.8059729395","44.2475665629","0.4326500179","-4.0891457348","4.5217957527","0.1308294167","0.6284051529","1.0467383698","0.0000000000","0.0000000000"
"7","144","-80.4261952992","0.0641810563","0.6853318538","0.6251315787","27.6306009189","4.8321731763","22.7984277426","-11.2641990573","46.4862472805","-57.7504463378","-59.6868999739","1.9364536362","1.8058003877","44.2476080292","0.4328388636","-4.0892753892","4.5221142528","0.1307948237","0.6282087680","1.0467967960","0.0000000000","0.0000000000"
"8","33","-80.8835272706","0.0406246946","0.7259565484","0.8977754915","27.9032448317","5.0218702581","22.8813745736","-11.0745019755","47.0796758469","-58.1541778223","-60.0533162853","1.8991384630","1.9432135256","44.5717006615","0.5647616598","-4.5746057196","5.1393673793","0.1578711736","0.7001193411","1.0852230109","0.0000000000","0.0000000000"
"9","96","-80.8906313372","0.0403371167","0.7662936651","0.9020106656","27.9074800057","5.0016683760","22.9058116297","-11.0947038576","47.0522543225","-58.1469581801","-60.0623308903","1.9153727102","1.9097257782","44.6251208468","0.5174076975","-4.6118303951","5.1292380926","0.1531358758","0.6523894617","1.1042004408","0.0000000000","0.0000000000"
"10","268","-80.9287307258","0.0388292049","0.8051228700","0.9247240708","27.9301934110","5.0244456911","22.9057477199","-11.0719265425","47.0523679792","-58.1242945216","-60.0360088315","1.9117143099","1.9095737922","44.6253120348","0.5174821522","-4.6118309324","5.1293130846","0.1531334772","0.6522907034","1.1041496115","0.0000000000","0.0000000000"
"11","107","-81.1078726421","0.0324607202","0.8375835902","1.0315216622","28.0369910024","5.0225039708","23.0144870316","-11.0738682628","47.0775124711","-58.1513807338","-60.0575340343","1.9061533005","2.0393366179","44.6552073884","0.3829684648","-4.9124117602","5.2953802250","0.1593233804","0.8561981571","1.0238150803","0.0000000000","0.0000000000"
"12","287","-81.1211895205","0.0320313103","0.8696149006","1.0394606782","28.0449300184","5.1635324416","22.8813975768","-10.9328397920","47.0796365225","-58.0124763145","-59.9154314868","1.9029551724","1.9432099712","44.5716370130","0.5647895383","-4.5746316244","5.1394211627","0.1578810940","0.7001561901","1.0851726870","0.0000000000","0.0000000000"
"13","145","-81.1431881440","0.0313343597","0.9009492602","1.0525754201","28.0580447603","5.0906675508","22.9673772094","-11.0057046827","47.1258212280","-58.1315259107","-60.0412672297","1.9097413190","1.7040319959","45.0496470103","0.3721422217","-4.7603239501","5.1324661719","0.1434864492","0.6338816276","0.9266639191","0.0000000000","0.0000000000"
"14","222","-81.1494427978","0.0311389857","0.9320882460","1.0563042066","28.0617735468","5.0473249711","23.0144485757","-11.0490472625","47.0774826516","-58.1265299141","-60.0311701727","1.9046402586","2.0392816650","44.6551840045","0.3830169821","-4.9124352569","5.2954522390","0.1593387180","0.8562154593","1.0237274876","0.0000000000","0.0000000000"
"15","104","-81.1552147100","0.0309597719","0.9630480179","1.0597452010","28.0652145411","5.0978661425","22.9673483986","-10.9985060911","47.1258065121","-58.1243126031","-60.0358046321","1.9114920289","1.7039382622","45.0496251012","0.3722431487","-4.7603379195","5.1325810682","0.1435053375","0.6338046865","0.9266282381","0.0000000000","0.0000000000"
"16","70","-81.9334199883","0.0142176394","0.9772656573","1.5236815652","28.5291509054","5.3119430782","23.2172078272","-10.7844291554","47.5617973593","-58.3462265147","-60.2212530184","1.8750265037","2.1492313068","45.0343351898","0.3782308626","-5.5983627741","5.9765936367","0.1853960992","0.9353438523","1.0284913554","0.0000000000","0.0000000000"
"17","89","-81.9931477373","0.0133933144","0.9906589717","1.5592889756","28.5647583157","5.3471571495","23.2176011663","-10.7492150841","47.5620351503","-58.3072122875","-60.1838090743","1.8765967869","2.1492483000","45.0345209075","0.3782659428","-5.5988107305","5.9770766734","0.1854251760","0.9352856020","1.0285375220","0.0000000000","0.0000000000"
