" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","34.0787193596"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","371","-79.3748518414","0.1994331789","0.1994331789","0.0000000000","27.0038299691","4.3152004384","22.6886295308","-11.7811717952","45.7722499507","-57.5521355749","-59.5117705270","1.9596349521","1.2987230833","44.1768431079","0.2966837594","-3.4895655845","3.7862493439","0.0958755419","0.3808727536","0.8219747878","0.0000000000","0.0000000000"
"2","117","-79.8831379901","0.1199641668","0.3193973457","0.3030208537","27.3068508229","4.5177622040","22.7890886188","-11.5786100295","46.4229094936","-58.0015195231","-59.9404715153","1.9389519921","1.4100986361","44.6126873401","0.4001235173","-4.0010168138","4.4011403311","0.1171298337","0.4296404174","0.8633283851","0.0000000000","0.0000000000"
"3","430","-79.9505335081","0.1121455488","0.4315428945","0.3431994961","27.3470294653","4.5579312332","22.7890982321","-11.5384410004","46.4229460974","-57.9613870978","-59.8938805012","1.9324934034","1.4100191860","44.6127399818","0.4001869296","-4.0010647743","4.4012517039","0.1171084979","0.4296053392","0.8633053489","0.0000000000","0.0000000000"
"4","602","-80.2156968427","0.0860246804","0.5175675749","0.5012797827","27.5051097518","4.7211713588","22.7839383930","-11.3752008748","46.5081635626","-57.8833644374","-59.8139380201","1.9305735827","1.6100549677","44.5355712444","0.3625373504","-4.0564501536","4.4189875040","0.1181388697","0.5151970835","0.9767190145","0.0000000000","0.0000000000"
"5","510","-80.4104519590","0.0708014244","0.5883689993","0.6173853696","27.6212153387","4.8227213887","22.7984939501","-11.2736508449","46.4861547107","-57.7598055555","-59.7066307190","1.9468251634","1.8059843762","44.2475232398","0.4326470946","-4.0891055163","4.5217526110","0.1308361532","0.6283353421","1.0468128809","0.0000000000","0.0000000000"
"6","284","-80.4275456839","0.0696014496","0.6579704489","0.6275759977","27.6314059668","4.8328776402","22.7985283266","-11.2634945933","46.4862607417","-57.7497553350","-59.6862089712","1.9364536362","1.8058389978","44.2475991426","0.4328226013","-4.0893518616","4.5221744629","0.1308224034","0.6283448911","1.0466717033","0.0000000000","0.0000000000"
"7","427","-80.8823949488","0.0441651550","0.7021356039","0.8987398154","27.9025697846","5.0211766015","22.8813931831","-11.0751956321","47.0796812764","-58.1548769085","-60.0540153715","1.8991384630","1.9431789869","44.5717124624","0.5647898271","-4.5746870586","5.1394768857","0.1578446216","0.7001235361","1.0852108291","0.0000000000","0.0000000000"
"8","542","-80.8898255950","0.0438381956","0.7459737995","0.9031696838","27.9069996530","5.0011158593","22.9058837937","-11.0952563743","47.0523644747","-58.1476208490","-60.0629935591","1.9153727102","1.9094532174","44.6252567005","0.5176545567","-4.6119996553","5.1296542120","0.1531343676","0.6523700994","1.1039487503","0.0000000000","0.0000000000"
"9","569","-80.9288044295","0.0421623081","0.7881361077","0.9264073812","27.9302373503","5.0246120278","22.9056253226","-11.0717602058","47.0524353009","-58.1241955067","-60.0359098166","1.9117143099","1.9095397085","44.6253647922","0.5175308002","-4.6118651477","5.1293959479","0.1531253966","0.6523747773","1.1040395346","0.0000000000","0.0000000000"
"10","268","-81.1095952753","0.0351890799","0.8233251875","1.0341880016","28.0380179707","5.0236288564","23.0143891143","-11.0727433772","47.0774696191","-58.1502129963","-60.0563662968","1.9061533005","2.0393772146","44.6551431095","0.3829492950","-4.9123746265","5.2953239215","0.1593310030","0.8562740352","1.0237721764","0.0000000000","0.0000000000"
