" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","41.4412127185"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","613","-81.2159699002","0.1697937495","0.1697937495","0.0000000000","23.7121961888","-8.8403151439","32.5525113327","-30.3021447887","23.5173051955","-53.8172417641","-56.1629994041","2.3457576400","2.7365926546","19.8621930014","0.9185195395","-6.7932708824","7.7117904219","0.1709861587","0.8729108234","1.6926956725","0.0000000000","0.0000000000"
"2","969","-82.0047962851","0.0771505014","0.2469442508","0.4702682637","24.1824644524","-8.3844923471","32.5669567995","-29.8463219919","23.8174155703","-53.6637375622","-56.0219809886","2.3582434264","3.2767575365","19.4916332089","1.0490248249","-6.9492315432","7.9982563681","0.1831411314","1.1520441189","1.9415722862","0.0000000000","0.0000000000"
"3","995","-82.0723162832","0.0721132701","0.3190575210","0.5105211164","24.2227173051","-8.4751727192","32.6978900244","-29.9370023640","24.0600664439","-53.9970688078","-56.3286085051","2.3315396973","3.2491895164","19.7809876122","1.0298893153","-7.4206540588","8.4505433740","0.2073325217","1.2046680667","1.8371889281","0.0000000000","0.0000000000"
"4","1012","-82.2071258067","0.0630185140","0.3820760349","0.5908894227","24.3030856114","-8.3618154835","32.6649010950","-29.8236451283","24.1483172715","-53.9719623997","-56.2830327866","2.3110703869","3.2420732262","19.8634571757","1.0427868696","-7.4221386685","8.4649255381","0.2056159411","1.1122829080","1.9241743772","0.0000000000","0.0000000000"
"5","1081","-82.2485721953","0.0604600107","0.4425360457","0.6155981819","24.3277943707","-8.3304229624","32.6582173331","-29.7922526072","24.2592996166","-54.0515522238","-56.3552536174","2.3037013936","3.2396687807","19.9706144185","1.0490164174","-7.4315100730","8.4805264904","0.2075606874","1.1102577396","1.9218503537","0.0000000000","0.0000000000"
"6","452","-82.3798972786","0.0530193576","0.4955554032","0.6938891976","24.4060853864","-8.3389510406","32.7450364270","-29.8007806854","24.1486321447","-53.9494128300","-56.2549332680","2.3055204379","3.0379022480","20.3237285006","0.7870013961","-7.6858202304","8.4728216265","0.2007737368","1.0893978409","1.7477306702","0.0000000000","0.0000000000"
"7","262","-82.3806359914","0.0529802059","0.5485356092","0.6943295901","24.4065257788","-8.2619682353","32.6684940141","-29.7237978801","24.2756312376","-53.9994291177","-56.3119006378","2.3124715201","3.2688163829","20.0070014798","0.9998133749","-7.4834709588","8.4832843336","0.2108381521","1.1031227953","1.9548554356","0.0000000000","0.0000000000"
"8","753","-82.5693640030","0.0438682296","0.5924038388","0.8068420466","24.5190382353","-8.1035005521","32.6225387874","-29.5653301968","24.2815764966","-53.8469066934","-56.2065204539","2.3596137605","3.3111960058","19.8873696921","1.0830107987","-7.4441457984","8.5271565971","0.2185131034","1.1671408087","1.9255420938","0.0000000000","0.0000000000"
"9","1021","-82.7351717935","0.0371655616","0.6295694004","0.9056903397","24.6178865285","-8.2240831814","32.8419697099","-29.6859128262","24.3355060007","-54.0214188269","-56.3361718325","2.3147530056","3.5301597331","19.9445200274","0.8608262402","-7.9145911933","8.7754174335","0.2125556435","1.4150775543","1.9025265353","0.0000000000","0.0000000000"
"10","1087","-82.9571627381","0.0297667389","0.6593361393","1.0380328907","24.7502290795","-7.9304209691","32.6806500486","-29.3922506139","24.4422907695","-53.8345413833","-56.1290748337","2.2945334504","3.7807950075","19.4916788496","1.1698169123","-7.5827173258","8.7525342382","0.2179087064","1.3899499680","2.1729363332","0.0000000000","0.0000000000"
