" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","30.6439127501"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","19","-58.4115349502","0.3201202300","0.3201202300","0.0000000000","16.5539993694","6.6942013311","9.8597980383","-3.1424705894","-0.1537270418","-2.9886482486","-4.5878540643","1.5992058157","6.3335120676","-7.4387046671","0.9514655577","-2.1201438711","3.0716094287","0.0645816200","0.9304009470","5.3385295006","0.0000000000","0.0000000000"
"2","64","-58.4302212701","0.3141939040","0.6343141339","0.0111400726","16.5651394421","6.7054369352","9.8597025069","-3.1312349853","-0.1537066562","-2.9775283292","-4.5787224696","1.6011941404","6.3335522300","-7.4386550013","0.9513961152","-2.1201198208","3.0715159359","0.0645770781","0.9303008782","5.3386742737","0.0000000000","0.0000000000"
"3","82","-58.9595795937","0.1850548005","0.8193689345","0.3267233549","16.8807227243","7.0615545534","9.8191681709","-2.7751173671","-0.1837082495","-2.5914091175","-4.1840476054","1.5926384879","6.8396637847","-7.9162625635","0.8928905293","-2.1668969100","3.0597874392","0.0591609641","0.9180415978","5.8624612229","0.0000000000","0.0000000000"
"4","67","-59.8646753681","0.0748552483","0.8942241828","0.8663070028","17.4203063722","7.5284289926","9.8918773796","-2.3082429279","0.0393973111","-2.3476402390","-3.9182309033","1.5705906643","7.3199391712","-8.5297906464","1.2492487863","-2.6151752627","3.8644240490","0.0556734032","0.6938400433","6.5704257247","0.0000000000","0.0000000000"
"5","20","-60.2114056180","0.0529223622","0.9471465450","1.0730143793","17.6270137488","7.7355874334","9.8914263154","-2.1010844871","0.8413921099","-2.9424765970","-4.5295787857","1.5871021887","6.7359201458","-7.2462941892","1.3517661532","-2.4995715582","3.8513377114","0.0627569709","0.6868298734","5.9863333015","0.0000000000","0.0000000000"
"6","147","-60.2127085106","0.0528534550","1.0000000000","1.0737911143","17.6277904837","7.7363028649","9.8914876188","-2.1003690556","0.8413722532","-2.9417413088","-4.5261407421","1.5843994333","6.7359040388","-7.2463381420","1.3518063565","-2.4995911252","3.8513974816","0.0627596252","0.6868839351","5.9862604784","0.0000000000","0.0000000000"
