" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","30.3974726802"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","40","-56.2365491938","0.2805121290","0.2805121290","0.0000000000","15.4042738420","-2.4537088785","17.8579827205","-15.8673524064","44.6640978012","-60.5314609513","-62.3083055977","1.7768446465","0.8717185862","43.6480568697","0.1443223453","-2.3702174353","2.5145397806","0.0803907340","0.3755442116","0.4157836406","0.0000000000","0.0000000000"
"2","181","-56.8211597754","0.1563358196","0.4368479485","0.3485225753","15.7527964173","-2.2021028624","17.9548992796","-15.6157463903","45.2781056947","-60.8938520851","-62.6434395706","1.7495874855","0.9930111695","44.0336509102","0.2514436150","-2.8555772411","3.1070208561","0.1012240550","0.4341312988","0.4576558157","0.0000000000","0.0000000000"
"3","147","-56.8582568438","0.1506424751","0.5874904236","0.3706384354","15.7749122774","-2.1799744346","17.9548867120","-15.5936179626","45.2779977299","-60.8716156925","-62.6136385797","1.7420228872","0.9931061931","44.0335621850","0.2513293518","-2.8554730666","3.1068024184","0.1012355156","0.4341852334","0.4576854441","0.0000000000","0.0000000000"
"4","85","-56.8632290686","0.1498953059","0.7373857295","0.3736026865","15.7778765285","-2.1767776509","17.9546541795","-15.5904211789","45.1744250123","-60.7648461912","-62.5186063510","1.7537601598","1.1611747389","43.7889706862","0.2242795872","-2.8967583601","3.1210379473","0.1003273862","0.4998406642","0.5610066885","0.0000000000","0.0000000000"
"5","69","-56.9242662476","0.1410197442","0.8784054737","0.4099907293","15.8142645713","-2.1404323701","17.9546969414","-15.5540758981","45.1744002457","-60.7284761438","-62.4868962836","1.7584201398","1.1611691137","43.7889354621","0.2242956699","-2.8968045890","3.1211002588","0.1003345872","0.4998657887","0.5609687378","0.0000000000","0.0000000000"
"6","246","-57.7654646414","0.0608067934","0.9392122672","0.9114811910","16.3157550330","-1.8150231530","18.1307781860","-15.2286666810","45.6966614837","-60.9253281647","-62.6370789069","1.7117507422","1.2626091267","44.1792877174","0.2547646396","-3.5520273284","3.8067919679","0.1251986533","0.6160221699","0.5213883035","0.0000000000","0.0000000000"
"7","247","-57.8468273668","0.0560553049","0.9952675721","0.9599865508","16.3642603928","-1.7663330321","18.1305934249","-15.1799765600","45.6965284933","-60.8765050534","-62.5868639821","1.7103589287","1.2626505100","44.1791992864","0.2546786969","-3.5517828511","3.8064615480","0.1251977354","0.6159613279","0.5214914468","0.0000000000","0.0000000000"
"8","19","-60.9700603680","0.0024672540","0.9977348261","2.8219391789","18.2262130209","0.2106222177","18.0155908032","-13.2030213103","47.4232539594","-60.6262752697","-62.3278067414","1.7015314718","2.4138431444","44.8312813524","0.1781294626","-3.7432299341","3.9213593967","0.1379250053","0.9408444014","1.3350737377","0.0000000000","0.0000000000"
"9","36","-61.0555146251","0.0022651739","1.0000000000","2.8728837542","18.2771575962","0.2610930459","18.0160645503","-13.1525504821","47.4233313971","-60.5758818792","-62.2624712990","1.6865894197","2.4139386509","44.8311359431","0.1782568032","-3.7434793365","3.9217361397","0.1379215786","0.9406542522","1.3353628201","0.0000000000","0.0000000000"
