" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","45.1224593979"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","715","-101.6543346980","0.1033558317","0.1033558317","0.0000000000","33.7021521442","-3.6824952238","37.3846473679","-27.8270535741","23.9626240617","-51.7873739636","-54.3412255123","2.5538515487","3.1664472314","19.7338168105","1.0623600197","-7.9383090482","9.0006690680","0.1877247199","0.8804740984","2.0982484131","0.0000000000","0.0000000000"
"2","441","-102.3656122857","0.0507494167","0.1541052484","0.4240366227","34.1261887669","-3.4041490894","37.5303378562","-27.5487074397","24.5131375377","-52.0618449774","-54.5587996825","2.4969547051","3.6774409645","19.6617847631","1.1739118101","-8.5695133293","9.7434251393","0.2236519133","1.2107573844","2.2430316669","0.0000000000","0.0000000000"
"3","58","-102.3704573027","0.0505041296","0.2046093780","0.4269250374","34.1290771815","-3.2696721238","37.3987493054","-27.4142304742","24.2794508326","-51.6936813068","-54.2711087666","2.5774274598","3.7086539897","19.3797539881","1.1910428548","-8.0930257096","9.2840685644","0.1995154073","1.1612784407","2.3478601417","0.0000000000","0.0000000000"
"4","1629","-102.6346427658","0.0387786425","0.2433880205","0.5844223542","34.2865744983","-3.2089506417","37.4955251400","-27.3535089920","24.5889138980","-51.9424228900","-54.4771661287","2.5347432387","3.6704540195","19.7229481679","1.1955117106","-8.5607237245","9.7562354351","0.2225972792","1.1193654719","2.3284912684","0.0000000000","0.0000000000"
"5","1243","-102.6458582764","0.0383461501","0.2817341705","0.5911086147","34.2932607588","-3.2017216815","37.4949824403","-27.3462800319","24.5735429632","-51.9198229950","-54.4567900464","2.5369670514","3.6686365968","19.7052607676","1.1996455987","-8.5602109418","9.7598565404","0.2227927263","1.1185395680","2.3273043026","0.0000000000","0.0000000000"
"6","986","-102.7456889265","0.0347029078","0.3164370783","0.6506238482","34.3527759923","-3.1020462274","37.4548222198","-27.2466045778","24.7105283739","-51.9571329516","-54.5101324668","2.5529995152","3.7347793804","19.7597551391","1.2159938544","-8.6238543454","9.8398481998","0.2364267659","1.1678201942","2.3305324203","0.0000000000","0.0000000000"
"7","1223","-102.7541863574","0.0344092716","0.3508463500","0.6556896930","34.3578418371","-3.2203743134","37.5782161505","-27.3649326638","24.6720021937","-52.0369348575","-54.5872211036","2.5502862461","3.4647217996","20.2801064918","0.9271739023","-8.8430068506","9.7701807530","0.2174212164","1.0944037108","2.1528968724","0.0000000000","0.0000000000"
"8","1132","-102.7666977707","0.0339814449","0.3848277949","0.6631485213","34.3653006655","-3.1369659092","37.5022665747","-27.2815242595","24.7407181611","-52.0222424206","-54.5469570011","2.5247145805","3.6933929901","19.9186967477","1.1286284233","-8.6658123647","9.7944407879","0.2286564470","1.1039316334","2.3608049097","0.0000000000","0.0000000000"
"9","1585","-102.8104003883","0.0325283501","0.4173561451","0.6892023584","34.3913545026","-3.0862907254","37.4776452280","-27.2308490758","25.0108647962","-52.2417138720","-54.7528216228","2.5111077508","3.7088969635","20.1242921294","1.1776757033","-8.6232602598","9.8009359631","0.2282670739","1.1402480724","2.3403818173","0.0000000000","0.0000000000"
"10","1118","-102.8308278987","0.0318706177","0.4492267628","0.7013804625","34.4035326067","-3.0824499513","37.4859825580","-27.2270083016","24.8204394409","-52.0474477425","-54.5618747945","2.5144270519","3.7107793666","19.9381894734","1.1714706009","-8.6142262473","9.7856968482","0.2260227688","1.1422948168","2.3424617810","0.0000000000","0.0000000000"
"11","1361","-103.1844507378","0.0223776271","0.4716043899","0.9121969384","34.6143490825","-3.0599490597","37.6742981422","-27.2045074100","24.8477511030","-52.0522585130","-54.5850573895","2.5327988765","3.9587548114","19.8911558217","0.9978404699","-9.0695774720","10.0674179419","0.2286259394","1.4217778373","2.3083510347","0.0000000000","0.0000000000"
"12","1356","-103.3750420315","0.0184944443","0.4900988342","1.0258202128","34.7279723569","-2.7807183057","37.5086906626","-26.9252766560","24.9262099330","-51.8515932266","-54.3656893596","2.5140961331","4.2115752320","19.3859264087","1.3287082923","-8.7139775563","10.0426858487","0.2347034529","1.3994099333","2.5774618457","0.0000000000","0.0000000000"
"13","1524","-103.4687003240","0.0168409275","0.5069397617","1.0816557216","34.7838078658","-2.7249534461","37.5087613119","-26.8695117965","24.9127296966","-51.7822414930","-54.3092961563","2.5270546632","4.2126619255","19.3765709648","1.3234968063","-8.7152125440","10.0387093503","0.2342742433","1.3996890995","2.5786985826","0.0000000000","0.0000000000"
"14","1512","-103.4728367230","0.0167714106","0.5237111723","1.0841216852","34.7862738294","-2.7151449198","37.5014187492","-26.8597032702","25.0865179944","-51.9462212646","-54.4996611034","2.5534398388","4.2504927411","19.5391452588","1.2968799944","-8.7755159536","10.0723959481","0.2379190296","1.4210934913","2.5914802202","0.0000000000","0.0000000000"
"15","1658","-103.4828256585","0.0166047160","0.5403158883","1.0900767084","34.7922288525","-2.8507111731","37.6429400256","-26.9952695235","25.1617152840","-52.1569848075","-54.6779910328","2.5210062253","4.2021523677","19.6862156021","1.2733473142","-9.2875872827","10.5609345969","0.2711502256","1.4359257241","2.4950764181","0.0000000000","0.0000000000"
"16","39","-103.5249996397","0.0159189905","0.5562348788","1.1152192306","34.8173713748","-2.7166049276","37.5339763024","-26.8611632780","25.1287223063","-51.9898855842","-54.5259059790","2.5360203948","4.2056084913","19.6783379348","1.2447758803","-8.8344895185","10.0792653987","0.2396687838","1.3531545862","2.6127851212","0.0000000000","0.0000000000"
"17","1539","-103.5379553457","0.0157140790","0.5719489579","1.1229429293","34.8250950735","-2.6678542746","37.4929493481","-26.8124126249","25.0860077955","-51.8984204204","-54.4092339197","2.5108134994","4.2524066581","19.5248770731","1.3087240643","-8.7880971404","10.0968212047","0.2409260783","1.4229658703","2.5885147095","0.0000000000","0.0000000000"
"18","679","-103.5513540860","0.0155049344","0.5874538923","1.1309307483","34.8330828924","-2.8028937840","37.6359766764","-26.9474521343","25.2705604288","-52.2180125632","-54.7037304354","2.4857178722","4.1677079478","19.8674131162","1.2354393648","-9.3107659668","10.5462053316","0.2630575485","1.2981655534","2.6064848458","0.0000000000","0.0000000000"
"19","1258","-103.5549197028","0.0154497482","0.6029036405","1.1330564333","34.8352085774","-3.0244069237","37.8596155012","-27.1689652741","25.0916601296","-52.2606254037","-54.7402209136","2.4795955099","3.9296965350","20.3828730478","0.7790905469","-9.9761326170","10.7552231639","0.2631735451","1.4071654611","2.2593575287","0.0000000000","0.0000000000"
"20","1214","-103.5654465379","0.0152879643","0.6181916048","1.1393321316","34.8414842758","-2.5794932332","37.4209775090","-26.7240515835","25.4418814425","-52.1659330260","-54.6878918797","2.5219588537","4.3424438673","19.7396517641","1.3597858112","-8.7393406305","10.0991264417","0.2512949215","1.4835238257","2.6076251201","0.0000000000","0.0000000000"
"21","688","-103.5729688660","0.0151733947","0.6333649995","1.1438166573","34.8459688015","-2.7945292417","37.6404980431","-26.9390875920","25.1469802841","-52.0860678761","-54.5746684871","2.4886006110","4.1810179274","19.6562977928","1.3096645639","-9.1913141926","10.5009787565","0.2588840969","1.4489698053","2.4731640252","0.0000000000","0.0000000000"
"22","968","-103.6073142759","0.0146611059","0.6480261054","1.1642920833","34.8664442275","-2.7747070406","37.6411512681","-26.9192653910","25.1210587137","-52.0403241046","-54.5552166273","2.5148925227","4.1804407312","19.6320016322","1.3086163502","-9.1921042723","10.5007206225","0.2586930540","1.4488664149","2.4728812624","0.0000000000","0.0000000000"
"23","210","-103.6261366509","0.0143877300","0.6624138354","1.1755132668","34.8776654110","-2.7513750549","37.6290404659","-26.8959334053","25.3537285305","-52.2496619358","-54.7380605927","2.4883986569","4.2215119775","19.8545544703","1.2776620828","-9.2757574013","10.5534194841","0.2644128667","1.4711253539","2.4859737569","0.0000000000","0.0000000000"
"24","262","-103.6861204662","0.0135500731","0.6759639085","1.2112733342","34.9134254784","-2.6771365544","37.5905620328","-26.8216949048","25.4738055429","-52.2955004477","-54.7934300240","2.4979295764","4.2858462488","19.8829937062","1.3049655879","-9.2349888619","10.5399544498","0.2756763529","1.4980228932","2.5121470027","0.0000000000","0.0000000000"
"25","1656","-103.7115217989","0.0132102179","0.6891741264","1.2264166418","34.9285687860","-2.6989493227","37.6275181087","-26.8435076731","25.5445417868","-52.3880494598","-54.8802979553","2.4922484955","4.2182191304","20.0548331041","1.2714895523","-9.2716646684","10.5431542207","0.2637080708","1.4688961938","2.4856148658","0.0000000000","0.0000000000"
"26","232","-103.7451315965","0.0127736035","0.7019477299","1.2464535238","34.9486056680","-2.8695687767","37.8181744447","-27.0141271271","25.2122869165","-52.2264140436","-54.7167294298","2.4903153862","4.1246573878","19.9505398287","1.1370897001","-9.5555442103","10.6926339103","0.2658941538","1.5202191733","2.3385440607","0.0000000000","0.0000000000"
"27","1186","-103.7518122047","0.0126885524","0.7146362823","1.2504362481","34.9525883923","-2.7391139737","37.6917023660","-26.8836723240","25.2664187600","-52.1500910840","-54.6593866505","2.5092955665","3.9664470936","20.2516298808","1.0483417857","-9.4867758079","10.5351175935","0.2518517369","1.3290921772","2.3855031794","0.0000000000","0.0000000000"
"28","1136","-103.7712074998","0.0124448254","0.7270811078","1.2619989847","34.9641511289","-2.8569506138","37.8211017427","-27.0015089642","25.4477261686","-52.4492351328","-54.9406317654","2.4913966326","4.1184217069","20.1942814536","1.1350230081","-9.5865675954","10.7215906036","0.2680263287","1.5231191603","2.3272762180","0.0000000000","0.0000000000"
"29","554","-103.7828311607","0.0123010085","0.7393821162","1.2689285689","34.9710807131","-2.5899261469","37.5610068600","-26.7344844972","25.4488666378","-52.1833511351","-54.6710094409","2.4876583058","4.2701855977","19.8665136553","1.3121673848","-9.2190492683","10.5312166531","0.2717238987","1.3932737634","2.6051879356","0.0000000000","0.0000000000"
"30","891","-103.8237819310","0.0118074475","0.7511895637","1.2933418594","34.9954940036","-2.6037733242","37.5992673277","-26.7483316745","25.2627013467","-52.0110330212","-54.5347733644","2.5237403431","4.2073398451","19.7367061110","1.3186553905","-9.2726456564","10.5913010469","0.2707328586","1.3568705565","2.5797364301","0.0000000000","0.0000000000"
"31","1673","-103.8353876070","0.0116712062","0.7628607700","1.3002607216","35.0024128658","-2.6872953698","37.6897082356","-26.8318537201","25.3755662876","-52.2074200077","-54.7197796206","2.5123596129","3.9610953202","20.3736470825","1.0408238849","-9.5168553816","10.5576792665","0.2536354186","1.3290226090","2.3784372926","0.0000000000","0.0000000000"
"32","616","-103.8495679902","0.0115068720","0.7743676419","1.3087145263","35.0108666705","-2.8169450130","37.8278116835","-26.9615033633","25.3056184428","-52.2671218062","-54.7587267473","2.4916049412","4.1837218048","19.9974246407","1.1244719972","-9.6875011921","10.8119731894","0.2800690123","1.6091003985","2.2945523941","0.0000000000","0.0000000000"
