" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","30.3974726802"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","88","-56.2365766506","0.2806078523","0.2806078523","0.0000000000","15.4042902107","-2.4537432764","17.8580334871","-15.8673868044","44.6641284867","-60.5320485829","-62.3088932293","1.7768446465","0.8716870227","43.6480749017","0.1443665623","-2.3702498482","2.5146164105","0.0803841034","0.3755201408","0.4157827786","0.0000000000","0.0000000000"
"2","179","-56.8208998498","0.1564341183","0.4370419705","0.3483512489","15.7526414596","-2.2022144240","17.9548558836","-15.6158579520","45.2780786513","-60.8939366033","-62.6435240888","1.7495874855","0.9930083813","44.0336328660","0.2514374040","-2.8555650504","3.1070024544","0.1012095100","0.4341093165","0.4576895548","0.0000000000","0.0000000000"
"3","184","-56.8582567214","0.1506980371","0.5877400076","0.3706219937","15.7749122044","-2.1799279025","17.9548401069","-15.5935714304","45.2780053342","-60.8715767647","-62.6135996519","1.7420228872","0.9931042323","44.0335824361","0.2513186658","-2.8554745762","3.1067932419","0.1012293069","0.4341703837","0.4577045417","0.0000000000","0.0000000000"
"4","242","-56.8631012355","0.1499697439","0.7377097515","0.3735101086","15.7778003193","-2.1768472595","17.9546475788","-15.5904907874","45.1743827866","-60.7648735741","-62.5186337338","1.7537601598","1.1612039760","43.7889474638","0.2242313468","-2.8967131855","3.1209445323","0.1003186718","0.4997819653","0.5611033389","0.0000000000","0.0000000000"
"5","69","-56.9242662485","0.1410717397","0.8787814912","0.4099743611","15.8142645718","-2.1404323696","17.9546969414","-15.5540758976","45.1744002457","-60.7284761433","-62.4868962831","1.7584201398","1.1611691137","43.7889354621","0.2242956699","-2.8968045890","3.1211002588","0.1003345872","0.4998657887","0.5609687378","0.0000000000","0.0000000000"
"6","246","-57.7719938575","0.0604333403","0.9392148315","0.9153572925","16.3196475032","-1.8111306829","18.1307781860","-15.2247742109","45.6966614837","-60.9214356945","-62.6331864368","1.7117507422","1.2626091267","44.1792877174","0.2547646396","-3.5520273284","3.8067919679","0.1251986533","0.6160221699","0.5213883035","0.0000000000","0.0000000000"
"7","74","-57.8472728869","0.0560509958","0.9952658272","0.9602357843","16.3645259949","-1.7661448923","18.1306708872","-15.1797884202","45.6966045029","-60.8763929232","-62.5867518519","1.7103589287","1.2625918861","44.1792481057","0.2547645111","-3.5519167611","3.8066812722","0.1252040616","0.6159459507","0.5214418737","0.0000000000","0.0000000000"
"8","19","-60.9700603680","0.0024681637","0.9977339909","2.8219228103","18.2262130209","0.2106222177","18.0155908032","-13.2030213103","47.4232539594","-60.6262752697","-62.3278067414","1.7015314718","2.4138431444","44.8312813524","0.1781294626","-3.7432299341","3.9213593967","0.1379250053","0.9408444014","1.3350737377","0.0000000000","0.0000000000"
"9","44","-61.0555146251","0.0022660091","1.0000000000","2.8728673855","18.2771575962","0.2610930459","18.0160645503","-13.1525504821","47.4233313971","-60.5758818792","-62.2624712990","1.6865894197","2.4139386509","44.8311359431","0.1782568032","-3.7434793365","3.9217361397","0.1379215786","0.9406542522","1.3353628201","0.0000000000","0.0000000000"
