" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","42.1769439513"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","77","6.7717468388","0.3158577960","0.3158577960","0.0000000000","-29.1813461964","-40.0017355776","10.8203893812","-53.4153791056","9.0480087817","-62.4601152971","-64.5437643025","2.0836490054","2.6517679809","5.5785014317","0.8177393691","-4.5345097222","5.3522490913","0.0627734346","2.5790728707","0.0099054606","0.0000162150","0.0000000000"
"2","91","6.7056369946","0.2956517542","0.6115095502","0.0394121726","-29.1419340238","-39.9642683346","10.8223343108","-53.3779118626","9.0479805620","-62.4258924246","-64.5056141988","2.0797217742","2.6517902673","5.5784474611","0.8177428336","-4.5345178035","5.3522606371","0.0627686747","2.5790940967","0.0098862317","0.0000412643","0.0000000000"
"3","178","5.6108776812","0.0989310301","0.7104405804","0.6920660028","-28.4892801936","-39.4637676650","10.9744874714","-52.8774111930","10.0672473900","-62.9446585830","-64.9815169358","2.0368583528","2.7790205516","6.4734972745","0.8147295638","-5.0872666198","5.9019961837","0.0777747605","2.6508349281","0.0503718339","0.0000390292","0.0000000000"
"4","150","5.6091951177","0.0987647124","0.8092052927","0.6930690831","-28.4882771133","-39.4604244855","10.9721473722","-52.8740680135","10.0673425569","-62.9414105704","-64.9755799081","2.0341693377","2.7789629372","6.4735974591","0.8147821605","-5.0874867953","5.9022689558","0.0777770411","2.6508243630","0.0502823934","0.0000791397","0.0000000000"
"5","171","5.5747065476","0.0954165276","0.9046218203","0.7136298557","-28.4677163407","-39.4347647855","10.9670484449","-52.8484083135","10.2428254026","-63.0912337161","-65.1195464064","2.0283126903","2.8216710030","6.6360404532","0.7851139465","-5.2145743348","5.9996882812","0.0802924659","2.6777946867","0.0635256524","0.0000581980","0.0000000000"
"6","164","5.5743045667","0.0953781797","1.0000000000","0.7138695015","-28.4674766950","-39.4352386155","10.9677619205","-52.8488821434","10.2427252199","-63.0916073633","-65.1374834298","2.0458760665","2.8217519932","6.6359215214","0.7850517053","-5.2146567117","5.9997084170","0.0802955301","2.6778788784","0.0634981691","0.0000794156","0.0000000000"
