" "
"VeraChem VCPack VM2 mining minima run results"
" "
"Note: All energies are in Kcal/mol"
" "
"Miscellaneous numerical data"
" "
" -RT","-0.5961619346"
"ln(prefactor)","49.5158302966"
" "
"Column heading definitions"
" "
"Rank","Conformer rank w.r.t. to free energy (G)"
"ID","Conformer identification label"
"ln(Zx)","Natural logarithm of conformer configuration integral"
"Prob(%)","Conformer probability"
"Sum Prob(%)","Cummulative conformer probability"
"Delta G","Difference in free energy (G) between the current conformer and Rank 1 conformer"
"G","Conformer free energy: -RT * ln(prefactor * Zx)"
"E","Potential energy including harmonic oscillator equipartition potential energy"
" -TS","Entropy term"
"U+W","Potential energy"
"U","Gas phase internal potential energy"
"W","Solvation energy"
"W(PB)","Poisson Boltzmann solvation energy"
"W(SA)","Nonpolar solvation energy"
"Valence","Bonded energy terms"
"Coulomb","Coulomb pair energy"
"VdW","Van der Waals energy"
"VdW6","Attractive VdW term"
"VdW12","Repulsive VdW term"
"Bond","Bond energy"
"Angle","Angle energy"
"Pdih","Proper dihedral energy"
"Idih","Improper dihedral energy"
"Tether","Constraint energy"
" "
"Rank","ID","ln(Zx)","Prob(%)","Sum Prob(%)","Delta G","G","E"," -TS","U+W","U","W","W(PB)","W(SA)","Valence","Coulomb","VdW","VdW6","VdW12","Bond","Angle","Pdih","Idih","Tether"
"1","348","-36.1599085616","0.2351846365","0.2351846365","0.0000000000","-7.9622921396","-32.3608278510","24.3985357114","-52.9284145939","5.6167811749","-58.5439291251","-61.0636504284","2.5197213033","7.5312599713","-2.8183178737","0.9038390774","-7.6404717888","8.5443108661","0.1150826374","2.2711037499","5.1442716508","0.0008019332","0.0000000000"
"2","821","-37.5685411273","0.0574973194","0.2926819559","0.8397731155","-7.1225190241","-31.6310363447","24.5085173206","-52.1986230876","6.5752759810","-58.7738990687","-61.3171244043","2.5432253356","8.0505645994","-2.4901782034","1.0148895850","-8.3388642669","9.3537538520","0.1571773627","2.5133641554","5.3791602857","0.0008627957","0.0000000000"
"3","832","-37.6001902091","0.0557060771","0.3483880330","0.8586410933","-7.1036510463","-31.6119239702","24.5082729239","-52.1795107131","6.5753690976","-58.7548798107","-61.2929541072","2.5380742965","8.0504125435","-2.4899372602","1.0148938143","-8.3390555708","9.3539493851","0.1571813182","2.5134201713","5.3790442146","0.0007668395","0.0000000000"
"4","484","-37.6821944330","0.0513202300","0.3997082630","0.9075288900","-7.0547632495","-31.5627116984","24.5079484489","-52.1302984413","6.6299419465","-58.7602403878","-61.2810393910","2.5207990032","8.0318535726","-2.4407349341","1.0388233080","-8.2566261330","9.2954494410","0.1461943846","2.4982491722","5.3867290799","0.0006809360","0.0000000000"
"5","1009","-37.6995581021","0.0504368144","0.4501450774","0.9178804486","-7.0444116910","-31.5438163522","24.4994046613","-52.1114030951","6.5834684153","-58.6948715104","-61.1968885328","2.5020170224","8.0684190837","-2.5155822428","1.0306315744","-8.3048392314","9.3354708057","0.1499194827","2.5217214039","5.3960192461","0.0007589510","0.0000000000"
"6","1085","-37.7126572035","0.0497804457","0.4999255231","0.9256896343","-7.0366025053","-31.5422407872","24.5056382819","-52.1098275301","7.0439794911","-59.1538070212","-61.6649463922","2.5111393711","8.0642424252","-2.0271825916","1.0069196575","-8.3452256898","9.3521453473","0.1511240389","2.5178915193","5.3945608803","0.0006659867","0.0000000000"
"7","738","-37.7547455368","0.0477287489","0.5476542720","0.9507810965","-7.0115110431","-31.5105489292","24.4990378860","-52.0781356721","6.5834567626","-58.6615924347","-61.1448274763","2.4832350416","8.0683812906","-2.5155856127","1.0306610847","-8.3049522958","9.3356133805","0.1498928578","2.5217033257","5.3960245182","0.0007605888","0.0000000000"
"8","939","-37.7554619841","0.0476945660","0.5953488380","0.9512082151","-7.0110839245","-31.5188825247","24.5077986001","-52.0864692676","6.6297283949","-58.7161976625","-61.2416104214","2.5254127589","8.0319573335","-2.4411197912","1.0388908526","-8.2564512467","9.2953420993","0.1461829762","2.4981354473","5.3868683462","0.0007705638","0.0000000000"
"9","757","-37.8115579539","0.0450927509","0.6404415889","0.9846504969","-6.9776416426","-31.4830947113","24.5054530686","-52.0506814542","7.0441922324","-59.0948736865","-61.6093439912","2.5144703046","8.0643388352","-2.0268611342","1.0067145314","-8.3452636758","9.3519782072","0.1511375843","2.5181246951","5.3944948269","0.0005817288","0.0000000000"
"10","194","-38.4763933895","0.0231938247","0.6636354136","1.3810000764","-6.5812920632","-31.2927801927","24.7114881295","-51.8603669356","7.8156957920","-59.6760627275","-62.1807785888","2.5047158612","7.7848313035","-0.7135397549","0.7444042435","-8.5144010310","9.2588052745","0.1363011655","2.4325613453","5.2156183539","0.0003504388","0.0000000000"
